par,ean,estado,nombre_foto,sku,nombre_bd,codigo_bd,costo,precio,stock,nota
0001,7502009748929,eq_sin_ean,Flausiver () Gel corporal 100 g Maver,EQ-MAV376,Flausiver 1 Gel 100 G,,37.55,61,1,corregido a mano
0002,7501349024267,falta,ketorolaco (ketorolaco) Solución 30 mg/mL inyectable Caja con 3 ampolletas AMSA,,,,9.19,15,8,otra presentación / no encaja
0003,7501349023369,falta,Ketorolaco (Ketorolaco) Tableta 30 mg  AMSA,,,,,,,EAN nuevo
0004,7502009740244,eq_sin_ean,Lorotec (Ketorolaco) Tableta 10 mg Caja con 10 tabletas Maver,EQ-MAV043,Lorotec 10 Tab 10 Mg,,5.96,10,5,corregido a mano
0005,785118752941,eq_sin_ean,Mavifem (Clindamicina/Ketoconazol) Crema vaginal Tubo 30 g + 6 aplicadores MAVI,EQ-MAI152,Mavifem (Vag) 1 Cha/6 Apli 2/8 G 30 G,,68.5,110,2,corregido a mano
0006,7501349027329,falta,dexametasona (dexametasona) Solución 8 mg/2 mL inyectable Caja con 1 ampolleta AMSA,,,,24.28,39,2,otra presentación / no encaja
0007,7501249600813,eq_sin_ean,Levotiroxina (Levotiroxina) Tableta 100 mcg Caja con 100 tabletas Tempus,EQ-TEM009,Levotiroxina 100 Tab 100 Mcg,,45.57,73,2,corregido a mano
0008,7502216804814,fc_sin_ean,Amlodipino (Amlodipino) Tableta 5 mg Frasco con 100 tabletas Avivia,FC-4A0245DA,Amlodipino,,32.52,44.0,1,corregido a mano
0009,7502009746239,falta,"Erispan Compuesto (Loratadina, Betametasona) Tableta 5/0.25 mg Caja con 10 tabletas Maver",,,,,,,EAN nuevo
0010,7501075717150,eq_sin_ean,Lizovag (Ketoconazol) Tabletas 200 mg Caja con 10 tabletas Novag,EQ-NOV032,Lizovag 10 Tab 200 Mg,,12.98,21,2,corregido a mano
0011,7502211784036,fc_sin_ean,Zukedib (Glimepirida) Tableta 4 mg Caja con 30 tabletas Loeffler,FC-3D0ED22B,Zukedib glimepirida 2 mg C/30,,29.08,40.0,1,corregido a mano
0012,7502209858237,fc_sin_ean,Elaphterón (Lamotrigina) Tableta 25 mg dispersable Caja con 28 tabletas Avitus,FC-9ABFB996,Elaphteron,,30.77,42.0,3,corregido a mano
0013,7503004908721,fc_sin_ean,Fluocinolona (Fluocinolona) Crema 0.01% Tubo 40 g Alpharma,FC-1BF03D35,Acetonido De Fluocinolona Cma,,18.44,23.98,1,corregido a mano
0014,7501249606778,eq_sin_ean,Postday (Levonorgestrel) Comprimido 1.5 mg Caja con 1 comprimido ifa,EQ-IFA001,Postday 1 Comp 1.5 Mg,,61.32,99,2,corregido a mano
0015,7503027446408,eq_sin_ean,Lorefic-D (Colecalciferol) Cápsula 4000 UI Caja con 30 cápsulas,EQ-PGE059,Lorefic-D 30 Caps 4000 Ui,,38.79,63,1,corregido a mano
0016,7502009746727,falta,Cariden (Deflazacort) Tableta 6 mg Caja con 20 tabletas Maver,,,,90.81,146,2,otra presentación / no encaja
0017,7501075722543,fc_sin_ean,Pabesorag (Irbesartán-HCTZ) Tabletas 150/12.5 mg Caja con 28 tabletas Novag,FC-5885E577,Pabesorag,,60.47,82.0,2,corregido a mano
0018,7501349024922,eq_sin_ean,citalopram (citalopram) Tableta 20 mg Caja con 14 tabletas AMSA,EQ-AMS472,Citalopram 14 Tab 20 Mg,,35.08,57,2,corregido a mano
0019,780083140021,eq_sin_ean,"Otilin (Lidocaína, Neomicina) Gotas 20 mL  Collins",EQ-COL073,Otilin 1 Got 350mg/2g De 20 Ml,,25.01,41,2,corregido a mano
0020,785120754681,eq_sin_ean,Hidroxin (Hidroxizina) Tabletas 10 mg Caja con 30 tabletas MAVI,EQ-MAI099,Hidroxin 30 Tab 10 Mg,,34.6,56,1,corregido a mano
0021,785120755442,fc_sin_ean,Pralex (Escitalopram) Tableta 10 mg Caja con 28 tabletas MAVI,FC-04D83B46,Pralex,,42.85,58.0,4,corregido a mano
0022,7501563380286,eq_sin_ean,Indometacina (Indometacina) Cápsula 25 mg Caja con 30 cápsulas,EQ-RAD082,Indometacina 30 Caps 25 Mg,,20.02,33,2,corregido a mano
0023,75058661,fc_sin_ean,Hialuronato de sodio (Hialuronato de sodio) Gotas 4 mg/mL Frasco 10 mL OPKO,FC-A2B284E0,Hialuronato De Sodio 4Mg,,113.89,148.06,1,corregido a mano
0024,7502223112346,eq_sin_ean,Histapharm (Desloratadina) Tabletas 5 mg Caja con 10 tabletas Quimpharma,EQ-QUM043,Histapharm 10 Tab 5 Mg,,21.99,36,1,corregido a mano
0025,7501349029712,falta,"dexametasona neomicina (Dexametasona, Neomicina) Gotas 1/3.5 mg/mL  AMSA",,,,4.41,8,11,otra presentación / no encaja
0026,7501349020535,falta,irbesartán (Irbesartán) Tableta 300 mg  AMSA,,,,,,,EAN nuevo
0027,7501573909958,eq_sin_ean,Colchicina (Colchicina) Tableta 1 mg Caja con 30 tabletas Biomep,EQ-BIO212,Colchicina 30 Tab 1 Mg,,30.37,49,1,corregido a mano
0028,500487172707,eq_sin_ean,Feniffler-T (Fenitoína) Tableta 100 mg Frasco 50 tabletas Loeffler,EQ-LOE058,Feniffler-T 50 Tab 100 Mg,,20.08,33,2,corregido a mano
0029,7501563380439,eq_sin_ean,Calcio (Calcio) Comprimido efervescente 500 mg Tubo 12 Raam,EQ-RAD096,Calcio Efe 12 Comp 500 Mg,,39.07,63,1,corregido a mano
0030,7502004401409,falta,"Dexne Nasal (Fenilefrina, Dexametasona, Neomicina) Gotas Frasco 10 mL Offenbach",,,,42.69,69,3,otra presentación / no encaja
0031,7501342803418,eq_sin_ean,Dexametasona (Dexametasona) Tableta 0.5 mg Caja con 20 tabletas beadvance,EQ-BEA342,Dexametasona/Ciprofloxacino Sol,,43.08,69,1,corregido a mano
0032,7502009741326,eq_sin_ean,"Doltrix (Clonixinato, Hioscina) Inyectable 100/20 mg Caja con 3+3 amp Maver",EQ-MAV140,Doltrix 3 Amp 100/20mg/2 Ml,,61.88,100,4,corregido a mano
0033,7502001162600,eq_sin_ean,"Poral Ótico (Hidrocortisona, Cloranfenicol, Benzocaína) Gotas 10 mL  SON'S",EQ-SON193,Poral Otico 1 Got 10 Ml,,34.41,56,2,corregido a mano
0034,7506335700019,eq_sin_ean,Steryx (Finasterida) Tableta 5 mg Caja con 30 tabletas Accord,EQ-ACC066,Steryx 30 Tab 5 Mg,,40.51,65,1,corregido a mano
0035,7502274791163,eq_sin_ean,Vixgoplisol (Levetiracetam) Tabletas 500 mg Caja con 60 tabletas Solfrán,EQ-SOF041,Vixgoplisol 60 Tab 500 Mg,,112.04,180,1,corregido a mano
0036,7501349022249,eq_sin_ean,levetiracetam (Levetiracetam) Tabletas 1000 mg  AMSA,EQ-AMS497,Levetiracetam 30 Tab 1000 Mg,,120.9,194,1,corregido a mano
0037,7502216806474,eq_sin_ean,Levonorgestrel (Levonorgestrel) Tabletas 1.5 mg Caja con 1 tableta Ultra,EQ-ULT230,Levonorgestrel 1 Tab 1.5 Mg,,15.5,25,5,corregido a mano
