orden,archivo,tipo,ean,todos,ean_valido
1,ordenadas/0001_b_codigo.jpg,CODIGO,7502001165397,7502001165397,si
2,ordenadas/0002_b_codigo.jpg,CODIGO,7502227871058,7502227871058,si
3,ordenadas/0003_b_codigo.jpg,CODIGO,7502227426982,7502227426982,si
4,ordenadas/0004_b_codigo.jpg,CODIGO,,780083144302,no
5,ordenadas/0005_b_codigo.jpg,CODIGO,7502211784029,7502211784029,si
6,ordenadas/0006_b_codigo.jpg,CODIGO,7503004908738,7503004908738,si
7,ordenadas/0007_b_codigo.jpg,CODIGO,7503003738879,7503003738879,si
8,ordenadas/0008_b_codigo.jpg,CODIGO,7502001165397,7502001165397,si
9,ordenadas/0009_b_codigo.jpg,CODIGO,7502009747236,7502009747236,si
10,ordenadas/0010_b_codigo.jpg,CODIGO,7506624901059,7506624901059,si
11,ordenadas/0011_b_codigo.jpg,CODIGO,7502227875568,7502227875568,si
12,ordenadas/0012_b_codigo.jpg,CODIGO,7502227872123,7502227872123,si
13,ordenadas/0013_b_codigo.jpg,CODIGO,7502009745522,7502009745522,si
14,ordenadas/0014_b_codigo.jpg,CODIGO,7502227871416,7502227871416,si
15,ordenadas/0015_b_codigo.jpg,CODIGO,7501075723137,7501075723137,si
16,ordenadas/0016_b_codigo.jpg,CODIGO,7502001165724,7502001165724,si
17,ordenadas/0017_b_codigo.jpg,CODIGO,7502223111202,7502223111202,si
18,ordenadas/0018_b_codigo.jpg,CODIGO,7502223111387,7502223111387,si
19,ordenadas/0019_b_codigo.jpg,CODIGO,7501573906469,7501573906469,si
20,ordenadas/0020_b_codigo.jpg,CODIGO,7501075718676,7501075718676,si
21,ordenadas/0021_b_codigo.jpg,CODIGO,7501075713770,7501075713770,si
22,ordenadas/0022_b_codigo.jpg,PORTADA,,,
23,ordenadas/0023_b_codigo.jpg,CODIGO,7502003388008,7502003388008,si
24,ordenadas/0024_b_codigo.jpg,CODIGO,7502009745584,7502009745584,si
25,ordenadas/0025_b_codigo.jpg,CODIGO,7502211780229,7502211780229,si
26,ordenadas/0026_b_codigo.jpg,CODIGO,,785118754259,no
27,ordenadas/0027_b_codigo.jpg,CODIGO,7502009745560,7502009745560,si
28,ordenadas/0028_b_codigo.jpg,CODIGO,7503000422511,7503000422511,si
29,ordenadas/0029_b_codigo.jpg,CODIGO,7502227427392,7502227427392,si
30,ordenadas/0030_b_codigo.jpg,CODIGO,7501836003621,7501836003621,si
31,ordenadas/0031_b_codigo.jpg,CODIGO,,714908100228,no
32,ordenadas/0032_b_codigo.jpg,CODIGO,7502216803800,7502216803800,si
33,ordenadas/0033_b_codigo.jpg,CODIGO,7501349022485,7501349022485,si
34,ordenadas/0034_b_codigo.jpg,CODIGO,7503014377197,7503014377197,si
35,ordenadas/0035_b_codigo.jpg,CODIGO,7501109763986,7501109763986,si
36,ordenadas/0036_b_codigo.jpg,CODIGO,7503014377180,7503014377180,si
37,ordenadas/0037_b_codigo.jpg,CODIGO,,780083140588,no
38,ordenadas/0038_b_codigo.jpg,CODIGO,7501482200016,7501482200016,si
39,ordenadas/0039_b_codigo.jpg,CODIGO,7502253601339,7502253601339,si
40,ordenadas/0040_b_codigo.jpg,CODIGO,7501075717914,7501075717914,si
41,ordenadas/0041_b_codigo.jpg,CODIGO,7502009740435,7502009740435,si
42,ordenadas/0042_b_codigo.jpg,CODIGO,7502009749209,7502009749209,si
43,ordenadas/0043_b_codigo.jpg,CODIGO,7502001165953,7502001165953,si
