par,ean,estado,sku,nombre_foto,nombre_bd,ean_bd,pa,forma,marca,conc,unid,pres,nota
0001,7502001165397,nombre_sin_ean,EQ-SON233,Zimeton,Zimeton 20 Tab 130/50/40 Mg,,Pancreatina / Bilis / Dimeticona,Tableta,SON'S,130/50/40 mg,20,Caja con 20 tabletas,cands_sin=1 tot=1
0002,7502227871058,nombre_sin_ean,EQ-RAM014,Fermig,Fermig 2 Tab 100 Mg,,Sumatriptán,Tableta,RAAM,100 mg,2,Caja con 2 tabletas,cands_sin=1 tot=1
0003,7502227426982,nombre_con_otro_ean,FC-27427392,ML-PRIM,ML-PRIM metocarbamol/ibuprofeno C/12,7502227427392,Metocarbamol / Ibuprofeno,Cápsula,GEL pharma,375 mg / 200 mg,12,Caja con 12 cápsulas,NO_PISAR ean_bd cands=1
0004,780083144302,ean_ya,FC-83144302,Collifrin,Collifrin Adulto (Oximetazolina) 0.05% extra humectante,0780083144302,Oximetazolina,Solución nasal,Collins,0.05%,,Frasco 20 mL adulto,"forma,conc"
0005,7502211784029,nombre_sin_ean,FC-52D2A43A,Zukedib,Zukedib glimepirida 2 mg C/30,,Glimepirida,Tableta,Loeffler,2 mg,30,Caja con 30 tabletas,cands_sin=1 tot=2
0006,7503004908738,ean_ya,FC-04908738,Lidocaína,Lidocaina unguento 5% tubo 35 g,7503004908738,Lidocaína,Ungüento,Alpharma,5%,,Tubo 35 g,conc
0007,7503003738879,ean_ya,FC-03738879,Rosel-T,Rosel-t antigripal C/15,7503003738879,Amantadina / Clorfenamina / Paracetamol,Tableta,Wermar,50/3/300 mg,15,Caja con 15 tabletas,conc
0008,7502001165397,nombre_sin_ean,EQ-SON233,Zimeton,Zimeton 20 Tab 130/50/40 Mg,,Pancreatina / Bilis / Dimeticona,Tableta,SON'S,130/50/40 mg,20,Caja con 20 tabletas,cands_sin=1 tot=1
0009,7502009747236,ean_ya,FC-09747236,Exaliv,Bactiver infantil tabletas Maver,7502009747236,Paracetamol / Fenilefrina / Clorfenamina,Tableta,Maver,325/5/2 mg,24,Caja con 24 tabletas,conc
0010,7506624901059,ean_ya,FC-24901059,beadvancé Senósidos,beadvance Senósidos A-B 8.6 mg,7506624901059,Senósidos A-B,Tableta,beadvance,8.6 mg,20,Caja con 20 tabletas,"pa,conc"
0011,7502227875568,ean_ya,FC-27875568,Desrotan,Desrotan fexofenadina 180 mg C/10,7502227875568,Fexofenadina,Tableta,RAAM,180 mg,10,Caja con 10 tabletas,completo
0012,7502227872123,ean_ya,FC-27872123,Raamcinet,Raamcinet cetirizina 10 mg,7502227872123,Cetirizina,Tableta,RAAM,10 mg,10,Caja con 10 tabletas,conc
0013,7502009745522,ean_ya,FC-09745522,Galaver sobres,Treda antidiarreico sobres Maver,7502009745522,Magaldrato / Dimeticona,Gel,Maver,80 mg / 10 mg / 1 mL,10,Caja con 10 sobres de 10 mL,conc
