producto,ean,estado,codigo_prov,descripcion_ticket,lote,caducidad,cantidad,costo_unitario
Sarox Omeprazol cáps 20 mg — caja c/14,7501573902584,MATCH (2 candidatos),BIO067,SAROX 14 CAPS 20 MG,5D2618,2028-04-01,5,8.42
Sarox Omeprazol cáps 20 mg — caja c/14,7501573902584,MATCH (2 candidatos),BIO213,SAROX 28 CAPS 20 MG,5E2646,2028-05-01,5,15.61
Sarox Omeprazol cáps 20 mg — caja c/28,7501573909859,MATCH (2 candidatos),BIO067,SAROX 14 CAPS 20 MG,5D2618,2028-04-01,5,8.42
Sarox Omeprazol cáps 20 mg — caja c/28,7501573909859,MATCH (2 candidatos),BIO213,SAROX 28 CAPS 20 MG,5E2646,2028-05-01,5,15.61
Wamindel Paracetamol gotas 100 mg/mL — frasco 30 mL,7503001007656,MATCH (2 candidatos),BIO068,WAMINDEL 1 SOL 3.20G/120 ML,LB2645,2028-02-01,2,15.44
Wamindel Paracetamol gotas 100 mg/mL — frasco 30 mL,7503001007656,MATCH (2 candidatos),BIO087,WAMINDEL 1 GOT 100MG/30 ML,LF2607,2028-06-30,1,12.02
Wamindel Paracetamol sol. infantil 3.2 g/100 mL — frasco 120 mL,7503001007663,MATCH (2 candidatos),BIO068,WAMINDEL 1 SOL 3.20G/120 ML,LB2645,2028-02-01,2,15.44
Wamindel Paracetamol sol. infantil 3.2 g/100 mL — frasco 120 mL,7503001007663,MATCH (2 candidatos),BIO087,WAMINDEL 1 GOT 100MG/30 ML,LF2607,2028-06-30,1,12.02
Braxigort Nifuroxazida susp. 4.4 g/100 mL — frasco 90 mL,7501825304555,MATCH,DEG186,BRAXIGORT 1 SUSP 90 ML,487AA,2028-05-31,1,39.45
Virindrez Adulto Oximetazolina 0.050% — atomizador 20 mL,7501836006042,MATCH (2 candidatos),LIF161,VIRINDREZ INFANTIL 1 ATOM 25 MG/20 ML,26C079,2028-04-30,1,20.70
Virindrez Adulto Oximetazolina 0.050% — atomizador 20 mL,7501836006042,MATCH (2 candidatos),LIF160,VIRINDREZ ADULTO 1 ATOM 50 MG/20 ML,26D035,2028-04-30,2,23.85
