archivo,par,lado,detectado,ean,todos,ok_ean
0001_a_portada.jpg,0001,PORTADA,PORTADA,,,
0001_b_codigo.jpg,0001,CODIGO,PORTADA,,,
0002_a_portada.jpg,0002,PORTADA,PORTADA,,,
0002_b_codigo.jpg,0002,CODIGO,CODIGO,7501573909859,7501573909859,si
0003_a_portada.jpg,0003,PORTADA,PORTADA,,,
0003_b_codigo.jpg,0003,CODIGO,CODIGO,7503001007656,7503001007656,si
0004_a_portada.jpg,0004,PORTADA,PORTADA,,,
0004_b_codigo.jpg,0004,CODIGO,CODIGO,7501825304555,7501825304555,si
0005_a_portada.jpg,0005,PORTADA,PORTADA,,,
0005_b_codigo.jpg,0005,CODIGO,CODIGO,7501836006042,7501836006042,si
0006_a_portada.jpg,0006,PORTADA,PORTADA,,,
0006_b_codigo.jpg,0006,CODIGO,CODIGO,7503014377074,7503014377074,si
0007_a_portada.jpg,0007,PORTADA,PORTADA,,,
0007_b_codigo.jpg,0007,CODIGO,CODIGO,7503004908714,7503004908714,si
0008_a_portada.jpg,0008,PORTADA,PORTADA,,,
0008_b_codigo.jpg,0008,CODIGO,CODIGO,7506624901059,7506624901059,si
0009_a_portada.jpg,0009,PORTADA,PORTADA,,,
0009_b_codigo.jpg,0009,CODIGO,CODIGO,7502211788928,7502211788928,si
0010_a_portada.jpg,0010,PORTADA,PORTADA,,,
0010_b_codigo.jpg,0010,CODIGO,CODIGO,7503008344150,7503008344150,si
0011_a_portada.jpg,0011,PORTADA,PORTADA,,,
0011_b_codigo.jpg,0011,CODIGO,CODIGO,7503003738879,7503003738879,si
0012_a_portada.jpg,0012,PORTADA,PORTADA,,,
0012_b_codigo.jpg,0012,CODIGO,CODIGO,7502211783282,7502211783282,si
0013_a_portada.jpg,0013,PORTADA,PORTADA,,,
0013_b_codigo.jpg,0013,CODIGO,CODIGO,7501573902966,7501573902966,si
0014_a_portada.jpg,0014,PORTADA,PORTADA,,,
0014_b_codigo.jpg,0014,CODIGO,CODIGO,7503001007663,7503001007663,si
0015_a_portada.jpg,0015,PORTADA,PORTADA,,,
0015_b_codigo.jpg,0015,CODIGO,CODIGO,7501836009661,7501836009661,si
0016_a_portada.jpg,0016,PORTADA,PORTADA,,,
0016_b_codigo.jpg,0016,CODIGO,CODIGO,780083142308,780083142308,si
0017_a_portada.jpg,0017,PORTADA,PORTADA,,,
0017_b_codigo.jpg,0017,CODIGO,CODIGO,7502001165045,7502001165045,si
0018_a_portada.jpg,0018,PORTADA,PORTADA,,,
0018_b_codigo.jpg,0018,CODIGO,CODIGO,7503008344303,7503008344303,si
0019_a_portada.jpg,0019,PORTADA,PORTADA,,,
0019_b_codigo.jpg,0019,CODIGO,CODIGO,7502211783282,7502211783282,si
0020_a_portada.jpg,0020,PORTADA,PORTADA,,,
0020_b_codigo.jpg,0020,CODIGO,CODIGO,7501836006028,7501836006028,si
0021_a_portada.jpg,0021,PORTADA,PORTADA,,,
0021_b_codigo.jpg,0021,CODIGO,CODIGO,7502001165953,7502001165953,si
0022_a_portada.jpg,0022,PORTADA,PORTADA,,,
0022_b_codigo.jpg,0022,CODIGO,CODIGO,7502240450230,7502240450230,si
0023_a_portada.jpg,0023,PORTADA,PORTADA,,,
0023_b_codigo.jpg,0023,CODIGO,CODIGO,7502240450230,7502240450230,si
0024_a_portada.jpg,0024,PORTADA,PORTADA,,,
