ean,par,estado,sku,nombre_bd,activo,costo,precio,stock,nombre_foto
7501573902584,0001,en_inventario,FC-73902584,Sarox (Omeprazol) 20 mg,True,8.42,14,5,Sarox (Omeprazol) 20 mg c/14
7501573909859,0002,en_inventario,FC-73909859,Sarox (Omeprazol) 20 mg,True,15.61,25,5,
7503001007656,0003,en_inventario,FC-01007656,Wamindel (Paracetamol) gotas 100 mg/mL,True,12.02,20,1,
7501825304555,0004,en_inventario,FC-25304555,Braxigort (Nifuroxazida) suspensión 4.4 g/100 mL,True,39.45,64,1,
7501836006042,0005,en_inventario,FC-36006042,Virindrez Adulto (Oximetazolina) 0.050%,True,23.85,39,2,
7503014377074,0006,en_inventario,FC-14377074,Playboy Playpack mixtos,True,30.83,50,1,
7503004908714,0007,en_inventario,FC-04908714,Miconazol crema 2%,True,10.87,18,1,
7506624901059,0008,en_inventario,FC-24901059,[REVISAR-EAN] Producto Novag Reg. 410M2016,True,11.14,18,2,
7502211788928,0009,en_inventario,FC-11788928,Desyn-N (Lidocaína/Hidrocortisona) 60/5 mg,True,31.62,51,1,
7503008344150,0010,en_inventario,FC-08344150,Prugnex Senósidos A-B 12 mg + ciruela 50 mg,True,37.07,60,1,
7503003738879,0011,en_inventario,FC-03738879,Rosel-t antigripal C/15,True,21.26,0,3,
7502211783282,0012,en_inventario,FC-11783282,Erbitrax (Terbinafina) crema 1%,True,28.62,46,2,
7501573902966,0013,en_inventario,FC-73902966,Nafich (Terbinafina) crema 1%,True,13.06,21,2,
7503001007663,0014,en_inventario,FC-01007663,Wamindel (Paracetamol) solución infantil 3.2 g/100 mL,True,15.44,25,2,
7501836009661,0015,en_inventario,FC-36009661,Dualgos (Paracetamol/Ibuprofeno) 325/200 mg,True,29.02,47,3,
780083142308,0016,en_inventario,FC-83142308,Tempire (Paracetamol) gotas 100 mg/mL,True,20.0,32,1,
7502001165045,0017,en_inventario,FC-01165045,Dolzycam (Piroxicam) gel 0.5%,True,24.81,40,1,
7503008344303,0018,en_inventario,FC-08344303,Ladexgel 300/2/10 mg,True,20.55,33,2,
7501836006028,0020,en_inventario,FC-36006028,Virindrez Infantil (Oximetazolina) 0.025%,True,20.7,34,1,
7502001165953,0021,en_inventario,FC-01165953,Rexurdir nifuroxazida 400 mg C/16,True,29.92,0,3,
7502240450230,0022,en_inventario,FC-40450230,Rosel solución infantil 0.5/0.02/3 g,True,26.88,44,2,
7501825300366,0024,en_inventario,FC-25300366,Espabion (Trimebutina) 20 mg/mL gotas,True,25.67,42,1,
7502009745997,0025,en_inventario,FC-09745997,Pamedan (Dexpantenol) crema 5%,True,19.53,32,1,
785118752637,0026,en_inventario,FC-18752637,Itamol (Subsalicilato de bismuto) 262 mg,True,34.09,55,1,
7502006920021,0027,en_inventario,FC-06920021,Motilaxil-T (Picosulfato de sodio) 5 mg,True,17.02,28,1,
7502009745539,0028,en_inventario,FC-09745539,Lumboxen gel (Naproxeno/Lidocaína) 10/2 g,True,39.54,64,2,
7501258207010,0029,en_inventario,FC-58207010,Oxital-C (Vitamina C) 2 g efervescente,True,62.48,100,6,
