sku,nombre,marca,presentacion,categoria
FC-00003920,Mercurio Arnica,Mercurio,,Producto
FC-00701992,Nivea Manos 3En1 Ant-Arrugas,Nivea,75 ML,Cuidado personal
FC-00942760,Gel facial hidratante hialurónico,Nivea,200 ML,Cuidado personal
FC-00E8A9C7,Fotosun UV100,Fotosun,125 ML,Cuidado personal
FC-01015141,Lubricante original,Softlub,56.7 G,Higiene
FC-01157296,Naturella Flujo Mod C/Alas,Naturella,C/8,Higiene
FC-01165321,Pantene Acond Rizos Definid,Pantene,400 ML,
FC-01246730,Vaporub Pom C12 Latas,Vaporub,12 G,Producto
FC-01303454,Pantene Ctrcaida A/Pv,Pantene,400 ML,Higiene
FC-01405335,Naturella Noche Con Alas,Naturella,C/8,Higiene
FC-01B2F362,Fasiclor,Fasiclor,1 SUSPENSION,Otro
FC-02012468,Vaporub Ung,Vaporub,50 G,Botiquín
FC-02012475,Vick Ung,Vick,100 G,Botiquín
FC-022543CD,Valclan,Valclan,10 TABLETAS,Otro
FC-03406501,Quirmex,Quirmex,25 CM x 5 M,Botiquín
FC-03406600,Quirmex,Quirmex,,Botiquín
FC-04D83B46,Pralex,Pralex,28 TABLETAS,Otro
FC-05965071,Acroxil-C,Acroxil-C,12 CAPSULAS,Otro
FC-06134531,Afrin Dtc (Rojo) 20,Afrin,,Producto
FC-06209862,Axe 48H Anarchy Fresh Love Fo,Axe,SPRAY 150 ML,Higiene
FC-06213906,Axe Icechi E-Frio,Axe,SPRAY 150 ML,Higiene
FC-06217461,Rexona Effi Fresh,Rexona,200 G,Higiene
FC-06226852,Axe Wom Anarchy,Axe,SPRAY 150 ML,Higiene
FC-06230507,Dove Barra Karite Vainill,Dove,135 G,Higiene
FC-06234062,Sedal Anti Nudos,Sedal,300 ML,Cuidado personal
FC-06241206,Dove Dermac Sk-C 48H,Dove,SPRAY 150 ML,Higiene
FC-06244795,Axe Intense 48H,Axe,SPRAY 150 ML,Higiene
FC-06245686,Axe Men Epic-F 48H,Axe,SPRAY 150 ML,Higiene
FC-06247327,Afrin Spray No Drip Extra Humectante Spray Drip Extra,Afrin,,
FC-06247468,Ego Fresh C-Cas Fij-Alt,Ego,200 ML,Cuidado personal
FC-06248045,Dove Spy Invisible Dry C3,Dove,150 ML,Higiene
FC-06248052,Dove Aero Tono Uniforme 3Pack,Dove,150 ML,Higiene
FC-06249226,Savile Bio-Sab Creci Res,Savile,700 ML,Higiene
FC-06249240,Savile Ker-Sab Fza Repar,Savile,700 ML,Higiene
FC-06249776,Sedal Ceramidas Inf-Act,Sedal,180 ML,Higiene
FC-06249783,Sedal Rizos Def Inf-Act,Sedal,180 ML,Higiene
FC-06257597,Rexona 1O0 G Tco Pies Efficient Orig,Rexona,,
FC-07457796,Pantene Brillo Extremo,Pantene,,Higiene
FC-07457826,Pantene Brillo Extremo,Pantene,40 ML,Higiene
FC-07502441,Johnson S Baby Antes/Dor,Johnson,75 G,Higiene
FC-07521317,Gotero de cristal,Genérico,,Botiquín
FC-07528939,Lubriderm Thint Psec120 Ml,Lubriderm,,Cuidado personal
FC-07F04F88,I.M,Amcef,1 FRASCO AMPULA,Otro
FC-08344488,Lactopram,Lactopram,430 MG · C/20,Otro
FC-08344747,Afrodit,Afrodit,400 UI,Producto
FC-08426944,Flanax,Flanax,40 G,Otro
FC-08427330,Bepanthen,Bepanthen,100 G,Otro
FC-08443026,Alka-Seltzer,Alka-Seltzer,C/100,Otro
FC-08485316,Tabcin Eferv,Tabcin,50 TABLETAS · C/12,Otro
FC-08491074,Aspirina,Aspirina,80 TABLETAS,Otro
FC-08491096,Cafiaspirina Tar C/100,Cafiaspirina,C/100,Otro
FC-08496701,Aspirina Eferv,Aspirina,C/12,Otro
FC-08498798,Bepanthen Multiusos Pomada 30 Multiusos Pomada,Bepanthen,,
FC-08802838,Nivea B Sofmilk Sec400 Ml,Nivea,,Cuidado personal
FC-08820243,Dermodine Ine M 1 37.60 Ine,Dermodine,,
FC-08837311,Nivea Pearlb Mspy,Nivea,150 ML,Higiene
FC-08895196,Aspirina,Aspirina,C/10,Otro
FC-08DB70CB,Bicarbonato Velazquez Grande 200G,Bicarbonato,C/10,Producto
FC-09419324,Sensodyne Original,Sensodyne,,Higiene
FC-09498091,Sensodyne Complet + Acc Lim Efec,Sensodyne,90 G,Botiquín
FC-0ACC5B6A,Mercurio Oxido De Zinc,Mercurio,C/25,Cuidado personal
FC-0BDE9283,Clophiven 200 Dosis 50 Mcg,Clophiven,15 G,Producto
FC-0E0A9E42,S,Clamoxin,1 SUSPENSION,Otro
FC-10974329,Listerine Zero Mta Sve,Listerine,250 ML,Higiene
FC-11294615,Amikacina,,2 AMPOLLETA,Otro
FC-127F5753,Mercurio Arnica Tomar 1780823 83156,Mercurio,C/25,Producto
FC-1321B34F,Hidroxon,Hidroxon,30 TABLETAS,Otro
FC-14119032,Jabón azufre con miel,Azufre,,Higiene
FC-14121782,Jabón proteína de arroz y concha nácar,Genérico,,Higiene
FC-14704156,Senosiain Supos Adto C/10,Senosiain,C/10,Otro
FC-14704163,Senosiain Supos Ine C/10,Senosiain,C/10,Otro
FC-14980596,Prudence Mora Cond Mexico 34.10 Mora Cond Mexico,Prudence,C/3,
FC-14982514,Prudence,Prudence,C/3,Producto
FC-14983153,Prudence Grosella,Prudence,75 ML,Higiene
FC-14983726,Prudence Natural Lubricante Natural,Prudence,75 ML,Higiene
FC-14985348,Prudence Ull Sensitive Cond 'Ull Sensitive,Prudence,C/3,Higiene
FC-14985805,Prudence Chicle C/E Idkt Cond Chicle,Prudence,,Higiene
FC-16800803,Diapro Confort Med,Diapro,C/10,Producto
FC-17360604,Kotex Ant Flujo Abundante S/A 10Pz,Kotex,,Higiene
FC-17376CAE,Aspitak-P,Aspitak-P,30 COMPRIMIDOS,Otro
FC-174824A0,Vernisen,Vernisen,6 TABLETAS,Otro
FC-1751468C,Flospet,Flospet,8 TABLETAS,Otro
FC-1812D26D,Hucius Capsulas,Hucius,C/30,Producto
FC-19006371,Saba Inv Alas,Saba,C/10,Higiene
FC-19006623,Saba Buenas Noches,Saba,,Higiene
FC-1AE9D7E6,Collucort,Collucort,1 CREMA,Otro
FC-1BF03D35,Acetonido De Fluocinolona Cma,Acetonido,,Producto
FC-1CF27DC9,Dex,Dison,1 FRASCO AMPULA,Otro
FC-1DA570E3,Cloxan,Cloxan,20 COMPRIMIDOS,Otro
FC-1DAD5EF1,Tusilen Ad 1 Ibe 240/30/50Mg/100,Tusilen,118 ML,Producto
FC-1FBF5206,Del Viejito Reomatolum,Del Viejito,60 G,Cuidado personal
FC-1FEA2FB7,Amikacina,,1 AMPOLLETA,Otro
FC-1FFBB505,Dac,Supratex,1 SOLUCION,Otro
FC-2001A890,Ad,Ampigrin,3 AMPOLLETA,Otro
FC-2005DD57,Cefalexina,,20 CAPSULAS,Otro
FC-20500171,Pert Oliv+Ac Agu P/Pein,Pert,100 ML,Cuidado personal
FC-20500201,Pert Plus Ac-Oliva,Pert,400 ML,Higiene
FC-20501673,Hinds Liq Agave Azul,Hinds,400 ML,Cuidado personal
FC-20501765,Grisi Aloe Vera P/Manos,Grisi,80 ML,Cuidado personal
FC-21012303,Claris Desmaq Aloe,Claris,C/40,Higiene
FC-21042481,Manzanilla Ml Hnos 31.40 Hnos,Manzanilla,,Producto
FC-22105207,Grisi Neutro,Grisi,150 G,Higiene
FC-22111352,Grisi Corp Diabecare,Grisi,125 G,Higiene
FC-22133286,Grisi Rici Oro Miel,Grisi,250 ML,Higiene
FC-22150092,Grisi Leche De Burra,Grisi,125 G,Higiene
FC-22150221,Ricitos de Oro Neutro,Ricitos de Oro,90 G,Higiene
FC-22150801,Grisi Avena,Grisi,125 G,Higiene
FC-22B18244,I.M,Cefotaxima,1 FRASCO AMPULA,Otro
FC-23001331,Sr I Ting,Sr,,Producto
FC-23272151,Jeringa insulina 0.3 ml,Jayor,C/100,Botiquín
FC-23273451,Jeringa insulina 0.5 ml,Jayor,C/100,Botiquín
FC-24004581,Ajolotius Pastillas Elderberry Past,Ajolotius,,Producto
FC-24227339,Loxcel adulto,Loxcel,C/1,Otro
FC-24511629,Silica Shine uva,Silica Shine,120 ML,Higiene
FC-24511636,Silica Shine Sily 3/1 Naran,Silica Shine,12 ML,Higiene
FC-24511711,Silica Shine Sily 3/1 Mora,Silica Shine,120 ML,Higiene
