sku,id,old,new
FC-40036354,608,Genoprazol Tab,Genoprazol tabletas C/7
FC-4F05124E,554,Gelcavit-9M Capsulas,Gelcavit-9M cápsulas C/30
FC-AA7B0686,156,Drosquim Ad 1 Ibe 300/160,Drosquim adulto jarabe 300/160
FC-00701992,327,Crema Nivea Manos  Ant-Arrugas,Crema Nivea manos antiarrugas
FC-06134531,444,Afrin Adulto rojo spray,Afrin Adulto spray 20 mL
FC-56342258,250,Crema Para Peinar Sedal Recons Inst,Crema para peinar Sedal reconstructor instantáneo
FC-84500522,586,Cinta Micropor Cintapore Blanca 2.5 cm x 5m,Cinta micropore blanca 2.5 cm x 5 m
FC-80596011,603,Aderogyl Amp,Aderogyl ampolletas C/4
FC-08485316,458,Tabcin Eferv,Tabcin efervescente
FC-84500607,587,Cinta Micropor Cintapore Blanca 2.5 cm x 9.1 m,Cinta micropore blanca 2.5 cm x 9.1 m
FC-D11D586A,151,Valgab 3 Ibe /6Ml,Valgab 3 jarabe 6 mL
FC-DF39BB27,559,Alevarin Capsulas,Alevarin cápsulas C/45
FC-D751525D,553,Animalin Formula liquida,Animalin fórmula líquida 30 mL
FC-62746643,433,Ajolotius Menta Fucal Menta Fucal,Ajolotius menta eucalipto pastillas
FC-35246309,493,Vick Drops Tengibre Pastillas Drops Tengibre,Vick Drops jengibre pastillas C/20
FC-08491096,475,Cafiaspirina Tar C/100,Cafiaspirina tartrato C/100
FC-08496701,484,Aspirina Eferv,Aspirina efervescente C/12
FC-40010538,597,Next Tab,Next tabletas C/10
FC-40017100,589,Xl-3 Vr,XL-3 VR C/24
FC-35908116,584,Talco Para Bebe Mennen Azul ch,Talco para bebé Mennen azul chico
FC-35908130,329,Talco Para Bebe Mennen Azul,Talco para bebé Mennen azul
FC-35908147,331,Talco Para Bebe Mennen Rosa,Talco para bebé Mennen rosa
FC-82790016,299,Talco Nuvel Pura Para Bebe,Talco Nuvel Pura para bebé
FC-20500201,220,Shampoo Pert  Ac-Oliva,Shampoo Pert Aceite oliva
FC-36033735,304,Shampoo Ricitos de Oro Oro Agua De Coco,Shampoo Ricitos de Oro Agua De Coco
FC-36032776,296,Shampoo Ricitos de Oro Oro Biopure,Shampoo Ricitos de Oro Biopure
FC-06248052,206,Dove Aero Tono Uniforme Calendula y VitaminaE,Dove aerosol tono uniforme caléndula y vitamina E
FC-1812D26D,555,Hucius Capsulas,Hucius cápsulas
FC-BE2ACF63,558,Valnait Capsulas Valeriana,Valnait cápsulas valeriana
FC-1DAD5EF1,160,Tusilen Ad 1 Ibe 240/30/50Mg/100,Tusilen adulto jarabe
FC-52400212,424,Ajolotius Jengibre Tab Nati Jengibre,Ajolotius jengibre pastillas
