ticket,item,ean_ticket,qty,costo_pack,n,que_hacer,sku,ean_bd,costo_bd,stock_bd,costo_unit,nota
farmalive,Desenfriolito C/24 2PACK,7502276040610,1,91.92,2,NO alta — ya abierto,FC-76040610,7502276040405,45.96,2,45.96,"EAN del ticket es el 2-pack. Unidad ya está con EAN 7502276040405, costo 91.92/2, stock 2. OK."
farmalive,Old Spice stick TRIPACK,7500435144414,2,135.73,3,NO alta — ya abierto (3 aromas),FC-01163983 + Wolfthorn + Lena,distintos,45.24,2+2+2,45.24,2 tripacks → 6 barras. Costo 135.73/3=45.24. Tres SKUs × stock 2. OK. No crear el EAN del tripack.
farmalive,Colgate Premier Clean C/6,7509546657851,1,64.97,6,NO alta — ya abierto,FC-007206,6910021007206,10.82,6,10.83,"EAN ticket=caja. Unidad con otro EAN, 64.97/6, stock 6. OK."
farmalive,Kleenex PACK C/8,7501017362998,2,32.63,8,ya estaba bien (falsa alarma de costo),FC-73629981,7501017362998,4.079,16,4.079,2 cajas × 8 = 16. Costo unitario correcto. No pises con 32.63.
farmalive,Gasa Dibar 10 cajitas,7501868900127,1,123.58,10,costo/stock OK; precio de venta mal,FC-68900127,7501868900127,12.36,10,12.36,Costo y stock de pieza OK. Precio BD 197.73 es el de la caja — hay que bajarlo a ~20.
bodega,Dove aerosol 3PACK,7506306248052,1,167.69,3,ya estaba bien,FC-06248052,7506306248052,55.89,3,55.90,167.69/3. No actualices costo al de la caja.
bodega,Dove Invisible C3,7506306248045,1,147.30,3,ya estaba bien,FC-06248045,7506306248045,49.1,3,49.10,147.30/3. Mismo caso.
bodega,Clinic adulto C/12,7501072629012,1,96.63,12,ya estaba bien,FC-72629012,7501072629012,8.052,12,8.05,96.63/12. No pises con 96.63.
surtidor,Vick 12g C/12 latas,7501001246730,1,255.00,12,NO alta — ya abierto,FC-01246730,75916565,21.25,12,21.25,"EAN ticket=caja de 12. Unidad 255/12=21.25, stock 12. OK."
surtidor,Vick 100g / 50g,7590002012475 / 2468,1+1,238.32 / 201.00,1,ya estaba bien (usar neto),FC-02012475 / FC-02012468,igual,125.12 / 82.41,1 / 1,125.12 / 82.41,El ticket trae precio lista alto y descuento 47.5%/59%. El neto ya es el costo BD. No es 2-pack.
surtidor,Ensure / Pediasure / Glucerna,EAN de caja Abbott,2 c/u,42 / 44 / 47.50,1,NO alta — ya están con EAN de lata,FC-3395…,7501033954061 etc.,igual al ticket,2,igual,El ticket trae EAN de empaque/caja; en BD está el EAN de la lata. Mismo costo y stock. Glucerna vainilla truncado 7501033952 → 7501033956126.
surtidor,Naturella C/8,7501001157296 / 1405335,5+5,17 / 18.50,1,NO abrir — C/8 son toallas de la bolsa,FC-01157296 / FC-01405335,7506309895208 / 7506339394719,17 / 18.50,5 / 5,igual,Se vende la bolsa. Ya está (otro EAN). No dividir entre 8.
surtidor,Saba buenas noches 8 extra larga,7501019006623,5,19.80,?,REVISAR a mano,FC-19006623,7501019050664,9.90,5,9.90,"Costo BD = 19.80/2. Si era 2-pack, stock debería ser 10 no 5. Si es bolsa sencilla, costo debería ser 19.80."
surtidor,Tums 7 TB 3 SURT,7501065054135,1,37.48,1,dejar como 1 SKU (surtido),FC-65054135,7501065054043,37.48,1,37.48,Ya está con otro EAN. No parece que lo abran en 3.
farmalive,Redoxon 1g C/10 2PACK,7501008421321,1,162.68,2,arreglar costo de la unidad,FC-8421321,7501008409527,130.0,2,81.34,"Ya abierto (stock 2, EAN de caja suelta). Costo BD 130 es viejo; debería ser 162.68/2=81.34. El SKU 2-pack FC-08421321 stock 0 sobra."
farmalive,Aspirina C/80 2PACK,7501008491072,1,122.30,2,ya hay unidad; hay SKU sucio extra,FC-08499818,7501008499818,61.15,2,61.15,"Unidad OK (122.30/2, stock 2). Además existe FC-08491074 EAN 7501008491074 costo 124.8 stock 16 — parece el 2-pack sin abrir, revisar."
farmalive,Cafiaspirina C/100 2 PACK,7501008491096,1,217.46,2,arreglar: abierto a medias,FC-08491096,7501008491096,217.46,2,108.73,Stock 2 (abrieron) pero costo sigue siendo el de la caja. Debería 217.46/2=108.73.
farmalive,Jaloma pomada labios C/60,759684391255,1,171.50,60,NO está abierto,FC-4391156,759684391255,171.5,1,2.86,"Precio BD 14.7 parece de pieza, pero costo/stock son de exhibidor. Si lo abren: costo 2.86 stock 60."
farmalive,Tarmin 2 mg C/12,7502208891549,9,6.37,1,arreglar costo (no es pack),FC-88915491,7502208891549,58.5,9,6.37,FarmaLive ya los vendió sueltos (9×6.50). BD puso el total de línea 58.50 como costo unitario.
farmalive,Bepanthen 30 g / Multiusos 30 g,7501008427347 / 8498798,1+1,64.44 / 61.99,1,arreglar costo (no es pack),FC-08427330 / FC-08498798,igual,134.5 / 131.81,1 / 1,64.44 / 61.99,Le pegaron el costo del Bepanthen 100 g (131.81). El de 100 g EAN 7501008427330 sí falta como SKU.
farmalive,Vitacilina 28 g 2X1 / Colgate 2X1,7502250343072 / 7702010631207,1 / 2,38.12 / 24.21,2,confirmar si lo abren,FC-03430721 / FC-10631207,igual,38.12 / 24.21,1 / 2,19.06 / 12.11,Siguen como combo. Si abren el 2x1: Vitacilina stock 2 costo 19.06; Colgate stock 4 costo 12.11.
