id,sku,nombre,marca,codigo_barras,presentacion,categoria
6853,FC-91900099,Patyka Serum Corrector Antimanchas,Senti2,3700591900099,50 ml,Cuidado personal
6854,FC-91900198,Patyka Fluido Antimanchas Alta Protección SPF30,Senti2,3700591900198,50 ml,Cuidado personal
6855,FC-91900297,Patyka Peeling de Noche Renovador de Luminosidad,Senti2,3700591900297,50 ml,Cuidado personal
6856,FC-91900730,Patyka Exfoliante Alisante Doble Acción,Senti2,3700591900730,50 ml,Cuidado personal
6857,FC-91911286,Patyka Aceite Desmaquillante Clarificante,Senti2,3700591911286,200 ml,Cuidado personal
6858,FC-91914713,Patyka Huile Absolue - Suero Regenerador,Senti2,3700591914713,50 ml,Cuidado personal
6859,FC-91914911,Patyka Crema Solar Facial SPF50,Senti2,3700591914911,40 ml,Cuidado personal
7269,FC-91900082,Patyka Esencia Micropeeling Luminosidad,Senti2,3700591900082,100 ml,Cuidado personal
7270,FC-91911262,Patyka Espuma Limpiadora Detoxificante,Senti2,3700591911262,150 ml,Cuidado personal
7271,FC-91911293,Patyka Exfoliante Sorbet Iluminador,Senti2,3700591911293,50 ml,Cuidado personal
7272,FC-91912214,Patyka Serum Hidra-Booster,Senti2,3700591912214,50 ml,Cuidado personal
7273,FC-91912252,Patyka Mascarilla en Crema Rehidratante Intensa,Senti2,3700591912252,50 ml,Cuidado personal
7274,FC-91913327,Patyka Serum Intensivo Anti-Imperfecciones,Senti2,3700591913327,30 ml,Cuidado personal
7275,FC-91913358,Patyka Fluido Matificante Anti-Imperfecciones,Senti2,3700591913358,40 ml,Cuidado personal
7276,FC-91913372,Patyka Locion Purificante Anti-Imperfecciones,Senti2,3700591913372,200 ml,Cuidado personal
7277,FC-91914904,Patyka Crema Solar Facial SPF30,Senti2,3700591914904,40 ml,Cuidado personal
7278,FC-91914935,Patyka Leche Solar Corporal SPF50,Senti2,3700591914935,100 ml,Cuidado personal
7279,FC-91915512,Patyka Crema de Manos y Uñas,Senti2,3700591915512,40 ml,Cuidado personal
7676,FC-91900723,Patyka Loción de Tratamiento Alisante,Senti2,3700591900723,100 ml,Cuidado personal
7677,FC-91911279,Patyka Loción Láctea Calmante,Senti2,3700591911279,200 ml,Cuidado personal
7678,FC-91912238,Patyka Crema Hidratante y Calmante Piel Seca,Senti2,3700591912238,40 ml,Cuidado personal
7679,FC-91913341,Patyka Fluido Matificante Anti-Imperfecciones,Senti2,3700591913341,40 ml,Cuidado personal
7680,FC-91914928,Leche Solar Corporal SPF30,Senti2,3700591914928,100 ml,Cuidado personal
7681,FC-91914942,Patyka Gel Crema After Sun,Senti2,3700591914942,150 ml,Cuidado personal
7682,FC-91917516,Patyka Balsamo Labial,Senti2,3700591917516,10 ml,Cuidado personal
8133,FC-91900358,Patyka Exfoliante Alisante Doble Acción,Senti2,3700591900358,50 ml,Cuidado personal
8134,FC-91911255,Leche Desmaquillante Calmante,Senti2,3700591911255,150 ml,Cuidado personal
8135,FC-91912221,Patyka Crema Láctea Hidrante y Calmante,Senti2,3700591912221,40 ml,Cuidado personal
8136,FC-91913334,Patyka Gel Limpiador Purificante,Senti2,3700591913334,150 ml,Cuidado personal
8137,FC-91913365,Patyka Tratamiento Localizado Anti-Imperfecciones,Senti2,3700591913365,15 ml,Cuidado personal
8138,FC-91914362,Patyka Aceite Corporal Anti Estrias,Senti2,3700591914362,100 ml,Cuidado personal
