producto_id,codigo_barras,nombre,marca,presentacion,motivo
57,,Ursodesoxicolico,Acido,50 CAPSULAS,"sin codigo de barras: no hay nada que buscar, foto propia"
93,7501109900008,Protect aerosol 200 dosis,Protect,12.80 G,buscado sin coincidencia exacta de EAN; candidatos ambiguos de sabor/presentacion
94,,Eferox (Cefalexina),Calcio,12 COMPRIMIDOS,"sin codigo de barras: no hay nada que buscar, foto propia"
96,,Gentamicina,,25 COMPRIMIDOS,"sin codigo de barras: no hay nada que buscar, foto propia"
140,,Tratidri,Tratidri,1 GEL,"sin codigo de barras: no hay nada que buscar, foto propia"
243,7501001303454,Pantene Control caída anticaída,Pantene,400 ML,buscado sin coincidencia exacta de EAN; candidatos ambiguos de sabor/presentacion
277,7502245720567,Quitaesmalte coco,SKN,100 ML,buscado sin coincidencia exacta de EAN; candidatos ambiguos de sabor/presentacion
373,7501868910010,Algodón 200 g,Dibar,200 G,buscado sin coincidencia exacta de EAN; candidatos ambiguos de sabor/presentacion
518,,Mercurio,Mercurio,JARABE,"sin codigo de barras: no hay nada que buscar, foto propia"
533,,Perilla N6,Edigar,PIEZA,"sin codigo de barras: no hay nada que buscar, foto propia"
537,,Perilla Edigar N O Caja,Perilla,,"sin codigo de barras: no hay nada que buscar, foto propia"
539,,Perilla N4,Edigar,PIEZA,"sin codigo de barras: no hay nada que buscar, foto propia"
540,,Perilla N3,Edigar,PIEZA,"sin codigo de barras: no hay nada que buscar, foto propia"
541,,Perilla N2,Edigar,PIEZA,"sin codigo de barras: no hay nada que buscar, foto propia"
542,2008480100010,Perilla Edigar N1 (jeringa pera toda de hule),Edigar,PIEZA,"codigo interno de la farmacia (prefijo 2): no existe en ningun catalogo externo, foto propia"
547,7503022640153,Bicarbonato Velazquez Grande 200G,Bicarbonato,bolsa 200g,buscado sin coincidencia exacta de EAN; candidatos ambiguos de sabor/presentacion
