producto_id,codigo_barras,nombre,marca,presentacion,motivo
57,,Ursodesoxicolico,Acido,50 CAPSULAS,sin codigo de barras y nombre incompleto: foto propia
93,7501109900008,Protect aerosol 200 dosis,Protect,12.80 G,buscado por EAN y por nombre; sin candidato que pase revision visual
94,,Eferox (Cefalexina),Calcio,12 COMPRIMIDOS,sin codigo de barras y nombre incompleto: foto propia
96,,Gentamicina,,25 COMPRIMIDOS,sin codigo de barras y nombre incompleto: foto propia
140,,Tratidri,Tratidri,1 GEL,sin codigo de barras y nombre incompleto: foto propia
243,7501001303454,Pantene Control caída anticaída,Pantene,400 ML,buscado por EAN y por nombre; sin candidato que pase revision visual
277,7502245720567,Quitaesmalte coco,SKN,100 ML,buscado por EAN y por nombre; sin candidato que pase revision visual
339,7501868900226,Alcohol Etilico Rojo 96°,Dibar,250 ML,buscado por EAN y por nombre; sin candidato que pase revision visual
373,7501868910010,Algodón 200 g,Dibar,200 G,buscado por EAN y por nombre; sin candidato que pase revision visual
518,,Mercurio,Mercurio,JARABE,sin codigo de barras y nombre incompleto: foto propia
533,,Perilla N6,Edigar,PIEZA,sin codigo de barras y nombre incompleto: foto propia
537,,Perilla Edigar N O Caja,Perilla,,sin codigo de barras y nombre incompleto: foto propia
539,,Perilla N4,Edigar,PIEZA,sin codigo de barras y nombre incompleto: foto propia
541,,Perilla N2,Edigar,PIEZA,sin codigo de barras y nombre incompleto: foto propia
542,2008480100010,Perilla Edigar N1 (jeringa pera toda de hule),Edigar,PIEZA,"codigo interno de la farmacia: no existe en catalogo externo, foto propia"
547,7503022640153,Bicarbonato Velazquez Grande 200G,Bicarbonato,bolsa 200g,buscado por EAN y por nombre; sin candidato que pase revision visual
551,3311000000776,Mercurio Cloruro De Magnesio Cajita,Mercurio,bolsa 100g,buscado por EAN y por nombre; sin candidato que pase revision visual
560,,FC producto botiquín,Fc,,sin codigo de barras y nombre incompleto: foto propia
587,7506484500607,Cinta micropore blanca 2.5 cm x 9.1 m,Cintapore,1 pz,buscado por EAN y por nombre; sin candidato que pase revision visual
609,7501685171118,Condón Sico,Sico,C/3,buscado por EAN y por nombre; sin candidato que pase revision visual
1075,,Cinta-Microporosa-Codifarma 2.5 Cm X 5 M C/1 Blanco,,,sin codigo de barras y nombre incompleto: foto propia
1097,793969285204,Piojitos Shampoo C/150 Gr,PIOJITOS,150G,buscado por EAN y por nombre; sin candidato que pase revision visual
1127,7506484500539,Cintapore cinta microporosa 1.25 cm x 5 m piel,CINTAPORE,1 ROLLO,buscado por EAN y por nombre; sin candidato que pase revision visual
1132,7506484500546,Cintapore cinta microporosa piel 2.5 cm x 5m,Cintapore,Rollo 2.5 cm x 5m color piel,buscado por EAN y por nombre; sin candidato que pase revision visual
1142,7506484500515,Cintapore cinta microporosa blanca 1.25 cm x 5 m,Cintapore,Rollo 1.25 cm x 5 m blanca,buscado por EAN y por nombre; sin candidato que pase revision visual
1232,2008470100013,Gillette Prestobarba 3 rastrillo desechable 1 pza,Gillette,1 pieza desechable 3 hojas,"codigo interno de la farmacia: no existe en catalogo externo, foto propia"
1253,7503048936018,Velázquez alcanfor pastillas C/50 sobres,Velázquez,Caja con 50 sobres,buscado por EAN y por nombre; sin candidato que pase revision visual
1256,2008500100013,Cubrebocas tricapa desechable C/100,,Caja C/100,"codigo interno de la farmacia: no existe en catalogo externo, foto propia"
1266,7502245720215,Quitaesmalte SKN · variante 215 · confirmar,SKN,100 ML,buscado por EAN y por nombre; sin candidato que pase revision visual
1273,7502245720208,Quitaesmalte SKN · variante 208 · confirmar,SKN,100 ML,buscado por EAN y por nombre; sin candidato que pase revision visual
1274,7502245720574,Quitaesmalte SKN · variante 574 · confirmar,SKN,100 ML,buscado por EAN y por nombre; sin candidato que pase revision visual
1281,7503017500820,Sanax Silica Gran,Sanax,,buscado por EAN y por nombre; sin candidato que pase revision visual
1282,2008510100010,Tijera para bigote,,Pieza,"codigo interno de la farmacia: no existe en catalogo externo, foto propia"
1283,2008520100017,Silika Seda Pure Fruit Pera 120 mL,Silika,Frasco 120 mL,"codigo interno de la farmacia: no existe en catalogo externo, foto propia"
1284,7896075701040,Pinza depilar Mereje tenaza C/12,Mereje,,buscado por EAN y por nombre; sin candidato que pase revision visual
1285,2008540100011,Perfilador Tinkle C/3 pzs,Tinkle,Blister con 3,"codigo interno de la farmacia: no existe en catalogo externo, foto propia"
