linea,folio,fecha,proveedor,ean,descripcion_ticket,cantidad,precio_unitario,subtotal,lote,caducidad,sku_farmacapital,total_ticket,match
1,550937,2026-09-18,PerfuMax,,LUBRIDERM DORADA 750ML REP,2,140.00,280.00,,,FC-F48-LUB750,1466.50,alta
2,550937,2026-09-18,PerfuMax,,LUBRIDERM AQUA 400ML HUMEC,2,90.00,180.00,,,FC-F48-LUBA400,1466.50,alta
3,550937,2026-09-18,PerfuMax,,SH GRISI GEL AVENA 450ML,1,65.01,65.01,,,FC-F48-GRIAV450,1466.50,alta
4,550937,2026-09-18,PerfuMax,,SPY PIE DE ATLETA 180ML AE,1,82.00,82.00,,,FC-F48-PIE180,1466.50,alta
5,550937,2026-09-18,PerfuMax,,SH GRISI GEL NEUTRO 450ML,1,65.01,65.01,,,FC-F48-GRINE450,1466.50,alta
6,550937,2026-09-18,PerfuMax,,MEXANA 160GR TALCO MEXSANA,1,90.00,90.00,,,FC-F48-MEX160,1466.50,alta
7,550937,2026-09-18,PerfuMax,,LACTOVIT (250ML) CREMA,1,60.00,60.00,,,FC-F48-LAC250,1466.50,alta
8,550937,2026-09-18,PerfuMax,037836041297,HINDS INSPIRACION 90,2,16.99,33.98,,,FC-36041297,1466.50,ya
9,550937,2026-09-18,PerfuMax,7506306257597,TCO EFFICIENT 100GR REXONA,2,45.01,90.02,,,FC-06257597,1466.50,ya
10,550937,2026-09-18,PerfuMax,,LACTOVIT (400ML) CREMA,2,80.01,160.02,,,FC-F48-LAC400,1466.50,alta
11,550937,2026-09-18,PerfuMax,,TAMPAX REGULAR AMARILLO,1,48.00,48.00,,,FC-F48-TAMPREG,1466.50,alta
12,550937,2026-09-18,PerfuMax,,DS DOVE MEN INVISIBLE BARR,2,53.00,106.00,,,FC-F48-DOVEMEN,1466.50,alta
13,550937,2026-09-18,PerfuMax,,DS REXONA XTRACOOL GEL 80G,2,65.01,130.02,,,FC-F48-REXGEL,1466.50,alta
14,550937,2026-09-18,PerfuMax,037836041389,HINDS ALMENDRA 90ML,2,16.99,33.98,,,FC-36041389,1466.50,ya
15,550937,2026-09-18,PerfuMax,,OLOREX AEROSOL CLASICO 70M,1,42.00,42.00,,,FC-F48-OLO70,1466.50,alta
