pagina,ean,cantidad,descripcion,precio_unitario,subtotal
1,7509552844825,1,DESOD OBAO R-NAT COCO R-ON 65G,24.950,24.95
1,7509552933307,1,DESOD OBAO GAME 48HR R-ON 65G N,27.190,27.19
1,7501027250612,1,DESOD OBAO P/DEL R-ON 65G,25.830,25.83
1,7501027286017,1,DESOD OBAO CLAS R-ON 65G,29.550,29.55
1,7509552876406,1,DESOD OBAO MEN TATTO AQUA R-ON 65G,24.710,24.71
1,7506306226722,1,DESOD AXE MEN YOUNG SPY 150ML,45.830,45.83
1,7506306213906,1,DESOD AXE ICECHI E-FRIO SPY 150ML,45.830,45.83
1,7791293037806,1,DESOD REXONA MEN MARINE SPY 150ML,54.680,54.68
1,7509552780956,1,DESOD OBAO MEN TATO REBEL R-ON65,25.830,25.83
1,7791293025919,1,DESOD AXE EXCITE SECO SPY 152ML,62.830,62.83
1,7791293022567,1,DESOD REXONA MEN V8 TUN SPY 90G,54.680,54.68
1,7506306244795,1,DESOD AXE INTENSE 48H SPY 150ML,45.830,45.83
1,75076009,1,DESOD REXONA 48H HAPPY-M STICK 45G,51.500,51.50
1,7791293025797,1,DESOD AXE MEN DARK TEMP SPY150ML,45.830,45.83
1,7791293038223,1,DESOD REXONA MEN SPORT SPY 150ML,54.680,54.68
1,75062897,1,DESOD REXONA BAMBOO 48H STICK 45G,53.500,53.50
1,7506306245686,1,DESOD AXE MEN EPIC-F 48H SPY 150ML,45.830,45.83
1,7791293025865,1,DESOD AXE MEN GOLD TEMP SPY 150ML,45.830,45.83
1,7501022105207,3,JBN GRISI NEUTRO 150 G,20.870,62.61
1,067238891190,2,JBN DOVE BARRA BLANCA 135G,30.205,60.41
1,7501056371159,1,JBN DOVE EXFOLIAC DIARIA 135G,30.540,30.54
3,650240036965,1,JBN ASEPXIA BICARBON SOD 100G,37.680,37.68
3,650240004643,1,JBN ASEPXIA EXFOL 100G,38.660,38.66
3,7501022150801,1,JBN GRISI AVENA 125G,21.720,21.72
3,7506425605514,2,JBN ESCUDO ANTIBACT 110GR,14.450,28.90
3,7503014119032,1,AZUFRE JABON C MIEL 80 GR,15.020,15.02
3,75062927,1,DESOD REXONA POW-DRY48H STICK45G,53.500,53.50
3,7506306230507,1,JBN DOVE BARRA KARITE VAINILL 135G,30.210,30.21
3,7501022150092,1,JBN GRISI LECHE DE BURRA 125G,21.880,21.88
3,7501022111352,1,JBN GRISI CORP DIABECARE 125 G,39.940,39.94
3,75069223,1,DESOD REX MOT-SEN SPORT STICK 45G,42.820,42.82
3,7509546059556,1,JBN LIQ PALMOL N-BAL DERMOL 221MLN,35.610,35.61
3,7506267905186,1,JBN LIQ BLUMEN COCONUT PARA 221ML,16.700,16.70
3,7509546683133,2,JBN PALMOL N-BAL DERMO LIMP 120G,26.145,52.29
3,7506306241206,2,DESOD DOVE DERMAC SK-C 48H SPY150ML,64.285,128.57
3,7501943489004,2,JBN ESCUDO ROSA PROT Y CUID 110G,8.965,17.93
3,3600542326414,1,AGUA MIC GARNIER DE ROSAS 400 ML,108.240,108.24
3,7506376000284,1,AGUA MIC VITACILINA ROS-SAB 500MLN,81.470,81.47
3,7501082790504,1,DESMAQ BIFASICO OIL NUVEL 125ML,27.750,27.75
3,7502245722547,1,AGUA MICE NATURAL-G BIFASIC 120ML,21.080,21.08
3,7506267905131,1,JBN LIQ BLUMEN CHERRY BLOSS 221ML,16.700,16.70
3,7502221012303,2,TAS HUM CLARIS DESMAQ ALOE C/40,18.860,37.72
3,7505514121782,1,JABON DE PROTEINA DE ARROZ Y CONCHA NACAR 80GR,17.780,17.78
3,7506425652716,2,JBN ESCUDO AZUL REY 135G,14.775,29.55
3,7506306248052,1,DEO AERO DOVE TONO UNIFORME 150ML 3PACK,167.690,167.69
3,7506306248045,1,DEO DOVE SPY INVISIBLE DRY 150ML C3,147.300,147.30
4,7501035911208,1,JBN LIQ PALMOL AQUARIUM 221ML,23.790,23.79
4,4005808837311,2,DESOD NIVEA PEARLB MSPY150ML,64.730,129.46
4,7506306209862,1,DEO AXE SPY 150ML 48H ANARCHY FRESH LOVE FOR HER,45.830,45.83
4,7501943489165,1,JBN LIQ ESCUDO BLANCO NEUT 225ML,25.080,25.08
4,759684900280,1,JALOMA AGUA DE ROSAS 130ML SPRAY,16.870,16.87
4,7506306226852,1,DESOD AXE WOM ANARCHY SPY 150ML,45.830,45.83
4,7509546657035,1,JBN LIQ PALMOL FLOR CZO-RSA 221ML,23.790,23.79
4,7501056330378,1,LOC LIMP PONDS BIO-HYDRA DUAL 200ML,88.800,88.80
4,7506306226739,1,DESOD AXE MEN CONVICT SPY 150ML,45.830,45.83
4,7501361113000,1,TCO DESOD ODOLEX 300 G,28.100,28.10
4,7501361123009,1,ODOLEX NATURALS 300GR TALCO DESODORANTE,28.100,28.10
4,7501441500096,1,TIRALECHE DE CRISTAL 1 PZA,31.770,31.77
4,810120500201,1,SH PERT PLUS AC-OLIVA 400ML,23.990,23.99
4,7501072300171,1,TING POLVO 85G,80.460,80.46
4,7506306217461,1,TCO DESOD REXONA EFFI FRESH 200G,64.120,64.12
