linea,folio,fecha,proveedor,ean,descripcion_ticket,cantidad,precio_unitario,subtotal,lote,caducidad,sku_farmacapital,accion
1,6315912,2026-08-21,Cityfarma Iztapalapa,7501050613453,AFRIN ADUL SPRAY,2,75.38,150.76,2601928,,FC-06134531,recibir
2,6315912,2026-08-21,Cityfarma Iztapalapa,7501050623766,AFRIN NO DRIP SOL 15,2,115.52,231.04,2601390,,FC-05062376,alta
3,6315912,2026-08-21,Cityfarma Iztapalapa,7501165001725,ALLEGRA 180 MG C 10,1,362.97,362.97,GMX0303,,FC-16500172,alta
4,6315912,2026-08-21,Cityfarma Iztapalapa,7501065001337,CALTRATE 600 D C30 T,2,153.59,307.18,T75M,,FC-06500133,alta
5,6315912,2026-08-21,Cityfarma Iztapalapa,7502276040368,DESENFRIOL D C30 TAB,3,61.68,185.04,2601928,,FC-60403681,recibir
6,6315912,2026-08-21,Cityfarma Iztapalapa,7502276040405,DESENFRIOLITO PLUS C,2,57.76,115.52,X26RXS,,FC-76040610,recibir
7,6315912,2026-08-21,Cityfarma Iztapalapa,7501300421524,DOLAC 10MG C10 CAPS,3,99.73,299.19,T0623,,FC-30042152,alta
8,6315912,2026-08-21,Cityfarma Iztapalapa,3664798074680,ENTEROGERMINA 2 BILL,1,200.00,200.00,6I086,,FC-79807468,alta
9,6315912,2026-08-21,Cityfarma Iztapalapa,7501289511421,PASTA LASSAR 30GR TA,2,22.50,45.00,26PL029,,FC-9511421,recibir
10,6315912,2026-08-21,Cityfarma Iztapalapa,7501289511414,PASTA LASSAR 60GR TA,2,47.37,94.74,26PL057,,FC-28951141,alta
11,6315912,2026-08-21,Cityfarma Iztapalapa,4001895928765,TEGADERM 10X12CM C50,1,579.55,579.55,344JWY,,FC-89592876,alta
