linea,folio,fecha,proveedor,ean,descripcion_ticket,cantidad,precio_unitario,subtotal,lote,caducidad,sku_farmacapital,total_ticket,match
1,CF080926,2026-09-08,Cityfarma Iztapalapa,8907730000039,NOV133 ACETIF SI 1 SOL INY 1000MG/100 ML,2,65.23,130.46,26D0801,2028-03-31,FC-30000039,1648.69,alta
2,CF080926,2026-09-08,Cityfarma Iztapalapa,7503004908776,ALP0191 METFORMINA 30 TAB 850 MG,2,18.40,36.80,2607313,2028-07-31,FC-04908776,1648.69,alta
3,CF080926,2026-09-08,Cityfarma Iztapalapa,7501836003621,LIF162 PRECICOL 1 GOT 20 ML,2,36.31,72.62,26E126,2028-06-30,FC-36003621,1648.69,catalogo
4,CF080926,2026-09-08,Cityfarma Iztapalapa,7502001163485,SON164 CLOTRIMAZOL DUAL 3 OVS 200MG 1CMA 10G,2,48.98,97.96,26051202,2028-05-31,EQ-SON164,1648.69,catalogo
5,CF080926,2026-09-08,Cityfarma Iztapalapa,7502226294254,ALP0568 TERBINAFINA 1 SPRAY 1%/30 ML,1,35.28,35.28,2605920,2028-05-13,FC-26294254,1648.69,alta
6,CF080926,2026-09-08,Cityfarma Iztapalapa,7502009744440,MAV207 VALTROVER G 10 SOB 4 MG,2,55.10,110.20,254143,2027-08-01,FC-09744440,1648.69,alta
7,CF080926,2026-09-08,Cityfarma Iztapalapa,780083140939,COL008 AMPIGRIN INF 3 AMP 250/200/100/30MG/3 ML,2,72.22,144.44,26240043,2028-01-12,FC-DE106642,1648.69,catalogo
8,CF080926,2026-09-08,Cityfarma Iztapalapa,7501349027343,AMS277 AMSAFAST 21 CAPS 120 MG,3,95.63,286.89,U26E260,2028-01-01,FC-49027343,1648.69,alta
9,CF080926,2026-09-08,Cityfarma Iztapalapa,7502009747052,MAV344 CORIVER 10 TAB 750 MG,5,7.71,38.55,263137,2028-05-31,FC-09747052,1648.69,alta
10,CF080926,2026-09-08,Cityfarma Iztapalapa,7502259892403,NAT0617 CITRATO DE MAGNESIO 30 CAP 1.82G C/U,2,48.68,97.35,263394,2028-05-31,FC-9892403,1648.69,catalogo
11,CF080926,2026-09-08,Cityfarma Iztapalapa,7501349028036,AMS336 MOMETASONA 1 SUSP .05G/18 ML,1,109.63,109.63,A26A120,2028-04-01,FC-49028036,1648.69,alta
12,CF080926,2026-09-08,Cityfarma Iztapalapa,7503000422511,MAV003 BACTIVER 1 SUSP 40/200/5/120 ML,3,20.85,62.55,262631,2028-05-01,FC-00422511,1648.69,catalogo
13,CF080926,2026-09-08,Cityfarma Iztapalapa,780083140922,COL009 AMPIGRIN AD 3 AMP 500/500/100/30MG/3 ML,2,79.44,158.88,26240110,2028-03-31,FC-2001A890,1648.69,catalogo
14,CF080926,2026-09-08,Cityfarma Iztapalapa,7502001160019,SON033 BUSCONET 1 FA 250/20MG/5ML,3,32.10,96.30,26051306,2029-05-31,EQ-SON033,1648.69,alta
15,CF080926,2026-09-08,Cityfarma Iztapalapa,7501349020337,AMS502 SULINDACO 20 TAB 200 MG,3,47.34,142.02,U26E326,2028-01-31,FC-49020337,1648.69,catalogo
16,CF080926,2026-09-08,Cityfarma Iztapalapa,75006433,NOV005 CIRULAN 1 GOT 400MG/1/20 ML,2,14.38,28.76,120036,2029-03-01,EQ-NOV005,1648.69,alta
