linea,folio,fecha,proveedor,ean,descripcion_ticket,cantidad,precio_unitario,subtotal,lote,caducidad,sku_farmacapital,total_ticket,match
1,S322817,2026-09-14,Cityfarma Iztapalapa,7503004908875,ACARBOSA 50MG C30TAB,1,45.20,45.20,,,FC-04908875,3940.28,alta
2,S322817,2026-09-14,Cityfarma Iztapalapa,7501349028296,BICALUTAMIDA 50MG C1,2,134.52,269.04,,,FC-49028296,3940.28,alta
3,S322817,2026-09-14,Cityfarma Iztapalapa,7501390910182,BIOTREFON L C12 SOBR,1,298.69,298.69,,,FC-90910182,3940.28,alta
4,S322817,2026-09-14,Cityfarma Iztapalapa,7501478317421,BOCETIX LEVOCETIRIZI,2,66.70,133.40,,,FC-78317421,3940.28,catalogo
5,S322817,2026-09-14,Cityfarma Iztapalapa,7502009743993,CARNITINA 500MG C30,2,55.16,110.32,,,FC-09743993,3940.28,alta
6,S322817,2026-09-14,Cityfarma Iztapalapa,7506494600311,CLOROPIRAMINA 25MG C,1,40.24,40.24,,,FC-94600311,3940.28,alta
7,S322817,2026-09-14,Cityfarma Iztapalapa,7501836003140,CONTRAXEN 200MG/2500,2,78.80,157.60,,,FC-36003140,3940.28,alta
8,S322817,2026-09-14,Cityfarma Iztapalapa,7501075711011,DEBISOR 10MG C20 TA,3,8.94,26.82,,,FC-75711011,3940.28,alta
9,S322817,2026-09-14,Cityfarma Iztapalapa,7501300422750,DORIXINA FTE 250MG C,1,239.40,239.40,,,FC-00422750,3940.28,alta
10,S322817,2026-09-14,Cityfarma Iztapalapa,7501573925071,DOSTERIL 10MG C30 TA,4,18.46,73.84,,,FC-73925071,3940.28,alta
11,S322817,2026-09-14,Cityfarma Iztapalapa,75004996,ESPAVEN PED GTS 15,1,175.97,175.97,,,FC-75004996,3940.28,alta
12,S322817,2026-09-14,Cityfarma Iztapalapa,3664798073256,HISTIACIL GR3 AMBROX,1,109.51,109.51,,,FC-98073256,3940.28,alta
13,S322817,2026-09-14,Cityfarma Iztapalapa,7891317048860,MELOX PLUS C30 TABS,1,94.86,94.86,,,FC-17048860,3940.28,alta
14,S322817,2026-09-14,Cityfarma Iztapalapa,7501109902637,MOTRIN GTS PEDIATR,1,117.88,117.88,,,FC-09902637,3940.28,alta
15,S322817,2026-09-14,Cityfarma Iztapalapa,7501109902866,MOTRIN INF SUSP 20M,2,184.49,368.98,,,FC-09902866,3940.28,alta
16,S322817,2026-09-14,Cityfarma Iztapalapa,7506295337454,PBA EMB CLEAR BLUE D,2,191.15,382.29,,,FC-95337454,3940.28,alta
17,S322817,2026-09-14,Cityfarma Iztapalapa,7502009744341,PRILVER 5MG C16 TABS,3,38.86,116.58,,,FC-09744341,3940.28,alta
18,S322817,2026-09-14,Cityfarma Iztapalapa,7501168810713,SALOFALK 500 MG C 40,1,446.06,446.06,,,FC-68810713,3940.28,alta
19,S322817,2026-09-14,Cityfarma Iztapalapa,7503003738671,SEPIA 33 3 166 6MG,1,96.59,96.59,,,FC-03738671,3940.28,alta
20,S322817,2026-09-14,Cityfarma Iztapalapa,7503045798022,SITAGLIPTINA METFORM,1,98.27,98.27,,,FC-45798022,3940.28,alta
21,S322817,2026-09-14,Cityfarma Iztapalapa,7502009749469,TRIBENOSIDO/LIDOCAIN,2,78.00,156.00,,,FC-09749469,3940.28,alta
22,S322817,2026-09-14,Cityfarma Iztapalapa,7501065054043,TUMS SURT C3,4,39.44,157.76,,,FC-65054043,3940.28,catalogo
23,S322817,2026-09-14,Cityfarma Iztapalapa,7501258208550,VALACICLOVIR 500MG T,1,224.98,224.98,,,FC-58208550,3940.28,alta
