linea,folio,fecha,proveedor,ean,descripcion_ticket,cantidad,precio_unitario,subtotal,lote,caducidad,sku_farmacapital,total_ticket,match
1,20260912,2026-09-12,City Mark,7501943476271,Kleenex pañuelos bote C/50,2,29.14,58.28,,,FC-43476271,1486.47,alta
2,20260912,2026-09-12,City Mark,070330731813,BIC Soleil 3 Color Collection 12 pzas,1,155.32,155.32,,,FC-30731813,1486.47,alta
3,20260912,2026-09-12,City Mark,070330717541,BIC Advance tira rastrillo 12 pzas,1,169.60,169.60,,,FC-30717541,1486.47,alta
4,20260912,2026-09-12,City Mark,850040940602,Grisi Organogal Silver shampoo 400 ml + canas 130 ml,1,87.35,87.35,,,FC-40940602,1486.47,alta
5,20260912,2026-09-12,City Mark,810120500164,Pert crema peinar keratina + aguacate 100 ml,2,14.80,29.60,,,FC-20500164,1486.47,alta
6,20260912,2026-09-12,City Mark,7502254073371,Seda Pure silica argán spray 300 ml,1,69.04,69.04,,,FC-54073371,1486.47,alta
7,20260912,2026-09-12,City Mark,7502254073357,Seda Pure silica uva spray 300 ml,1,69.05,69.05,,,FC-54073357,1486.47,alta
8,20260912,2026-09-12,City Mark,7506306208315,St Ives colágeno y elastina 200 ml,1,32.31,32.31,,,FC-06208315,1486.47,alta
9,20260912,2026-09-12,City Mark,7501080111455,Just For Men tinte barba/bigote negro,2,171.14,342.28,,,FC-80111455,1486.47,alta
10,20260912,2026-09-12,City Mark,7502254073715,Seda Pure acondicionador kerat bifásico 250 ml,1,55.10,55.10,,,FC-54073715,1486.47,alta
11,20260912,2026-09-12,City Mark,810120500171,Pert crema peinar oliva + aguacate 100 ml,2,14.80,29.60,,,FC-20500171,1486.47,ya
12,20260912,2026-09-12,City Mark,7702031887928,Listerine Care Zero menta 250 ml,1,63.53,63.53,,,FC-31887928,1486.47,ya
13,20260912,2026-09-12,City Mark,7891010974329,Listerine Zero menta suave 250 ml,1,54.06,54.06,,,FC-10974329,1486.47,ya
14,20260912,2026-09-12,City Mark,7702035433299,Listerine Defense 250 ml,1,63.86,63.86,,,FC-35433299,1486.47,alta
15,20260912,2026-09-12,City Mark,7501027233974,L'Oréal Fix Inv ultra fijación gel 180 g,1,58.10,58.10,,,FC-27233974,1486.47,alta
16,20260912,2026-09-12,City Mark,7502254072831,Seda Pure silica brillo extremo 125 ml,2,58.54,117.08,,,FC-54072831,1486.47,alta
17,20260912,2026-09-12,City Mark,7506306208353,St Ives avena y karité 200 ml,1,32.31,32.31,,,FC-06208353,1486.47,alta
