linea,folio,fecha,proveedor,ean,descripcion_ticket,nombre_mostrador,cantidad,precio_unitario,subtotal,lote,sku_farmacapital,total_ticket
1,20260905,2026-09-05,Equilibrio,7502274791064,SOF040 VIXGOPLISOL 30 TAB 1000 MG,Vixgoplisol Levetiracetam 1000 mg C/30 Solfrán,3,112.05,336.15,60550,EQ-SOF040,2608.88
2,20260905,2026-09-05,Equilibrio,7501022105191,GSI003 JABON NEUTRO 1 PZAS 100 G,Jabón Grisi Neutro 100 g,5,12.89,64.45,L26D0389,FC-22105191,2608.88
3,20260905,2026-09-05,Equilibrio,7501349020542,AMS425 IRBESARTAN 28 TAB 300 MG,Irbesartán 300 mg C/28 AMSA,5,151.28,756.40,U26E330,EQ-AMS425,2608.88
4,20260905,2026-09-05,Equilibrio,7501075720365,NOV132 DANOVAG 14 CAPS 20 MG,Danovag Omeprazol 20 mg C/14 Novag,5,13.99,69.95,130076,EQ-NOV132,2608.88
5,20260905,2026-09-05,Equilibrio,7501349020535,AMS424 IRBESARTAN 14 TAB 300 MG,Irbesartán 300 mg C/14 AMSA,3,77.69,233.07,U26E329,EQ-AMS424,2608.88
6,20260905,2026-09-05,Equilibrio,7502009748868,MAV373 BUDIMIN 20 TAB 1 MG,Budimin 20 tabletas 1 mg,4,31.29,125.16,257237,EQ-MAV373,2608.88
7,20260905,2026-09-05,Equilibrio,7502227872697,RAM147 PRESLOPIN 30 TAB 5 MG,Preslopin Amlodipino 5 mg C/30 RAAM,3,10.61,31.83,RPR527,EQ-RAM147,2608.88
8,20260905,2026-09-05,Equilibrio,7502001162426,SON175 ARDOSONS 20 CAPS 215/25/0.75 MG,Ardosons 20 cápsulas 215/25/0.75 mg,2,60.34,120.68,26051258,EQ-SON175,2608.88
9,20260905,2026-09-05,Equilibrio,7502009741425,MAV137 FASICLOR 15 CAPS 500 MG,Fasiclor 500 mg C/15 cápsulas Maver,3,137.93,413.79,255648,EQ-MAV137,2608.88
10,20260905,2026-09-05,Equilibrio,7502009748868,MAV373 BUDIMIN 20 TAB 1 MG,Budimin 20 tabletas 1 mg,1,31.29,31.29,264273,EQ-MAV373,2608.88
11,20260905,2026-09-05,Equilibrio,7501075722543,NOV163 PABESORAG 28 TAB 150/12.5 MG,Pabesorag 28 tabletas 150/12.5 mg,2,60.48,120.96,B10436,EQ-NOV163,2608.88
12,20260905,2026-09-05,Equilibrio,780083144296,COL146 COLLIFRIN INFANTIL 1 SOL 25MG/20 ML,Collifrin Infantil oximetazolina 0.025% 20 mL,2,31.28,62.56,26140942,EQ-COL146,2608.88
13,20260905,2026-09-05,Equilibrio,7502216804814,AVI027 AMLODIPINO 100 TAB 5 MG,Amlodipino 5 mg C/100 Avivia,3,32.52,97.56,5MM301A,EQ-AVI027,2608.88
14,20260905,2026-09-05,Equilibrio,0780083144302,COL145 COLLIFRIN ADULTO 1 SOL 50MG/20 ML,Collifrin Adulto oximetazolina 0.05% 20 mL,4,33.68,134.72,26140881,EQ-COL145,2608.88
