linea,folio,fecha,proveedor,ean,descripcion_ticket,nombre_mostrador,cantidad,precio_unitario,subtotal,lote,caducidad,sku_farmacapital,total_ticket,match
1,20260914,2026-09-14,Equilibrio,7501075711035,DEBISOR SUBLINGUAL 20 TAB 5 MG,Debisor sublingual 5 mg C/20 Novag,2,56.32,112.64,140185,,EQ-NOV006,3498.95,ficha
2,20260914,2026-09-14,Equilibrio,7501075711011,DEBISOR 20 TAB 10 MG,Debisor 10 mg C/20 Novag,4,8.87,35.48,150066,,EQ-NOV007,3498.95,ficha
3,20260914,2026-09-14,Equilibrio,7502226291871,HIDROPHARM 30 TAB 50 MG,Hidropharm clortalidona 50 mg C/30 Alpharma,2,16.35,32.70,2603022,,EQ-ALP0120,3498.95,ficha
4,20260914,2026-09-14,Equilibrio,7501125100123,SOLUCION CLORURO DE SODIO 0.9% 500 ML,Solución CS Pisa cloruro de sodio 0.9% 500 ml,1,52.84,52.84,P26M713,,FC-25100123,3498.95,ficha
5,20260914,2026-09-14,Equilibrio,7501349025929,DICLOFENACO 2 FA 75MG/3 ML,Diclofenaco 75 mg/3 ml C/2 ampolletas AMSA,2,16.24,32.48,26E039,,EQ-AMS362,3498.95,catalogo
6,20260914,2026-09-14,Equilibrio,7502226293776,METAMIZOL SODICO 3 AMP 1G/2 ML,Metamizol sódico 1 g/2 ml C/3 ampolletas,2,19.25,38.50,B25T515,,EQ-ALP0628,3498.95,catalogo
7,20260914,2026-09-14,Equilibrio,7502009749100,ORFEOX 20 TAB 150 MG,Orfeox propafenona 150 mg C/20 Maver,5,36.05,180.25,261633,,EQ-MAV297,3498.95,ficha
8,20260914,2026-09-14,Equilibrio,7506386100158,BENVIA 1 JBE 250 MG/100/120 ML,Benvia jarabe infantil dimenhidrinato 120 ml,2,33.99,67.98,R2605431,,EQ-LOE173,3498.95,ficha
9,20260914,2026-09-14,Equilibrio,7501836003140,CONTRAXEN 30 CAPS 200/250 MG,Contraxen carisoprodol/naproxeno 200/250 mg C/30,3,80.23,240.69,26E039,,FC-36003140,3498.95,ficha
10,20260914,2026-09-14,Equilibrio,780083148928,KENZOFLEX DUO 1 SOL,Kenzoflex Duo solución oftálmica 5 ml Collins,2,48.76,97.52,26340627,,EQ-COL252,3498.95,catalogo
11,20260914,2026-09-14,Equilibrio,7502009747328,ITOPRIDA 30 TAB 50 MG,Lapriver itoprida 50 mg C/30 Maver,3,60.51,181.53,6FN231C,,FC-09747328,3498.95,ficha
12,20260914,2026-09-14,Equilibrio,7501825301752,BIOFILEN 28 TAB 100 MG,Biofilen atenolol 100 mg C/28 Degort's,3,49.67,149.01,281AA,,FC-25301752,3498.95,ficha
13,20260914,2026-09-14,Equilibrio,7502009744341,PRILVER 16 TAB 5 MG,Prilver ramipril 5 mg C/16 Maver,3,38.18,114.54,256221,,FC-09744341,3498.95,ficha
14,20260914,2026-09-14,Equilibrio,7502009744891,FRINVER 1 GOT 24 ML,Frinver norfenefrina gotas 24 ml Maver,2,62.56,125.12,264353,,FC-09744891,3498.95,ficha
15,20260914,2026-09-14,Equilibrio,7503004908875,ACARBOSA 30 TAB 50 MG,Acarbosa 50 mg C/30 Alpharma,3,43.74,131.22,N2512248,,EQ-ALP0210,3498.95,ficha
16,20260914,2026-09-14,Equilibrio,7501075717860,OXIVAG 4 TAB 70 MG,Oxivag ácido alendrónico 70 mg C/4 Novag,2,31.94,63.88,650136,,EQ-NOV094,3498.95,catalogo
17,20260914,2026-09-14,Equilibrio,7502211780069,STOMFFLER PLUS 1 SUSP,Stomffler Plus suspensión 120 ml Loeffler,2,41.72,83.44,R2604367,,EQ-LOE020,3498.95,ficha
18,20260914,2026-09-14,Equilibrio,7502211784180,CALAFFLER 1 GOT 15 ML,Calaffler diclofenaco gotas 15 mg/ml Loeffler,2,32.22,64.44,R2503424,,FC-11784180,3498.95,ficha
19,20260914,2026-09-14,Equilibrio,7501349024267,KETOROLACO 3 AMP 30 MG,Ketorolaco 30 mg/1 ml C/3 ampolletas AMSA,2,11.34,22.68,26F009,,EQ-AMS328,3498.95,catalogo
20,20260914,2026-09-14,Equilibrio,7502009744884,ODIVITOR 20 TAB 10 MG,Odivitor atorvastatina 10 mg C/20 Maver,5,22.12,110.60,254489,,EQ-MAV211,3498.95,ficha
21,20260914,2026-09-14,Equilibrio,7502216796348,FELODIPINO 20 TAB 5 MG,Felodipino LP 5 mg C/20 Ultra,4,21.89,87.56,6DN237A,,FC-16796348,3498.95,ficha
22,20260914,2026-09-14,Equilibrio,7501075713862,NOVAPRES 30 TAB 25 MG,Novapres captopril 25 mg C/30 Novag,5,9.87,49.35,550016,,EQ-NOV034,3498.95,ficha
23,20260914,2026-09-14,Equilibrio,7502216793439,SUCRALFATO 40 TAB 1 G,Sucralfato 1 g C/40 Ultra,3,47.07,141.21,6H445,,EQ-ULT117,3498.95,ficha
24,20260914,2026-09-14,Equilibrio,785118754204,MAVIGLIN 60 TAB 500/5 MG,Maviglin metformina/glibenclamida 500/5 mg C/60,3,62.64,187.92,6E0865,,EQ-MAI150,3498.95,catalogo
25,20260914,2026-09-14,Equilibrio,7501825300366,ESPABION 1 SUSP 20MG/1ML 30 ML,Espabion gotas pediátricas trimebutina 30 ml,1,25.67,25.67,527AA,,EQ-DEG030,3498.95,catalogo
26,20260914,2026-09-14,Equilibrio,7502001162525,MECLISON 20 TAB 50/25 MG,Meclison meclizina/piridoxina 25/50 mg C/20 Son's,2,22.06,44.12,26051277,,EQ-SON091,3498.95,catalogo
27,20260914,2026-09-14,Equilibrio,7502006922728,MOTILAXIL 1 SOL 100MG/5/120 ML,Motilaxil picosulfato de sodio solución 120 ml,2,25.04,50.08,ITE26L157,,EQ-FAC0046,3498.95,catalogo
28,20260914,2026-09-14,Equilibrio,7501825301721,BIOFILEN 28 TAB 50 MG,Biofilen atenolol 50 mg C/28 Degort's,2,38.18,76.36,512AA,,FC-25301721,3498.95,ficha
29,20260914,2026-09-14,Equilibrio,7501825300373,ESPABION 1 SUSP 100MG/5ML 100 ML,Espabion suspensión trimebutina 100 ml Degort's,2,44.45,88.90,505AA,,EQ-DEG029,3498.95,catalogo
30,20260914,2026-09-14,Equilibrio,7501075715378,TOPARAL 30 TAB 250 MG,Toparal metildopa 250 mg C/30 Novag,4,40.36,161.44,760175,,FC-75715378,3498.95,ficha
31,20260914,2026-09-14,Equilibrio,7502216803893,KETOROLACO 10 TAB 10 MG,Ketorolaco 10 mg C/10 Avivia,4,5.61,22.44,530056,,EQ-AVI026,3498.95,ficha
32,20260914,2026-09-14,Equilibrio,7502216803893,KETOROLACO 10 TAB 10 MG,Ketorolaco 10 mg C/10 Avivia,2,5.61,11.22,530175,,EQ-AVI026,3498.95,ficha
33,20260914,2026-09-14,Equilibrio,7501471889352,VEPILTAX 20 TAB 80 MG,Vepiltax verapamilo 80 mg C/20 Tecnofarma,3,28.79,86.37,441068,,FC-71889352,3498.95,ficha
34,20260914,2026-09-14,Equilibrio,7501573900245,WADIL 30 TAB 500/2.5 MG,Wadil metformina/glibenclamida 500/2.5 mg C/30,2,26.53,53.06,SE2624,,EQ-BIO059,3498.95,ficha
35,20260914,2026-09-14,Equilibrio,7501349020979,KETOPROFENO 15 CAPS 100 MG,Ketoprofeno 100 mg C/15 cápsulas AMSA,1,35.50,35.50,U26M109,,FC-49020979,3498.95,ficha
36,20260914,2026-09-14,Equilibrio,7502001162518,MECLISON 1 GOT 16.66/8.33 MG/15 ML,Meclison gotas 15 ml Son's,3,21.01,63.03,26051373,,EQ-SON092,3498.95,catalogo
37,20260914,2026-09-14,Equilibrio,7502009740176,DOLXEN 20 TAB 250 MG,Dolxen naproxeno 250 mg C/20 Maver,2,17.14,34.28,261858,,EQ-MAV028,3498.95,ficha
38,20260914,2026-09-14,Equilibrio,7502227425039,NIFEDIPINO 20 CAPS 10 MG,Nifedipino / Gelprim 10 mg C/20 Gelpharma,4,21.80,87.20,260717,,EQ-GEP019,3498.95,ficha
39,20260914,2026-09-14,Equilibrio,7501299309278,TUSIGEN NF 20 TAB 22.5/22.5 MG,Tusigen NF ambroxol/dextrometorfano C/20 Liomont,3,59.60,178.80,005189,,EQ-LIO148,3498.95,ficha
40,20260914,2026-09-14,Equilibrio,7501349023369,KETOROLACO TROMETAMINA 6 TAB SL 30 MG,Ketorolaco sublingual 30 mg C/6 AMSA,6,5.81,34.86,U26J016,,EQ-AMS160,3498.95,catalogo
41,20260914,2026-09-14,Equilibrio,7501349024151,METOCLOPRAMIDA 6 AMP 10MG/2 ML,Metoclopramida 10 mg/2 ml C/6 ampolletas AMSA,2,21.02,42.04,26M507,,EQ-AMS418,3498.95,catalogo
