pagina,codigo_prov,descripcion,lote,caducidad,cantidad,precio_lista,costo_unitario,subtotal,total
1,HIS075,TERFHICID 40 CAPS 100 MG,5M297,2028-01-17,1,252.63,46.05,46.05,46.05
1,BEA302,LEVOFLOXACINO 7 TAB 500 MG,U26M041,2028-03-01,2,248.00,18.77,37.54,37.54
1,LAN043,CINA 7 TAB 750 MG,L26D0098,2028-04-01,2,385.00,28.87,57.74,57.74
1,BEA434,ALOPURINOL 20 TAB 300 MG,AB25002,2027-10-31,2,180.00,21.46,42.92,42.92
1,NOV025,VERMISEN 6 TAB 200 MG,790055,2029-05-01,2,40.00,12.38,24.76,24.76
1,WAN024,AMIFARIN 20 CAPS 500 MG,C6227,2028-04-01,2,248.00,45.78,91.56,91.56
1,AMS033,CLINDAMICINA 5 FA 600MG/4 ML,B25N206,2027-11-01,2,396.00,88.42,176.84,176.84
1,MAV260,CEFALVER 12 TAB 1 G,256934,2028-02-01,1,312.00,62.48,62.48,62.48
2,MAV142,CEFABROXIL 15 TAB 500/30 MG,255417,2027-10-01,1,222.00,44.44,44.44,44.44
2,BIO016,CLOXAN 20 COMP 30 MG,5B2642,2028-02-01,2,71.00,9.75,19.50,19.50
2,MAV131,CEFAGEN 1 SUSP 250MG/5/50 ML,256533,2027-11-01,1,375.00,74.58,74.58,74.58
2,MAV130,CEFAGEN 1 SUSP 125MG/5/50 ML,255233,2027-09-01,1,258.00,48.48,48.48,48.48
2,MAV389,KLARIX 1 SUSP 250MG/5 60 ML,263020,2028-05-01,1,408.00,81.67,81.67,81.67
2,MAV227,CEFAGEN 10 TAB 250 MG,254942,2027-09-01,1,414.00,82.09,82.09,82.09
2,QUI131,BISOPROLOL 30 TAB 2.5 MG,26E039,2028-04-30,1,511.66,97.51,97.51,97.51
2,WER038,CHARYN 3 TAB 500 MG,251303,2028-02-01,6,258.82,24.98,149.88,149.88
2,AMS296,CLINDAMICINA 16 CAP 300 MG,U26E412,2028-01-01,3,213.00,30.54,91.62,91.62
2,MAV137,FASICLOR 15 CAPS 500 MG,255648,2027-10-01,1,690.00,137.92,137.92,137.92
2,MAV122,CEPOBROM 12 CAPS 500/0.782 MG,260152,2029-01-01,1,243.00,47.97,47.97,47.97
2,SON039,DICLEOPHEN 12 CAPS 500 MG,B2605191,2028-05-01,2,200.00,26.82,53.64,53.64
3,AMS071,GENTAMICINA 5 AMP 160MG/2 ML,B25N402,2027-11-01,2,309.84,52.57,105.14,105.14
3,SON237,EXPICIN 25 CAPS 500 MG,B2603101,2028-03-01,5,190.00,29.56,147.80,147.80
3,MAI071,KROBICIN 1 SUSP 125MG/5/60 ML,5F0981,2027-06-01,1,318.95,45.41,45.41,45.41
3,MAV228,CEFAGEN 10 TAB 500 MG,256911,2027-12-01,1,720.00,144.13,144.13,144.13
3,MAV163,CEFALVER 20 CAPS 500 MG,261277,2028-03-01,1,255.00,43.35,43.35,43.35
3,ALP0237,TROPHARMA 20 TAB 500 MG,2512921,2028-12-01,2,230.00,44.53,89.06,89.06
3,MAV357,KURTOSIL 1 CMA 20/1 MG,264239,2028-06-30,1,312.00,62.48,62.48,62.48
3,SON189,DIVILTAC 1 FA 150/10MG/1 ML,H26020022,2028-03-01,1,230.00,34.45,34.45,34.45
3,MAV125,FASICLOR 1 SUSP 375MG/5/50 ML,252890,2027-06-01,1,399.00,63.44,63.44,63.44
3,AMS430,CIPROFLOXACINO 12 TAB 250 MG,U26Y028,2028-05-30,2,150.00,13.69,27.38,27.38
3,NOV013,NAMIFEN 20 TAB 500 MG,440096,2030-06-01,1,70.00,24.28,24.28,24.28
3,AMS322,CEFALEXINA 20 CAP 500 MG,J26A067,2028-04-01,2,240.00,39.84,79.68,79.68
