linea,folio,fecha,proveedor,ean,descripcion_ticket,cantidad,precio_unitario,subtotal,lote,caducidad,sku_farmacapital,total_ticket,match
1,444836,2026-09-18,Equilibrio,780083140922,COL009 AMPIGRIN AD 3 AMP 500/500/100/30MG/3 ML,2,81.01,162.02,26240110,,FC-2001A890,1303.20,ya
2,444836,2026-09-18,Equilibrio,7503001007069,WAN013 VANDIX 1 SUSP 250MG/5/75 ML,2,20.12,40.24,S6253,,EQ-WAN013,1303.20,ya
3,444836,2026-09-18,Equilibrio,7502009747281,MAV343 DOLVER 10 TAB 800 MG,4,20.79,83.16,261654,,FC-09747281,1303.20,alta
4,444836,2026-09-18,Equilibrio,7503027446279,PGE057 GELUBRIN 10 CAPS 600 MG,4,21.91,87.64,U0397,,FC-5C8C9C11,1303.20,ya
5,444836,2026-09-18,Equilibrio,7502009740435,MAV039 LARITOL 10 TAB 10 MG,2,7.01,14.02,260197,,EQ-MAV039,1303.20,ya
6,444836,2026-09-18,Equilibrio,7503008344785,PGE033 GELUBRIN 10 CAPS 400 MG,2,15.11,30.22,U0126,,EQ-PGE033,1303.20,ya
7,444836,2026-09-18,Equilibrio,0780083144302,COL145 COLLIFRIN ADULTO 1 SOL 50MG/20 ML,2,33.69,67.38,26140881,,FC-83144302,1303.20,ya
8,444836,2026-09-18,Equilibrio,7501125100116,PIS103 SOLUCION CLORURO DE SODIO 0.9%/250 ML,2,26.50,53.00,P25D312,,FC-25100116,1303.20,ya
9,444836,2026-09-18,Equilibrio,7501482200016,SOF054 OMEPRAZOL (AKTYZAR) 120 CAPS 20MG,3,46.90,140.70,61422,,FC-82200016,1303.20,ya
10,444836,2026-09-18,Equilibrio,,SOF066 OMEPRAZOL (AKTYZAR) 14 CAPS 20MG,3,8.00,24.00,61167,,EQ-SOF066,1303.20,alta
11,444836,2026-09-18,Equilibrio,7502211780359,LOE001 AFLUSIL 1 SUSP 2G/120ML,3,19.37,58.11,R2602932,,FC-11780359,1303.20,ya
12,444836,2026-09-18,Equilibrio,7502211784241,LOE079 DOFLATEM 1 SUSP 0.18G/100/120 ML,2,80.29,160.58,R2509187B,,FC-11784241,1303.20,alta
13,444836,2026-09-18,Equilibrio,7502009742828,MAV258 LARITOL 20 TAB 10 MG,2,8.26,16.52,263132,,FC-09742828,1303.20,alta
14,444836,2026-09-18,Equilibrio,7501349029965,AMS474 BETAHISTINA 30 TAB 24 MG,1,62.04,62.04,U26E251,,FC-49029965,1303.20,alta
15,444836,2026-09-18,Equilibrio,7502009747373,MAV350 BITENVER 30 TAB 24 MG,2,61.49,122.98,261052,,FC-58DB24C4,1303.20,ya
16,444836,2026-09-18,Equilibrio,7501537102449,BRU068 SOLTRIM 20 TAB 80/400 MG,2,12.39,24.78,606278,,FC-37102449,1303.20,alta
17,444836,2026-09-18,Equilibrio,7501349024328,AMS496 KETOROLACO SL 4 TAB 30 MG,10,5.73,57.30,U26F370,,FC-49024328,1303.20,alta
18,444836,2026-09-18,Equilibrio,7501573909965,BIO216 DOSELMIN 10 TAB 10 MG,5,5.61,28.05,SA2621,,FC-73909965,1303.20,alta
19,444836,2026-09-18,Equilibrio,,JAY253 CANULA NASAL P/OXIGENO PED 1 PUNTAS,2,17.54,35.08,2505884701,,EQ-JAY253,1303.20,alta
20,444836,2026-09-18,Equilibrio,,JAY267 PUNTAS P/OXIGENO AD 1 PUNTAS NASALES,2,17.69,35.38,2507900301,,EQ-JAY267,1303.20,alta
