linea,folio,fecha,proveedor,ean,descripcion_ticket,cantidad,precio_unitario,subtotal,lote,caducidad,sku_farmacapital,total_ticket,match
1,13395,2026-09-24,Farmalive,6502400721541,SUEROX VITAMINS MANZANA V-LIMON 630 ML | GENOMMA LAB,2,14.73,29.46,,,FC-00721541,1359.31,ya
2,13395,2026-09-24,Farmalive,6502400663068,SUEROX 8 IONES FRESA 630 ML | GENOMMA LAB,2,14.73,29.46,,,FC-40066306,1359.31,ya
3,13395,2026-09-24,Farmalive,6502400721471,SUEROX VITAMINS NARANJA-MANGO 630 ML | GENOMMA LAB,2,14.73,29.46,,,FC-00721471,1359.31,ya
4,13395,2026-09-24,Farmalive,7501033956690,PEDIALYTE SR45 FRESA 500 ML | ABBOTT,2,23.81,47.62,,,FC-33956690,1359.31,ya
5,13395,2026-09-24,Farmalive,7501033954740,PEDIALYTE SR60 MANZANA 500 ML | ABBOTT,2,23.81,47.62,,,FC-33954740,1359.31,ya
6,13395,2026-09-24,Farmalive,7501033956775,PEDIALYTE SR60 UVA 500 ML | ABBOTT,2,23.81,47.62,,,FC-33956775,1359.31,ya
7,13395,2026-09-24,Farmalive,7509546058962,SPRAY CAPRICE NATURALS SABILA 316 ML | COLGATE PALMOLIVE,1,48.80,48.80,,,FC-46058962,1359.31,alta
8,13395,2026-09-24,Farmalive,7509546058979,SPRAY CAPRICE ALGAS 316 ML | COLGATE PALMOLIVE,2,48.80,97.60,,,FC-46058979,1359.31,alta
9,13395,2026-09-24,Farmalive,7509546058986,SPRAY CAPRICE KIWI LAVANDA 316 ML | COLGATE PALMOLIVE,2,48.80,97.60,,,FC-46058986,1359.31,alta
10,13395,2026-09-24,Farmalive,7509546059006,SPRAY CAPRICE GRANADA 316 ML | COLGATE PALMOLIVE,2,48.80,97.60,,,FC-46059006,1359.31,alta
11,13395,2026-09-24,Farmalive,7891024179925,ENJ BUCAL COLGATE PERIO GARD 250 ML | COLGATE PALMOLIVE,1,182.28,182.28,,,FC-24179925,1359.31,alta
12,13395,2026-09-24,Farmalive,7502275701659,CUBREBOCAS ALFA MEDICAL KIDS AZUL C/10 | ALFA MEDICAL,2,22.05,44.10,,,FC-75701659,1359.31,alta
13,13395,2026-09-24,Farmalive,7501048780235,CUBREBOCAS PROTEC PLEGADO C/10 | DEGASA,1,18.03,18.03,,,FC-48780235,1359.31,alta
14,13395,2026-09-24,Farmalive,7502275701642,CUBREBOCAS KIDS ROSA BOLSA C/10 | ALFA MEDICAL,2,22.05,44.10,,,FC-75701642,1359.31,alta
15,13395,2026-09-24,Farmalive,7501868902008,VENDA DIBAR 5 CM | DIBAR,3,7.15,21.45,,,FC-68902008,1359.31,alta
16,13395,2026-09-24,Farmalive,7702018072439,RASTRILLO GILLETTE SIMPLY VENUS 3 MUJ C/1 | PG PERF,4,18.23,72.92,,,FC-18072439,1359.31,alta
17,13395,2026-09-24,Farmalive,7500435011303,RASTRILLO PRESTOBARBA ULTRA GRIP3 C/1 | PG PERF,12,20.78,249.36,,,FC-35011303,1359.31,alta
18,13395,2026-09-24,Farmalive,7702018874729,RAST GILLETTE PRESTOBARBA3 HOMBRE 2PACK | PG PERF,2,77.13,154.26,,,FC-18874729,1359.31,ya
