pagina,ean,descripcion,laboratorio,cantidad,precio_lista,importe_bruto,descuento_pct,precio_neto,importe_neto
1,7502276040610,DESENFRIOLITO TAB C/24 2PACK,BAYER OTC,1,93.80,93.80,2.0,91.92,91.92
1,650240017100,XL-3 VR TAB C/24,GENOMMA LAB,2,90.00,180.00,2.0,88.20,176.40
1,7501369200016,ESTOMAQUIL SOBRES C/20,LAB HIGIA,1,102.90,102.90,11.0,91.58,91.58
1,7506460101231,TEMPRA XT NOCHE TAB C/12,RB HEALTH,1,63.50,63.50,6.0,59.69,59.69
1,354312225164,VITACILINA BEBE 50 GR,KSK,1,54.80,54.80,2.0,53.70,53.70
1,7501058715487,GRANEODIN F NARANJA TAB C/16,RB HEALTH,2,135.10,270.20,2.0,132.40,264.80
1,7506460101521,LUBRICANTE SOFT LUB PLEASURE 56.7 GR,RB HEALTH,1,100.80,100.80,6.0,94.75,94.75
1,7502250343072,VITACILINA 28 GR 2X1,KSK,1,38.90,38.90,2.0,38.12,38.12
1,7501050613453,AFRIN SPRAY ADTO (ROJO) 20 ML,BAYER OTC,1,77.00,77.00,2.0,75.46,75.46
1,7501008427330,BEPANTHEN POMADA 100 GR,BAYER OTC,1,134.50,134.50,2.0,131.81,131.81
1,7501058792792,TEMPRA 24 HRS TAB C/12,RB HEALTH,1,59.90,59.90,2.0,58.70,58.70
2,354312225027,DERMAN CREMA 50 GR,KSK,1,45.60,45.60,2.0,44.69,44.69
2,7501165000230,IV NEOMELUBRINA TAB C/10,OPELLA,1,73.70,73.70,2.0,72.23,72.23
2,7501328979502,HISTIACIL NF JAR ADTO 150 ML,OPELLA,1,124.40,124.40,2.0,121.91,121.91
2,7501328979496,HISTIACIL NF JAR INF 150 ML,OPELLA,1,125.80,125.80,2.0,123.28,123.28
2,7501037907124,BISOLVON JBE INF 120 ML,LAB HORMONA,1,147.90,147.90,2.0,144.94,144.94
2,7502234762417,NAILEX DESENTERRADOR UÑAS 12 ML,LAB PISA,1,55.60,55.60,2.0,54.49,54.49
2,650240017094,XL-3 XTRA TAB C/12,GENOMMA LAB,4,37.00,148.00,2.0,36.26,145.04
2,7501080950139,COND TROJAN CLASICO ENZ C/3,CHURCH & DWIGHTND,1,42.50,42.50,15.0,36.13,36.13
2,7502208894779,TRIBEDOCE TAB C/30 NVO,BRULUART,5,18.00,90.00,2.0,17.64,88.20
2,7501537163266,IV TRIBEDOCE COMPUESTO AMP C/3,BRULUART,2,55.20,110.40,2.0,54.10,108.19
2,7501065095978,CENTRUM PERFORMANCE TAB C/30,PG PERF,1,164.00,164.00,2.0,160.72,160.72
2,7501080953017,COND TROJAN FIRE & ICE C/3,CHURCH & DWIGHTND,1,49.00,49.00,15.0,41.65,41.65
2,650240015366,NASALUB SOL ADTO 30 ML,GENOMMA LAB,1,87.70,87.70,5.0,83.32,83.32
2,650240010538,NEXT TAB C/10,GENOMMA LAB,4,24.00,96.00,2.0,23.52,94.08
2,650240007408,SILKA MEDIC GEL 15 GR,GENOMMA LAB,1,82.20,82.20,2.0,80.56,80.56
2,7501065060891,CONTAC ULTRA TAB C/12,HALEON,2,33.00,66.00,2.0,32.34,64.68
2,7501385491146,DEFLAMOX PLUS SUSP 75 ML,SANFER,1,45.60,45.60,7.0,42.41,42.41
3,7501537182960,IV TRIBEDOCE 50000 AMP C/5,BRULUART,2,74.60,149.20,2.0,73.11,146.22
3,7501092793045,RIOPAN SOBRES C/20,TAKEDA,1,274.20,274.20,2.0,268.72,268.72
3,650240052545,XL-3 TAB C/10,GENOMMA LAB,4,31.00,124.00,2.0,30.38,121.52
3,3664798059601,ADEROGYL AMP ING C/4,OPELLA,2,98.90,197.80,2.0,96.92,193.84
3,7501095452505,TEMPRA FORTE 650 MG TAB C/24,RB HEALTH,1,121.20,121.20,6.0,113.93,113.93
3,650240031502,TUKOL-D JBE INF 125 ML,GENOMMA LAB,1,129.50,129.50,2.0,126.91,126.91
3,650240010712,TUKOL-D JBE ADTO 125 ML,GENOMMA LAB,1,123.60,123.60,5.0,117.42,117.42
3,354312625018,ROCAINOL UNG 45 GR,KSK,2,54.20,108.40,2.0,53.12,106.23
3,650240036354,GENOPRAZOL TAB C/7 NVO,GENOMMA LAB,1,25.00,25.00,2.0,24.50,24.50
3,7501685171113,COND SICO INVISIBLE C/3,RB HEALTH,1,75.80,75.80,6.0,71.25,71.25
3,7501095452116,TEMPRA 500 MG TAB C/10,RB HEALTH,1,48.80,48.80,6.0,45.87,45.87
3,7502250340538,VITACILINA UNG 18 GR,KSK,1,24.80,24.80,7.0,23.06,23.06
3,7501289520102,HIPOGLOS PAC TUBO 45 GR,ANDROMACO,1,71.00,71.00,2.0,69.58,69.58
3,7501008485316,TABCIN EFERV TAB C/12,BAYER OTC,2,38.50,77.00,2.0,37.73,75.46
3,7501065095947,CENTRUM SILVER TAB C/30,PG PERF,1,182.10,182.10,2.0,178.46,178.46
3,7501095451096,SAL DE UVAS C/10,RB HEALTH,2,37.90,75.80,2.0,37.14,74.28
3,780083146207,FAZOLIN F GOTAS 15 ML,COLLINS,2,27.40,54.80,2.0,26.85,53.70
4,3664798062229,PHARMATON COMPLETE TAB C/30,OPELLA,1,152.60,152.60,2.0,149.55,149.55
4,7501070600556,SYNCOL TAB C/24,SANFER,1,107.40,107.40,8.0,98.81,98.81
4,7501070600730,SYNCOL MAX TAB C/12,SANFER,1,96.40,96.40,8.0,88.69,88.69
4,7501095409004,GRANEODIN B FRAMBUESA TAB C/24,RB HEALTH,2,115.50,231.00,2.0,113.19,226.38
4,7501008427347,BEPANTHEN POMADA 30 GR,BAYER OTC,1,65.75,65.75,2.0,64.44,64.44
4,7501088509810,ANTIFLU-DES PED SOL 30 ML,CHINOIN,1,152.40,152.40,2.0,149.35,149.35
4,7501159525015,EUCALIPTINE JBE 140 ML,SANFER,1,127.90,127.90,2.0,125.34,125.34
4,7503008344495,LACTOPRAM INFANTIL CAPS C/20,PROGELA,1,27.80,27.80,2.0,27.24,27.24
4,7501058367129,COND SICO NEGRO FEEL CART C/3,RB HEALTH,1,58.20,58.20,6.0,54.71,54.71
4,7501065008459,THERAFLU TD ROJO SOB C/10,HALEON,2,173.80,347.60,2.0,170.32,340.65
4,736085405422,SPLASH TEARS LUB SOL OFT 15 ML,LAB SOPHIA,1,143.40,143.40,2.0,140.53,140.53
4,7501008497593,ALKA-SELTZER BOOST TAB C/10,BAYER OTC,2,47.25,94.50,2.0,46.31,92.61
4,7501125112881,IV PISACAINA 2% SOL AMP C/1 50 ML,LAB PISA,1,66.00,66.00,2.0,64.68,64.68
4,7501058714305,TEMPRA JBE 120 ML,RB HEALTH,1,176.80,176.80,6.0,166.19,166.19
4,7501064560163,IODEX CRISTAL UNG 60 GR,HALEON,1,71.50,71.50,2.0,70.07,70.07
4,7501008421321,REDOXON NARANJA 1 GR TAB C/10 2PACK,BAYER OTC,1,166.00,166.00,2.0,162.68,162.68
4,7501058368126,COND SICO ROJO FEEL CART C/3,RB HEALTH,1,58.20,58.20,6.0,54.71,54.71
5,7501008499702,TABCIN PODS NOCHE CAPS C/12,BAYER OTC,2,68.00,136.00,2.0,66.64,133.28
5,7501007535494,MOTRIN SUSP INF 120 ML,KENVUE,1,190.20,190.20,2.0,186.40,186.40
5,7501058793249,LUBRICANTE SICO SENS CALOR 50 ML,RB HEALTH,1,101.90,101.90,6.0,95.79,95.79
5,7501095467264,SAL DE UVAS EXH C/50,RB HEALTH,1,163.50,163.50,2.0,160.23,160.23
5,7501058793232,LUBRICANTE SICO CEREZA 50 ML,RB HEALTH,1,101.90,101.90,6.0,95.79,95.79
5,7502246642073,MICRODACYN 60 SOL 60 ML,SANFER,1,117.00,117.00,2.0,114.66,114.66
5,7501008443026,ALKA-SELTZER EXH TAB C/100,BAYER OTC,1,262.00,262.00,2.0,256.76,256.76
5,650240006647,ULTRA BENGUE GEL ROJO 35 GR,GENOMMA LAB,1,116.10,116.10,5.0,110.30,110.30
5,7501298215099,SEDALMERCK MAX TAB C/24,PG HEALTH,2,124.55,249.10,2.0,122.06,244.12
5,7501007535432,TYLENOL TAB C/10,KENVUE,1,50.00,50.00,2.0,49.00,49.00
5,7501008491072,ASPIRINA TAB C/80 2PACK,BAYER OTC,1,124.80,124.80,2.0,122.30,122.30
5,736085278507,MANZANILLA SOPHIA SOL 15 ML,LAB SOPHIA,1,64.70,64.70,2.0,63.41,63.41
5,7501008443033,ALKA-SELTZER TAB C/12,BAYER OTC,2,39.80,79.60,2.0,39.00,78.01
5,7501070612368,(A) TREDA TAB C/20,SANFER,2,152.00,304.00,8.0,139.84,279.68
5,7501537103521,BRUNADOL TAB C/10 NVO,BRULUART,4,19.70,78.80,2.0,19.31,77.22
5,7501537164713,IV TRIBEDOCE COMPUESTO GRA C/30,BRULUART,5,46.00,230.00,2.0,45.08,225.40
5,7501008485408,TABCIN 500 TAB C/12,BAYER OTC,2,47.00,94.00,2.0,46.06,92.12
6,7501088579615,(A) TOPRON TAB C/16,CHINOIN,1,156.60,156.60,2.0,153.47,153.47
6,7502009747366,IV VERIDEX 6 MG TAB C/4,MAVER,1,77.00,77.00,2.0,75.46,75.46
6,7501088508929,ANARA TAB C/20,CHINOIN,1,162.60,162.60,2.0,159.35,159.35
6,7501008433553,CAFIASPIRINA FORTE TAB C/24,BAYER OTC,2,73.25,146.50,2.0,71.79,143.57
6,7501088509773,ANTIFLU-DES CAP C/24,CHINOIN,1,159.80,159.80,2.0,156.60,156.60
6,7501072300133,TING CREMA 28 GR,LAB HORMONA,1,73.60,73.60,2.0,72.13,72.13
6,7501088559211,SCABISAN CREMA 60 GR,CHINOIN,1,194.60,194.60,2.0,190.71,190.71
6,7501008499900,ALKA-SELTZER BOOST TAB C/50,BAYER OTC,1,174.00,174.00,2.0,170.52,170.52
6,7501008498798,BEPANTHEN MULTIUSOS POMADA 30 GR,BAYER OTC,1,63.25,63.25,2.0,61.99,61.99
6,7501037907117,BISOLVON JBE ADTO 120 ML,LAB HORMONA,1,151.00,151.00,6.0,141.94,141.94
6,020800753067,PEPTO-BISMOL SUSP 118 ML,P&G OTC,1,98.70,98.70,2.0,96.73,96.73
6,7501008491096,CAFIASPIRINA TAB C/100 2 PACK,BAYER OTC,1,221.90,221.90,2.0,217.46,217.46
6,7896009490651,COREGA ULTRA CMA 40 GR,HALEON,1,122.50,122.50,2.0,120.05,120.05
6,7501165000315,IV NEOMELUBRINA JBE 100 ML,OPELLA,1,121.00,121.00,2.0,118.58,118.58
6,7501008494226,ASPIRINA JUNIOR TAB C/60,BAYER OTC,1,67.00,67.00,2.0,65.66,65.66
6,7501008499689,TABCIN PODS ACTIVE CAPS C/12,BAYER OTC,2,68.00,136.00,2.0,66.64,133.28
6,354312225010,DERMAN CREMA 25 GR,KSK,1,27.80,27.80,2.0,27.24,27.24
7,7501289511421,PASTA LASSAR TARRO 30 GR,ANDROMACO,1,24.10,24.10,2.0,23.62,23.62
7,7502224227339,(A) LOXCELL ADTO TAB C/1,LAB HORMONA,2,78.00,156.00,6.0,73.32,146.64
7,7501089810038,HERKLIN SHAM 120 ML,ARMSTRONG,1,128.80,128.80,2.0,126.22,126.22
7,650240053610,ALLI-TRIPLE TAB C/10,GENOMMA LAB,1,60.00,60.00,2.0,58.80,58.80
7,650240070839,ALLIVIAX GARGANTA TAB C/6,GENOMMA LAB,2,25.00,50.00,2.0,24.50,49.00
7,7501314704156,SENOSIAIN SUPOS ADTO C/10,SENOSIAIN OTC,1,63.40,63.40,7.0,58.96,58.96
7,7501065008473,THERAFLU VERDE SOB C/10,HALEON,2,173.80,347.60,2.0,170.32,340.65
7,7501314704163,SENOSIAIN SUPOS INF C/10,SENOSIAIN OTC,1,63.40,63.40,7.0,58.96,58.96
7,7503008344488,LACTOPRAM 430 MG CAP C/20,PROGELA,1,29.30,29.30,2.0,28.71,28.71
7,7501065095718,CENTRUM TAB C/30,PG PERF,1,152.20,152.20,2.0,149.16,149.16
