linea,folio,fecha,proveedor,ean,descripcion_ticket,nombre_mostrador,cantidad,precio_unitario,subtotal,lote,caducidad,sku_farmacapital,total_ticket,match
1,303033,2026-09-05,Farma Mayoreo,7503007859648,BLUMEN JABON LIQ,Blumen jabón líquido Cherry Blossom 525 ml,1,35.98,35.98,,,FC-07859648,1843.16,ficha
2,303033,2026-09-05,Farma Mayoreo,7501943490598,JBN LIQ ESCUDO P,Jabón líquido Escudo para manos,1,28.00,28.00,,,FC-43490598,1843.16,ficha
3,303033,2026-09-05,Farma Mayoreo,7503002163023,XTREME GEL PROFE,Xtreme gel Professional 250 g,3,22.98,68.94,K72556L428,,FC-02163023,1843.16,ficha
4,303033,2026-09-05,Farma Mayoreo,7501007528427,LUBRIDERM REPARA,Lubriderm Reparación Intensiva 400 ml,1,90.98,90.98,,,FC-07528427,1843.16,ficha
5,303033,2026-09-05,Farma Mayoreo,7501004100435,AFRIN AD 20 ML +,Afrin Adulto spray nasal 20 ml,1,83.92,83.92,20K0128,,FC-04100435,1843.16,ficha
6,303033,2026-09-05,Farma Mayoreo,7501008499795,AFRIN NODRIP NIÑ,Afrin No Drip Niños suspensión nasal 15 ml,1,96.98,96.98,2605493,,FC-08499795,1843.16,ficha
7,303033,2026-09-05,Farma Mayoreo,7501088509810,ANTIFLUDES SOL P,Antiflu-Des pediátrico solución 30 ml,1,145.98,145.98,BEK113,,FL-8509810,1843.16,catalogo
8,303033,2026-09-05,Farma Mayoreo,7501258216029,SERRAL PROTECTOR,Protector solar Serral FPS 50+ 60 g,1,37.98,37.98,250653,,FC-58216029,1843.16,ficha
9,303033,2026-09-05,Farma Mayoreo,7506267905186,JBN BLUMEN JL CP,Blumen jabón líquido Coconut 221 ml,2,17.69,35.38,,,FC-67905186,1843.16,catalogo
10,303033,2026-09-05,Farma Mayoreo,7501001116187,VICK 44 JBE 120M,Vick 44 jarabe todo tipo de tos 120 ml,1,115.98,115.98,60984354B0,,FC-01116187,1843.16,ficha
11,303033,2026-09-05,Farma Mayoreo,7503002163610,XTREME GEL ATTRA,Xtreme gel Attraction hombre 250 g,3,23.94,71.82,K72185L419,,FC-02163610,1843.16,ficha
12,303033,2026-09-05,Farma Mayoreo,070942306805,PALILLOS GUM C/HIL,Palillos GUM con hilo dental C/20,1,24.83,24.83,,,FC-42306805,1843.16,ficha
13,303033,2026-09-05,Farma Mayoreo,7501065053121,EMULSION DE SCOT,Emulsión de Scott naranja 200 ml,1,91.97,91.97,6U26,,FC-65053121,1843.16,ficha
14,303033,2026-09-05,Farma Mayoreo,7501001116200,VICK 44 EXP JBE,Vick 44 Exp Infantil jarabe 120 ml,1,115.98,115.98,60834354B1,,FC-01116200,1843.16,ficha
15,303033,2026-09-05,Farma Mayoreo,7501070613006,ANDANTOL 4MG C/2,Andantol isotipendilo 4 mg C/20,1,162.98,162.98,170BD005V,,FC-70613006,1843.16,ficha
16,303033,2026-09-05,Farma Mayoreo,7702031244493,CRA LUBRIDERM P/,Lubriderm Humectación Diaria piel normal 200 ml,1,49.98,49.98,,,FC-31244493,1843.16,ficha
17,303033,2026-09-05,Farma Mayoreo,7506339394733,FIXODENT PLUS 35,Fixodent Plus adhesivo dental 35 g,1,91.97,91.97,6044028890,,FC-39394733,1843.16,ficha
18,303033,2026-09-05,Farma Mayoreo,5000174003963,FIXODENT FRESH 4,Fixodent Fresh adhesivo dental 40 g,1,101.95,101.95,6054028890,,FC-74003963,1843.16,ficha
19,303033,2026-09-05,Farma Mayoreo,7509552844160,AC. FRUCTIS HAIR,Garnier Fructis Hair Food Banana acondicionador 300 ml,1,57.98,57.98,,,FC-52844160,1843.16,ficha
20,303033,2026-09-05,Farma Mayoreo,7506306247468,GEL EGO FRESH 20,Gel Ego Fresh 200 g,2,19.98,39.96,010528,,FC-06247468,1843.16,catalogo
21,303033,2026-09-05,Farma Mayoreo,7501417006133,PASTA DE LASSAR,Pasta de Lassar óxido de zinc 145 g,1,44.94,44.94,LAS050125,,FC-17006133,1843.16,ficha
22,303033,2026-09-05,Farma Mayoreo,7501008409541,SARIDON C/20 COM,Saridon C/20 tabletas,1,58.99,58.99,X26VD7,,FC-84095411,1843.16,catalogo
23,303033,2026-09-05,Farma Mayoreo,7506192506120,SH SAVILE COLAGE,Savilé shampoo Colágeno control caída 180 ml,1,15.89,15.89,20260880,,FC-92506120,1843.16,ficha
24,303033,2026-09-05,Farma Mayoreo,7506306254503,SH SAVILE CELULA,Savilé shampoo Células Madre 180 ml,1,15.89,15.89,2026008,,FC-06254503,1843.16,ficha
25,303033,2026-09-05,Farma Mayoreo,7509552844184,AC. FRUCTIS HAIR,Garnier Fructis Hair Food Aloe Vera acondicionador 300 ml,1,57.98,57.98,,,FC-52844184,1843.16,ficha
26,303033,2026-09-05,Farma Mayoreo,7501072300164,TING POLVO 45G,Ting polvo 45 g,1,69.95,69.95,378028,,FC-72300164,1843.16,ficha
27,303033,2026-09-05,Farma Mayoreo,7702031244486,CRA LUBRIDERM P/,Lubriderm crema piel normal 120 ml,1,29.98,29.98,,,FC-31244486,1843.16,catalogo
