linea,folio,fecha,proveedor,ean,descripcion_ticket,cantidad,precio_unitario,subtotal,lote,caducidad,sku_farmacapital,total_ticket,match
1,306277,2026-09-24,Farma Mayoreo,3014260279264,ORAL B CEPILLO S,2,51.83,103.66,,,FC-60279264,2978.43,alta
2,306277,2026-09-24,Farma Mayoreo,3014260278922,ORAL B CEPILLO F,1,50.97,50.97,,,FC-60278922,2978.43,alta
3,306277,2026-09-24,Farma Mayoreo,7501050623766,AFRIN NODRIP CSE,2,107.90,215.80,,,FC-05062376,2978.43,ya
4,306277,2026-09-24,Farma Mayoreo,7501050624732,AFRIN NODRIP SPR,2,101.98,203.96,,,FC-06247327,2978.43,ya
5,306277,2026-09-24,Farma Mayoreo,7500435246309,VICK DROPS SABOR,1,37.98,37.98,,,FC-35246309,2978.43,ya
6,306277,2026-09-24,Farma Mayoreo,7509546072272,COLGATE CD KIDS,1,24.98,24.98,,,FC-46072272,2978.43,alta
7,306277,2026-09-24,Farma Mayoreo,7891024034095,COLGATE CD KIDS,1,20.95,20.95,,,FC-24034095,2978.43,alta
8,306277,2026-09-24,Farma Mayoreo,7501054550150,CURITAS ANIMALES,1,45.98,45.98,,,FC-54550150,2978.43,alta
9,306277,2026-09-24,Farma Mayoreo,7501048623044,PADS FACIALES PR,1,28.50,28.50,,,FC-48623044,2978.43,alta
10,306277,2026-09-24,Farma Mayoreo,7501943490598,JBN LIQ ESCUDO P,4,28.00,112.00,,,FC-43490598,2978.43,ya
11,306277,2026-09-24,Farma Mayoreo,7590002037843,VICK PYRENA MIEL,2,89.98,179.96,,,FC-02037843,2978.43,alta
12,306277,2026-09-24,Farma Mayoreo,7501125100116,SOLUCION CLORURO,4,26.90,107.60,,,FC-25100116,2978.43,ya
13,306277,2026-09-24,Farma Mayoreo,7501125115479,SOLUCION CLORURO,3,22.98,68.94,,,FC-25115479,2978.43,alta
14,306277,2026-09-24,Farma Mayoreo,7503017500769,JABON LIQUIDO PA,1,16.91,16.91,,,FC-17500769,2978.43,alta
15,306277,2026-09-24,Farma Mayoreo,7503017500776,JABON LIQUIDO PA,1,16.91,16.91,,,FC-17500776,2978.43,alta
16,306277,2026-09-24,Farma Mayoreo,7503017500783,JABON LIQUIDO PA,1,16.91,16.91,,,FC-17500783,2978.43,alta
17,306277,2026-09-24,Farma Mayoreo,7501088509766,ANTIFLUDES SOL J,3,124.98,374.94,,,FC-85097661,2978.43,ya
18,306277,2026-09-24,Farma Mayoreo,7501065085191,VOLTAREN EMULGEL,1,76.98,76.98,,,FC-65085191,2978.43,alta
19,306277,2026-09-24,Farma Mayoreo,7501088509810,ANTIFLUDES SOL P,1,138.98,138.98,,,FL-8509810,2978.43,ya
20,306277,2026-09-24,Farma Mayoreo,7501065024688,VOLTAREN DOLO 25,1,195.98,195.98,,,FC-65024688,2978.43,alta
21,306277,2026-09-24,Farma Mayoreo,7501065085528,VOLTAREN EMULGEL,1,111.98,111.98,,,FC-65085528,2978.43,alta
22,306277,2026-09-24,Farma Mayoreo,7509546068558,COLGATE CEPILLO,2,45.98,91.96,,,FC-46068558,2978.43,alta
23,306277,2026-09-24,Farma Mayoreo,7509546079493,COLGATE CEPILLOS,2,30.97,61.94,,,FC-46079493,2978.43,alta
24,306277,2026-09-24,Farma Mayoreo,7509546066776,COLGATE CREMA DE,3,45.98,137.94,,,FC-46066776,2978.43,alta
25,306277,2026-09-24,Farma Mayoreo,7500435246293,DROPS CARAMELO M,2,37.98,75.96,,,FC-35246293,2978.43,alta
26,306277,2026-09-24,Farma Mayoreo,7500435246286,DROPS CARAMELO M,2,37.98,75.96,,,FC-35246286,2978.43,alta
27,306277,2026-09-24,Farma Mayoreo,7501943493940,TAS HUMEDAS ESC,3,12.98,38.94,,,FC-43493940,2978.43,alta
28,306277,2026-09-24,Farma Mayoreo,7506425625536,KOTEX TAMPONES R,2,32.50,65.00,,,FC-25625536,2978.43,alta
29,306277,2026-09-24,Farma Mayoreo,7501417515956,BOCASAN ECONOPA,2,60.95,121.90,,,FC-17515956,2978.43,alta
30,306277,2026-09-24,Farma Mayoreo,7506195102640,VICK PYRENA MANZ,2,78.98,157.96,,,FC-95102640,2978.43,alta
