pagina,clave,cantidad,unidad,precio_unitario,descuento,subtotal,descripcion,lote,caducidad
1,506935,5.00,pza,11.53,0.00,57.65,NORMOGOTERO-SENSIMEDICAL PIEZAS C/1 S/AGUJA,7033325D,2030-03-01
1,301138,1.00,pza,9.50,0.00,9.50,CINTA-MICROPOROSA-CODIFARMA 2.5 CM X 5 M C/1 BLANCO,251101-2,2030-11-01
1,302174,4.00,pza,15.21,0.00,60.84,CINTA-MICROPOROSA-CODIFARMA 2.5 CM X 9.1 M C/1 BLANCO,251101-3,2030-11-01
1,506817,6.00,pza,15.18,0.00,91.08,MEDITEST PRUEBA EMBARAZO C/1,2510838801,2028-10-01
1,301082,1.00,pza,96.55,9.66,86.90,RINOMAR SOLUCION NASAL C/100 ML,RIJ25078,2028-09-01
1,307853,1.00,pza,74.29,0.00,74.29,OMELINA CAPSULAS C/60,S26094,2029-04-01
1,302947,1.00,pza,45.30,0.00,45.30,CITRATO MAGNESIO/LECITINA SOYA-NATUREX CAPSULAS C/30,262440,2028-04-01
1,502702,1.00,pza,71.60,0.00,71.60,PROMEGA-3 CAPSULAS C/60,0038U,2029-05-01
1,502700,1.00,pza,87.46,0.00,87.46,LA-FEMME CAPSULAS C/30,U0377,2028-04-01
1,501003,1.00,pza,88.66,0.00,88.66,GELCAVIT-Q-10 CAPSULAS C/30,26B668,2028-02-01
1,506689,1.00,pza,33.65,0.00,33.65,LACTIV SOBRES C/6 INFANTIL,262525,2028-04-01
1,501619,1.00,pza,44.46,0.00,44.46,EUCALIN-MIEL JARABE C/120 ML,25540582,2028-12-01
2,505937,1.00,pza,74.27,0.00,74.27,PLENIFORM-40 TABLETAS C/30,26E0001,2028-11-01
2,506973,1.00,pza,40.54,0.00,40.54,LACTIV SOBRES C/6 ADULTO,262415,2028-04-01
2,502465,1.00,pza,41.06,0.00,41.06,COLAGENO-NATUREX TABLETAS C/60,256971,2027-12-01
2,503270,1.00,pza,22.65,0.00,22.65,ANIMALIN GOTAS C/30 ML,255714,2027-10-01
2,500995,1.00,pza,66.30,0.00,66.30,GELCAVIT-9M CAPSULAS C/30,26C658,2028-03-01
2,301721,1.00,pza,29.14,0.00,29.14,VITA/KID/C JARABE C/240 ML,26E40105,2028-01-01
2,500330,1.00,pza,47.08,0.00,47.08,DIBENEL CAPSULAS C/30,26A50040,2028-04-01
2,500999,1.00,pza,72.56,0.00,72.56,GELCAVIT-HO CAPSULAS C/30,25J662,2027-09-01
2,307661,1.00,pza,78.16,0.00,78.16,HUCIUS CAPSULAS C/30,26E00193,2028-01-01
2,500998,1.00,pza,71.49,0.00,71.49,GELCAVIT-PLATINUM CAPSULAS C/30,26A672,2028-02-01
2,506967,1.00,pza,77.28,0.00,77.28,EXZON TABLETAS MASTICABLES C/90,26D007,2028-04-01
2,501002,1.00,pza,78.55,0.00,78.55,GELCAVIT-MULIER CAPSULAS C/30,26C694,2028-04-01
2,501000,1.00,pza,42.43,0.00,42.43,GELCAVIT-COLORS CAPSULAS C/30,26A674,2028-02-01
2,302884,2.00,pza,48.45,0.00,96.90,SOL-SUN CREMA C/50 GR 50-FPS/AH AV,07026067,2029-04-01
2,504851,1.00,pza,60.85,0.00,60.85,PIOKLEAN SPRAY C/130 ML,261SP0301,2029-03-01
2,502473,1.00,pza,62.12,0.00,62.12,DIBENEL-MAX CAPSULAS C/30,26F30810,2028-03-01
2,300861,1.00,pza,103.89,0.00,103.89,FOTOSUN-UV100 CREMA C/125 ML 50-FPS,,2028-04-01
3,302138,1.00,pza,79.83,7.98,71.85,BIOTINA-NATUREX CAPSULAS C/30,260021,2028-01-01
3,503473,1.00,pza,28.48,0.00,28.48,LACTIV TABLETAS MASTICABLES C/30 INFANTIL,260915,2028-02-01
3,302906,1.00,pza,41.06,0.00,41.06,VIZANO CAPSULAS C/30,26Y01966,2028-05-01
3,302907,1.00,pza,74.02,7.40,66.62,IVERKRAM CAPSULAS C/30,25A02039,2027-04-01
3,300936,2.00,pza,18.48,3.70,33.26,LADY-FEMM PARCHE C/1,202602,2029-02-01
3,502099,1.00,pza,55.37,5.54,49.83,ERBITRAX TABLETAS 250 MG C/7,R2601829,2028-02-01
3,506896,1.00,pza,64.91,0.00,64.91,VALNAIT CAPSULAS C/30,26A01381,2028-04-01
3,303091,1.00,pza,44.95,13.49,31.47,PIOJITOS SHAMPOO C/150 GR,SP020325,2027-03-01
3,301135,5.00,pza,4.75,0.00,23.75,CINTA-MICROPOROSA-CODIFARMA 1.25 CM X 5 M C/1 BLANCO,250101-1,2030-01-01
3,500311,1.00,pza,62.96,0.00,62.96,ALI-GOMITAS GOMITAS C/60,25N50408,2027-12-01
3,502046,2.00,pza,36.85,0.00,73.70,CALAZIN SUSPENSION TOPICA C/180 ML,260205,2028-02-01
3,502376,1.00,pza,34.77,0.00,34.77,NORAPRED TABLETAS 50 MG C/20,604203,2028-04-01
3,500310,1.00,pza,68.88,0.00,68.88,ALEVARIN CAPSULAS C/45,26A01563,2028-05-01
3,301546,1.00,pza,41.21,0.00,41.21,MONTELUKAST-NEOLPHARMA TABLETAS 5 MG C/20,0925961,2027-09-01
3,301516,2.00,pza,17.98,0.00,35.96,ACEITE/BEBE-JALOMA FRASCO C/120 ML MANZANILLA,0164389,2028-06-01
3,301081,1.00,pza,104.65,10.47,94.19,HUDICLOR TABLETAS 250 MG C/28,26141117,2028-05-01
3,504790,1.00,pza,94.83,0.00,94.83,GELCAVIT-GEM CAPSULAS C/30,25J664,2027-09-01
3,300591,2.00,pza,18.00,5.40,30.60,BIO-CLAP-REPELENTE SPRAY C/60 ML,0167054,2028-05-01
4,303355,1.00,pza,90.23,0.00,90.23,TAFLAVIX FRASCO C/40,26540074,2028-03-01
4,507495,1.00,pza,34.44,3.44,31.00,SENLOIR TABLETAS 10 MG C/20,26140731,2028-03-01
4,505399,1.00,pza,49.69,0.00,49.69,SALUDOL-CORPORAL GEL C/100 GR,26740135,2028-06-01
4,503904,2.00,pza,17.33,5.20,29.46,ACEITE/BEBE-JALOMA FRASCO C/120 ML,0165578,2028-05-01
4,307574,1.00,pza,17.98,0.00,17.98,ACEITE/BEBE-JALOMA FRASCO C/120 ML LAVANDA,0158001,2028-03-01
4,307574,1.00,pza,17.98,0.00,17.98,ACEITE/BEBE-JALOMA FRASCO C/120 ML LAVANDA,0161683,2028-06-01
4,502386,2.00,pza,41.83,0.00,83.66,GUAXOQUIM JARABE C/140 ML,26AM34,2028-01-01
4,501200,1.00,pza,20.67,0.00,20.67,LARITOL SOLUCION C/60 ML,263503,2028-06-01
4,302287,1.00,pza,53.55,0.00,53.55,BELAPIEL/PIERNAS-CANSADAS CREMA C/200 GR,12026092,2028-10-01
4,505289,3.00,pza,32.74,0.00,98.22,DICLOFENACO/COMPLEJO-B-ULTRA GRAGEAS C/30,5LM122A,2027-11-01
4,302206,1.00,pza,20.40,0.00,20.40,BELAPIEL/GOLPES CREMA C/75 GR,06026056,2028-11-01
4,307626,3.00,pza,16.88,0.00,50.64,BROMURO-PINAVERIO-ALPHARMA TABLETAS 100 MG C/14,0526059,2028-05-01
4,303093,3.00,pza,33.12,9.94,89.42,BELAZIX TABLETAS 5 MG C/10,B80046,2028-03-01
4,303280,2.00,pza,39.74,0.00,79.48,MELNOTEX TABLETAS 5 MG C/20,60705,2028-03-01
4,301025,1.00,pza,35.10,0.00,35.10,MASCARILLA-NEBULIZACION-SENSIMEDICAL BOLSA C/1 CON NEBULIZADOR PEDIATRICA,2504863004,2030-04-01
