pagina,seccion,descripcion,clave,cantidad,unidad,precio_publico,importe
1,MAYOREO,MERCURIO OXIDO DE ZINC C/50 1620824,83521,1.00,PAQ,54.00,54.00
1,MAYOREO,MERCURIO BISMUTO SUBNITRATO C/50 1390724,83490,1.00,PAQ,73.50,73.50
1,MAYOREO,MERCURIO BICARBONATO SOBRES C/50 1380724,83490,1.00,PAQ,48.00,48.00
1,MAYOREO,MERCURIO MAGNESIA ANISADA C/50 1560824,83521,1.00,PAQ,51.50,51.50
1,MAYOREO,EDIGAR PERILLA N 5 CAJA 1512,81608,2.00,PIEZA,20.50,41.00
1,MAYOREO,EDIGAR PERILLA N 6 CAJA 1649,81608,2.00,PIEZA,22.50,45.00
1,MAYOREO,MERCURIO BORAX POLVO C/50 1400724,83490,1.00,PAQ,53.00,53.00
1,MAYOREO,MERCURIO PERLAS DE ETER C/50 1630824,83521,1.00,PAQ,170.00,170.00
1,MAYOREO,MERCURIO FLOR DE ARNICA C/50 1430724,83490,1.00,PAQ,55.00,55.00
1,MAYOREO,EDIGAR PERILLA N 0 CAJA,,2.00,PIEZA,14.50,29.00
1,MAYOREO,MERCURIO SULFATIAZOL POLVO C/50 1710824,83521,1.00,PAQ,69.00,69.00
1,MAYOREO,EDIGAR PERILLA N 4 CAJA 1439,81608,2.00,PIEZA,19.50,39.00
1,MAYOREO,EDIGAR PERILLA N 3 CAJA 1334,81608,2.00,PIEZA,18.50,37.00
1,MAYOREO,EDIGAR PERILLA N 2 CAJA 1145,81608,2.00,PIEZA,16.00,32.00
1,MAYOREO,VELAZQUEZ ALCANFOR PASTILLAS C/50 SOBRES,,1.00,PIEZA,127.50,127.50
1,MAYOREO,EDIGAR PERILLA N 1 CAJA 1113,81608,2.00,PIEZA,15.50,31.00
1,MAYOREO,MERCURIO HABA ALCANFORADA C/50 1510724,83490,1.00,PAQ,65.00,65.00
2,MENUDEO,MERCURIO POMADA TEPEZCOHUITE C/25 2560123,82943,3.00,PZ,9.50,28.50
2,MENUDEO,MERCURIO POMADA VENENO DE ABEJA C/25 2580223,82972,3.00,PIEZA,9.50,28.50
2,MENUDEO,MERCURIO POMADA PAN PUERCO C/25 25401233,82943,5.00,PIEZA,9.50,47.50
2,MENUDEO,VELAZQUEZ BICARBONATO GRANDE 200G C/10 0121,2023,5.00,PZ,11.50,57.50
2,MENUDEO,MERCURIO POMADA ARNICA C/25 2550123,82943,5.00,PIEZA,10.50,52.50
2,MENUDEO,MERCURIO POMADA SULFATIAZOL C/25 2600223,82972,3.00,PIEZA,11.50,34.50
2,MENUDEO,MERCURIO POMADA OXIDO DE ZINC C/25 2590223,82972,3.00,PIEZA,9.00,27.00
2,MENUDEO,MERCURIO CLORURO DE MAGNESIO C/10 CAJITA 1420723,83125,2.00,PZ,17.00,34.00
