linea,folio,fecha,proveedor,ean,descripcion_ticket,cantidad,precio_unitario,subtotal,lote,caducidad,sku_farmacapital,total_ticket,match
1,125445,2026-09-24,IFC F8 Tienda,,MERCURIO MAGNESIA CALCINADA C/50 1570818 06AGO25,1,55.50,55.50,,,FC-IFC-1570818,770.00,sin_ean
2,125445,2026-09-24,IFC F8 Tienda,,ESPEJITO REDONDO ECONOMICO,5,6.00,30.00,,,FC-IFC-ESPEJITO,770.00,sin_ean
3,125445,2026-09-24,IFC F8 Tienda,,PARCHES P/ACNE FIGS HIDROCOLOIDE,6,16.50,99.00,,,FC-IFC-PARCHE-ACNE,770.00,sin_ean
4,125445,2026-09-24,IFC F8 Tienda,,BENZAL WASH LIQUIDO 240ML R101100 82912,1,102.50,102.50,,,FC-IFC-82912,770.00,sin_ean
5,125445,2026-09-24,IFC F8 Tienda,,MERCURIO ROSA DE CASTILLA C/50 1490724 83490,1,75.00,75.00,,,FC-IFC-1490724,770.00,sin_ean
6,125445,2026-09-24,IFC F8 Tienda,,MERCURIO ALMIDON CAJITA C/10 1330723 83125,1,91.50,91.50,,,FC-IFC-1330723,770.00,sin_ean
7,125445,2026-09-24,IFC F8 Tienda,,MERCURIO ANIS ESTRELLA C/25 1660824 83521,1,131.00,131.00,,,FC-IFC-1660824,770.00,sin_ean
8,125445,2026-09-24,IFC F8 Tienda,,MERCURIO BORAX POLVO C/50 1400724,1,53.00,53.00,,,FC-IFC-1400724,770.00,sin_ean
9,125445,2026-09-24,IFC F8 Tienda,,LIMA UNAS PULEFIN C/100,1,94.50,94.50,,,FC-IFC-PULEFIN100,770.00,sin_ean
10,125445,2026-09-24,IFC F8 Tienda,,MERCURIO POMADA MANZANA C/25 2530123 82943,4,9.50,38.00,,,FC-IFC-82943,770.00,sin_ean
