linea,folio,fecha,proveedor,ean,clave_levic,descripcion_ticket,cantidad,precio_unitario,subtotal,lote,caducidad,sku_farmacapital,total_ticket
1,1020554215,2026-08-25,Levic,7501349012943,AMS165,FLUCONAZOL 1 CAPS 150 MG,4,13.61,54.44,,,FC-5BC5F234,1377.28
2,1020554215,2026-08-25,Levic,7501349027329,AMS253,DEXAMETASONA 1 FA 8MG/2 ML,4,9.28,37.12,,,EQ-AMS253,1377.28
3,1020554215,2026-08-25,Levic,7501349020139,AMS495,FLUCONAZOL 10 CAP 100 MG,1,18.29,18.29,,,,1377.28
4,1020554215,2026-08-25,Levic,7502209857032,BEA420,FLUCONAZOL 10 CAPS 100 MG,1,17.35,17.35,,,,1377.28
5,1020554215,2026-08-25,Levic,7501088505126,CHI030,NEURALIN INY 2 AMP 200MG/100MG/5GM,1,148.89,148.89,,,FC-8505126,1377.28
6,1020554215,2026-08-25,Levic,650240029165,GNO016,LOMECAN DUO 3 OVULOS Y CREMA 200 MG,2,176.10,352.20,,,,1377.28
7,1020554215,2026-08-25,Levic,7501058714312,LIV177,TEMPRA GOTAS UVA 10 G 30 ML,1,168.72,168.72,,,,1377.28
8,1020554215,2026-08-25,Levic,7502227879610,RAM156,DUET FLEXENOL NF 16 TAB 275/300 MG,5,30.06,150.30,,,,1377.28
9,1020554215,2026-08-25,Levic,7501300407047,SIE060,FEBRAX 15 TAB 275/300 MG,1,204.38,204.38,,,,1377.28
10,1020554215,2026-08-25,Levic,7501300407054,SIE061,FEBRAX SUPOSITORIOS 1CJA C/5 100/200 MG,1,128.75,128.75,,,,1377.28
11,1020554215,2026-08-25,Levic,7501482200016,SOF054,OMEPRAZOL (AKTYZAR) 120 CAPS 20MG,2,48.42,96.84,,,FC-82200016,1377.28
