linea,folio,fecha,proveedor,ean,descripcion_ticket,cantidad,precio_unitario,subtotal,lote,caducidad,sku_farmacapital,total_ticket,match
1,9012148211,2026-08-31,Levic,7501349021808,CEFOTAXIMA I.M. 1 FA 500MG/2 ML,1,27.99,27.99,,,EQ-AMS349,627.85,alta
2,9012148211,2026-08-31,Levic,7501573900535,BIOMESINA 10 TAB 10 MG,3,13.54,40.62,,,EQ-BIO002,627.85,alta
3,9012148211,2026-08-31,Levic,7896009498091,SENSODYNE COMPLETE PROTEC 1 TUBO 90 G,1,56.88,56.88,,,FC-09498091,627.85,recibir
4,9012148211,2026-08-31,Levic,7502211789284,FARIBROX TM INF 1 JBE 150/113MG/100/150,2,23.41,46.82,,,EQ-LOE131,627.85,recibir
5,9012148211,2026-08-31,Levic,7502009740794,LINCOVER 16 CAPS 500 MG,2,58.74,117.48,,,EQ-MAV102,627.85,alta
6,9012148211,2026-08-31,Levic,7502009741593,DOLXEN 10 TAB 500 MG,5,19.88,99.40,,,EQ-MAV162,627.85,recibir
7,9012148211,2026-08-31,Levic,7502001163782,DICLEOPHEN 12 CAPS 500 MG,3,29.76,89.28,,,EQ-SON039,627.85,recibir
8,9012148211,2026-08-31,Levic,7502001161627,LISONIN 1 AMP 600MG/2 ML,1,36.45,36.45,,,EQ-SON083,627.85,alta
9,9012148211,2026-08-31,Levic,7502001161597,LISONIN 1 AMP 300MG/1 ML,2,26.73,53.46,,,EQ-SON084,627.85,alta
10,9012148211,2026-08-31,Levic,7503003738879,ROSEL T 15 TAB 300/50/3 MG,1,22.25,22.25,,,FC-03738879,627.85,recibir
11,9012148211,2026-08-31,Levic,7503003738404,AMANTADINA(ROSEL) 24 CAPS 50/3/300 MG,1,28.12,28.12,,,EQ-WER025,627.85,recibir
