linea,folio,fecha,proveedor,ean,clave_levic,descripcion_ticket,cantidad,precio_unitario,subtotal,lote,caducidad,sku_farmacapital,total_ticket,match
1,9012242979,2026-09-14,Levic,7506335701214,ACC092,HT-BLOC 1 AMP 4MG/2 ML,2,44.64,89.28,M2408436,2027-06-30,EQ-ACC092,1557.92,alta
2,9012242979,2026-09-14,Levic,7501384541163,ALP0608,CARBAMAZEPINA 20 TAB 200 MG,1,18.75,18.75,7230526,2029-05-30,EQ-ALP0608,1557.92,recibir
3,9012242979,2026-09-14,Levic,7501349020122,AMS132,CLONIXINATO DE LISINA 5 AMP 100MG/2 ML,2,28.97,57.94,B26A507,2028-04-30,EQ-AMS132,1557.92,alta
4,9012242979,2026-09-14,Levic,7501349014190,AMS147,ACIDO ALENDRONICO 30 TAB 10 MG,1,23.55,23.55,U26A275,2028-04-30,EQ-AMS147,1557.92,alta
5,9012242979,2026-09-14,Levic,7501277071685,APO216,PROCHOR 30 TAB 40 MG,3,23.96,71.88,0806M26,2028-06-30,EQ-APO216,1557.92,alta
6,9012242979,2026-09-14,Levic,7502209850231,AVT218,ZAGAPSOL 10 TAB 5 MG,2,4.37,8.74,SF26155,2028-06-30,EQ-AVT218,1557.92,alta
7,9012242979,2026-09-14,Levic,7501342804408,BEA424,METOPROLOL 20 TAB 100MG,3,7.67,23.01,670186,2028-06-01,EQ-BEA424,1557.92,recibir
8,9012242979,2026-09-14,Levic,7501842951657,GEN062,PAKID 20 TAB 325/200 MG,2,27.88,55.76,614015A,2028-07-01,EQ-GEN062,1557.92,alta
9,9012242979,2026-09-14,Levic,6358975544000,JAV050,CLOROFIL-JAHVS 1 SOL 500 ML,1,61.15,61.15,0200107,2029-01-07,EQ-JAV050,1557.92,alta
10,9012242979,2026-09-14,Levic,7506022315038,JAY216,NAVONTEC 3 AMP 8MG/4ML,2,55.87,111.74,6A0023C06,2028-01-12,EQ-JAY216,1557.92,alta
11,9012242979,2026-09-14,Levic,7502211788690,LOE123,DIOTEXONA 1 GOTERO 10G/100/30 ML,1,44.64,44.64,R2511440,2027-11-11,EQ-LOE123,1557.92,recibir
12,9012242979,2026-09-14,Levic,7502009742798,MAV176,LARITOL EX 1 SOL 600/100MG/30 ML,2,16.87,33.74,262633,2028-05-30,EQ-MAV176,1557.92,alta
13,9012242979,2026-09-14,Levic,7502009746321,MAV300,NISOLVER 1 SOL 100 ML,2,73.74,147.48,260451,2028-01-30,EQ-MAV300,1557.92,alta
14,9012242979,2026-09-14,Levic,7502009747274,MAV342,DOLVER 10 TAB 600 MG,2,17.61,35.22,264180,2028-07-30,EQ-MAV342,1557.92,alta
15,9012242979,2026-09-14,Levic,7502009748035,MAV364,TINITREND 1 CMA 30 G,2,33.12,66.24,261915,2028-04-30,EQ-MAV364,1557.92,alta
16,9012242979,2026-09-14,Levic,7502009747410,MAV375,TINITREND 1 CMA 40 G,2,41.24,82.48,260872,2028-02-28,EQ-MAV375,1557.92,alta
17,9012242979,2026-09-14,Levic,7503027446279,PGE057,GELUBRIN 10 CAPS 600 MG,3,22.58,67.74,U0400,2028-04-13,EQ-PGE057,1557.92,recibir
18,9012242979,2026-09-14,Levic,7501563380163,RAD081,FUMARATO FERROSO 50 TAB 200MG,1,14.20,14.20,28563,2028-04-09,EQ-RAD081,1557.92,recibir
19,9012242979,2026-09-14,Levic,7501563380415,RAD097,TRETINOINA 1 CMA 20 G,2,10.93,21.86,21902,2027-05-08,EQ-RAD097,1557.92,alta
20,9012242979,2026-09-14,Levic,7502227876428,RAM141,BREFLUMAR 20 TAB 5 MG,2,28.38,56.76,RBR029,2028-03-30,EQ-RAM141,1557.92,alta
21,9012242979,2026-09-14,Levic,7501258203593,SER024,LONIXER 10 TAB 125 MG,3,30.65,91.95,260057,2028-01-13,EQ-SER024,1557.92,alta
22,9012242979,2026-09-14,Levic,7501258203586,SER025,LONIXER 10 TAB 250 MG,3,37.63,112.89,260186,2028-02-04,EQ-SER025,1557.92,recibir
23,9012242979,2026-09-14,Levic,7506281106019,STR005,FERRO-4 30 GRAG 300/150/50/10 MG,1,57.49,57.49,SU01US,2028-06-30,EQ-STR005,1557.92,alta
24,9012242979,2026-09-14,Levic,7501122960201,VAL063,ARRETIN 1 CMA 30 G,1,184.45,184.45,430098,2028-01-30,EQ-VAL063,1557.92,alta
