linea,folio,fecha,proveedor,ean,descripcion_ticket,cantidad,precio_unitario,subtotal,lote,caducidad,sku_farmacapital,total_ticket,match
1,20260905,2026-09-05,Por confirmar,7891010245160,NEUTROGENA 200ML AGUA MICELAR C6 SEP26,2,45.890,91.78,,,,5007.41,ticket
2,20260905,2026-09-05,Por confirmar,761318132592,PEINES REVLON SALON CARBON 2PK,1,44.950,44.95,,,,5007.41,ticket
3,20260905,2026-09-05,Por confirmar,761318128335,CEP REVLON MOD PALETA RV2833LA,1,45.520,45.52,,,,5007.41,ticket
4,20260905,2026-09-05,Por confirmar,761318020639,CEP REVLON ACOLCHMGO GOMARV2063LA,1,45.820,45.82,,,,5007.41,ticket
5,20260905,2026-09-05,Por confirmar,7502221187575,DESOD BRUT DEEPBLUE 48HR SPY150ML,2,45.915,91.83,,,,5007.41,ticket
6,20260905,2026-09-05,Por confirmar,7506306215511,DESOD SAVILE SAB-NAC NAT SPY 150ML,1,38.960,38.96,,,,5007.41,ticket
7,20260905,2026-09-05,Por confirmar,7506306215528,DEO SAVILE B-SOD Y LIM SPY150ML,1,38.950,38.95,,,,5007.41,ticket
8,20260905,2026-09-05,Por confirmar,7506306209763,DESOD SAVILE MANZANILLA SPY 150ML,1,38.950,38.95,,,,5007.41,ticket
9,20260905,2026-09-05,Por confirmar,75065102,DESOD SAVILE MANZANILLA STICK 45G,1,38.650,38.65,,,,5007.41,ticket
10,20260905,2026-09-05,Por confirmar,75068639,DESOD SAVILE B-SOD Y LIM STICK45G,1,38.650,38.65,,,,5007.41,ticket
11,20260905,2026-09-05,Por confirmar,75068622,DESOD SAVILE B-SOD Y LIM R-ON45ML ABRIL27,1,24.560,24.56,,,,5007.41,ticket
12,20260905,2026-09-05,Por confirmar,75064891,DESOD SAVILE AGUA/ROSA R-ON 45ML MAR27,1,27.990,27.99,,,,5007.41,ticket
13,20260905,2026-09-05,Por confirmar,7501082736021,DEO NUVEL ACLA WOM SPY150ML,2,35.450,70.90,,,,5007.41,ticket
14,20260905,2026-09-05,Por confirmar,7506309864839,DESOD GTTE END COOL SPY150ML,1,55.380,55.38,,,,5007.41,ticket
15,20260905,2026-09-05,Por confirmar,7501027286000,DESOD OBAO OCEAN R-ON 65G,1,25.830,25.83,,,,5007.41,ticket
16,20260905,2026-09-05,Por confirmar,7506309864822,DESOD GTTE ENDURARTICIC SP 150,1,55.580,55.58,,,,5007.41,ticket
17,20260905,2026-09-05,Por confirmar,7501027286017,DESOD OBAO CLAS R-ON 65G,1,29.550,29.55,,,,5007.41,ticket
18,20260905,2026-09-05,Por confirmar,7501082731071,DESOD NUVEL TROPIC WOM SPY 170 ML,2,32.725,65.45,,,,5007.41,ticket
19,20260905,2026-09-05,Por confirmar,7506306251847,DESOD AXE BLACK REMIX SPY 210 ML,3,68.730,206.19,,,,5007.41,ticket
20,20260905,2026-09-05,Por confirmar,7509546029139,DESOD SPEED S 24/7COOL-NIG STIK 85G,2,55.340,110.68,,,,5007.41,ticket
21,20260905,2026-09-05,Por confirmar,7500435141796,DESOD OLD SPICE MAR PROF SPY 150ML,1,61.740,61.74,,,,5007.41,ticket
22,20260905,2026-09-05,Por confirmar,7509552906158,DESOD OBAO FRESQUISSIMA R-ON 65G,1,26.090,26.09,,,,5007.41,ticket
23,20260905,2026-09-05,Por confirmar,7509552844825,DESOD OBAO R-NAT COCO R-ON 65G,1,24.950,24.95,,,,5007.41,ticket
24,20260905,2026-09-05,Por confirmar,7509546071275,DESOD LADYSS POWDER FRESH SPY 60G FEB27,3,29.487,88.46,,,,5007.41,ticket
25,20260905,2026-09-05,Por confirmar,78924338,DESOD REXONA WOM POW R-ON 53G,2,30.120,60.24,,,,5007.41,ticket
26,20260905,2026-09-05,Por confirmar,7506306226852,DESOD AXE WOM ANARCHY SPY 150ML,2,45.830,91.66,,,,5007.41,ticket
27,20260905,2026-09-05,Por confirmar,7500435129367,DESOD SECRET PH-BALAN STICK GEL 45G,1,60.470,60.47,,,,5007.41,ticket
28,20260905,2026-09-05,Por confirmar,7506306209862,DESOD AXE SPY 150ML 48H ANARCHY FRESH LOVE FOR HER,1,45.830,45.83,,,,5007.41,ticket
29,20260905,2026-09-05,Por confirmar,7791293025919,DESOD AXE EXCITE SECO SPY 152ML,1,62.830,62.83,,,,5007.41,ticket
30,20260905,2026-09-05,Por confirmar,7509546057545,DESOD LADYSS PRO 5EN1 STICK 45G ABRIL27,1,49.590,49.59,,,,5007.41,ticket
31,20260905,2026-09-05,Por confirmar,7509546015514,DESOD LADYSS D-DEF A-FSH 45G,1,50.780,50.78,,,,5007.41,ticket
32,20260905,2026-09-05,Por confirmar,7506306209855,DESOD AXE ANARC FLO 48H SPY 150ML,1,45.830,45.83,,,,5007.41,ticket
33,20260905,2026-09-05,Por confirmar,7509546029153,DESOD LADYSS FLORAL FRESH GEL 65GN,1,53.300,53.30,,,,5007.41,ticket
34,20260905,2026-09-05,Por confirmar,78924345,DESOD REXONA WOM BAMBOO R-ON 50ML,2,30.125,60.25,,,,5007.41,ticket
35,20260905,2026-09-05,Por confirmar,7509546060477,DESOD LADYSS POW DER FRES R-ON 50ML,3,29.163,87.49,,,,5007.41,ticket
36,20260905,2026-09-05,Por confirmar,7506339349146,DESOD OLD SPICE WOLFTHORN SPY 150ML,1,56.990,56.99,,,,5007.41,ticket
37,20260905,2026-09-05,Por confirmar,7501027250612,DESOD OBAO P/DEL R-ON 65G,1,25.830,25.83,,,,5007.41,ticket
38,20260905,2026-09-05,Por confirmar,7501082790481,TAS DESMAQ NUVEL HIDRATANTES C25,1,25.020,25.02,,,,5007.41,ticket
39,20260905,2026-09-05,Por confirmar,7502221012303,TAS HUM CLARIS DESMAQ ALOE C/40,1,18.860,18.86,,,,5007.41,ticket
40,20260905,2026-09-05,Por confirmar,7509546029825,DESOD NEUTRO B R-ON 65 ML,3,28.183,84.55,,,,5007.41,ticket
41,20260905,2026-09-05,Por confirmar,7501022107201,SH PERRO CONSE ANTI OLORES 500ML,1,72.420,72.42,,,,5007.41,ticket
42,20260905,2026-09-05,Por confirmar,7509546007083,C D COLGATE TOTAL12 CLEAN MINT 50ML,1,19.290,19.29,,,,5007.41,ticket
