pagina,ean,descripcion,cantidad,unidad,desc_pct,iva_pct,precio,importe,descuento,total
1,7501868900264,*DIBAR ALCOHOL 125ML ROJO,48,Pza,10,16,9.00,432.00,43.43,388.57
1,7501868960257,*DIBAR ALCOHOL 1LT ROJO,12,Pza,5,16,56.00,672.00,33.55,638.45
1,7501868900226,*DIBAR ALCOHOL 250ML. ROJO,36,Pza,5,16,16.50,594.00,29.65,564.35
1,7501868990023,*DIBAR ALCOHOL 500ML. ROJO,24,Pza,6,16,30.00,720.00,43.15,676.85
1,7501677620056,AGUA DESTILADA LA FLOR 1 LT,3,Pza,0,16,19.00,57.00,0.00,57.00
1,3311000003920,ARNICA MERCURIO,10,Pza,0,0,15.00,150.00,0.00,150.00
1,7506376000260,CREMA AMARILLA VITACILINA ACLARADORA,1,Pza,0,16,80.00,80.00,0.00,80.00
1,7506376000253,CREMA ROJA VITACILINA ANTIARRUGAS 100GR,1,Pza,0,16,80.00,80.00,0.00,80.00
1,7501943475,DIAPRO CONFORT GRANDE C/10,2,Pza,0,16,99.00,198.00,0.00,198.00
1,7501116800803,DIAPRO CONFORT MED C/10,2,Pza,0,16,85.00,170.00,0.00,170.00
1,7501186901100,DIBAR ALCOHOL AZUL 125ML,5,Pza,0,16,7.40,37.00,0.00,37.00
1,7501868901131,DIBAR ALCOHOL AZUL 1LT,5,Pza,0,16,41.00,205.00,0.00,205.00
1,7501868901117,DIBAR ALCOHOL AZUL 250ML,5,Pza,0,16,11.30,56.50,0.00,56.50
1,7501868901124,DIBAR ALCOHOL AZUL 500ML,5,Pza,0,16,24.00,120.00,0.00,120.00
1,7501298223704,DOLO NEUROBION TAB C/20,1,Pza,52,0,561.00,561.00,291.72,269.28
1,7501033950100,ENSURE LIQ 236ML CHTE,2,Pza,0,16,42.00,84.00,0.00,84.00
1,7501033950063,ENSURE LIQ 236ML FSA,2,Pza,0.01,16,42.00,84.00,0.00,84.00
1,7501033950070,ENSURE LIQ 236ML VNLLA,2,Pza,0,16,42.00,84.00,0.00,84.00
1,7501033956133,GLUCERNA LIQ 237ML CHOCOLATE,2,Pza,6.93,16,51.04,102.08,7.08,95.00
2,7501033952,GLUCERNA LIQ 237ML VAINILLA,2,Pza,0,16,47.50,95.00,0.00,95.00
2,7501033956140,GLUCERNA SR LIQ 237ML FRESA,2,Pza,0,16,47.50,95.00,0.00,95.00
2,7501507521317,GOTERO CRISTAL,100,Pza,0,16,1.20,119.99,0.00,119.99
2,7501001157296,NATURELLA FLUJO MOD C/ALAS C/8,5,Pza,0,0,17.00,85.00,0.00,85.00
2,7501001405335,NATURELLA NOCHE CON ALAS C/8,5,Pza,0,0,18.50,92.50,0.00,92.50
2,7501033951008,PEDIASURE LIQ 236ML CHTE,2,Pza,0.01,16,44.00,88.00,0.00,88.00
2,7501033954245,PEDIASURE LIQ 236ML FSA,2,Pza,0.01,16,44.00,88.00,0.00,88.00
2,7501033950209,PEDIASURE LIQ 236ML VNLLA,2,Pza,0.01,16,44.00,88.00,0.00,88.00
2,7501019006623,SABA BUENAS NOCHES 8 EX LARGA,5,Pza,0,0,19.80,99.00,0.00,99.00
2,7501065054135,TUMS 7 TB 3 SURT,1,Pza,28,0,52.06,52.06,14.58,37.48
2,7501056323066,FASELINE PURO 42G,1,Pza,0,16,27.00,27.00,0.00,27.00
2,7501056323059,VASELINE PURO 85G,1,Pza,0,16,45.50,45.50,0.00,45.50
2,7501001246730,VICK VAPORUB POM 12G C12 LATAS,1,Pza,0,0,255.00,255.00,0.00,255.00
2,7590002012475,VICK VAPORUB UNG 100G,1,Pza,47.5,0,238.32,238.32,113.20,125.12
2,7590002012468,VICK VAPORUB UNG 50G,1,Pza,59,0,201.00,201.00,118.59,82.41
