activo,calculated_price,categoria,codigo_barras,concentracion,costo,costo_incluye_iva,created_at,denominacion_distintiva,denominacion_generica,descripcion,descuento_mxn,descuento_pct,disponible,fecha_actualizacion_precios,forma_farmaceutica,id,imagen_mobile_url,imagen_url,manual_price_override,marca,markup_percentage,nombre,precio,precio_del_ahorro,precio_marca,precio_similares,precio_unidad,presentacion,price_needs_review,price_updated_at,pricing_rule_id,principio_activo,requiere_receta,sku,stock,stock_minimo,stock_unidades,subcategoria,sucursal_id,tasa_iva,tipo,ubicacion_texto,unidades_por_caja,venta_unidad
True,180.0,Higiene,7506267905186,,16.7,,2026-08-10T19:50:21.991528+00:00,,,Blumen Coconut Para,0,0.0,inmediato,,Jabón líquido,194,,,False,Blumen,0.4,Blumen Coconut liq,24.0,,,,0.0,221 ML,False,2026-08-11T00:05:37.88556+00:00,5,,False,FC-67905186,1,5,0,,,,marca,,0,False
True,180.0,Botiquín,7501507521317,,1.2,,2026-08-10T19:50:41.010327+00:00,,,Gotero cristal — ticket 112558,0,0,inmediato,,Gotero,356,,,False,Genérico,0.5,Gotero cristal,7,,,,0,,False,2026-08-11T00:05:37.88556+00:00,4,,False,FC-07521317,100,5,0,,,,marca,,0,False
True,,Botiquín,75916565,,21.25,,2026-08-11T00:19:06.632557+00:00,,,Vicks Vaporub pomada 12 g C/12 latas — ticket 112558,0,0,inmediato,,,437,,,False,Vicks,,Vicks Vaporub pomada 12 g,42,,,,0,12 G,False,,,,False,FC-01246730,12,5,0,,,,marca,,0,False
True,,Botiquín,7503003406501,,18.62,,2026-08-11T00:19:06.632557+00:00,,,Quirmex,0,0,inmediato,,Tela adhesiva,507,,,False,Quirmex,,Quirmex,29.8,,,,0,25 CM x 5 M,False,,,,False,FC-03406501,5,5,0,,,,marca,,0,False
True,,Botiquín,7503003406600,,89.7,,2026-08-11T00:19:06.632557+00:00,,,Quirmex,0,0,inmediato,,Tela adhesiva,506,,,False,Quirmex,,Quirmex,143.53,,,,0,,False,,,,False,FC-03406600,45,5,0,,,,marca,,0,False
True,,Otro,7503008344488,,28.71,,2026-08-11T00:19:06.632557+00:00,,,Lactopram,0,0,inmediato,,CAPSULAS,481,,,False,Lactopram,,Lactopram,45.94,,,,0,430 MG · C/20,False,,,,False,FC-08344488,1,5,0,,,,marca,,0,False
True,,Producto,7503008344747,,45.08,,2026-08-11T00:19:06.632557+00:00,,,Afrodit,0,0,inmediato,,,486,,,False,Afrodit,,Afrodit,72.13,,,,0,400 UI,False,,,,False,FC-08344747,5,5,0,,,,marca,,0,False
True,,Otro,7501008443026,,262.0,,2026-08-11T00:19:06.632557+00:00,,,Alka-Seltzer,0,0,inmediato,,TABLETAS,465,,,False,Alka-Seltzer,,Alka-Seltzer,340.6,,,,0,C/100,False,,,,False,FC-08443026,35,5,0,,,,marca,,0,False
True,,Otro,7501008491096,,217.46,,2026-08-11T00:19:06.632557+00:00,,,Cafiaspirina Tar C/100,0,0,inmediato,,TABLETAS,475,,,False,Cafiaspirina,,Cafiaspirina Tar C/100,347.94,,,,0,C/100,False,,,,False,FC-08491096,40,5,0,,,,marca,,0,False
True,,Otro,7501008496701,,35.18,,2026-08-11T00:19:06.632557+00:00,,,Aspirina Eferv,0,0,inmediato,,TABLETAS,484,,,False,Aspirina,,Aspirina Eferv,45.74,,,,0,C/12,False,,,,False,FC-08496701,1,5,0,,,,marca,,0,False
