sku,ticket,linea,nombre,lote,codigo_barras
FC-F967863B,440393,1,TERFICHO 40 CAPS 100 MG,5M297,
FC-C721E8D7,440393,2,LEVOFLOXACINO 7 TAB 500 MG,U26M041,
FC-B25B4654,440393,3,CINA 7 TAB 750 MG,U26D009,
FC-ACA2A2F6,440393,4,ALOPURINOL 20 TAB 300 MG,AB25002,
FC-174824A0,440393,5,VERNISEN 6 TAB 200 MG,790055,
FC-D5AC44CA,440393,6,AMIFARIN 20 CAPS 500 MG,C6227,
FC-9A4E4C31,440393,7,CLINDAMICINA FA 600MG/4ML,E25N206,
FC-40CE757D,440393,8,CEFALVER 12 TAB 1 G,256934,
FC-B18E386A,440393,9,CEFAROXIL 15 TAB 500/30 MG,255417,
FC-1DA570E3,440393,10,CLOXAN 20 COMP 30 MG,SB2642,
FC-A455EE80,440393,11,CEFAGEN 1 SUSP 250MG/5/50 ML,256533,
FC-E374F23E,440393,12,CEFAGEN 1 SUSP 125MG/5/50 ML,255233,
FC-8FB65B79,440393,13,KLARIX 1 SUSP 250MG/5ML 60 ML,263020,
FC-2EDC6E3B,440393,14,CEFAGEN 10 TAB 250 MG,254942,
FC-C101D5B1,440393,15,BISOPROLOL 30 TAB 2.5 MG,26E039,
FC-7AF7ACB5,440393,16,CHARLYN 3 TAB 500 MG,251303,
FC-CF18C740,440393,17,CLINDAMICINA 16 CAP 300 MG,U26E412,
FC-E4EFC4C2,440393,18,FASICLOR 15 CAPS 500 MG,255646,
FC-6EAD98A9,440393,19,CEPOBROM 12 CAPS 500/0.782 MG,260152,
FC-CF719C07,440393,20,DICLOFEN 12 CAPS 500 MG,E2605191,
FC-60F627D5,440393,21,GENTAMICINA 5 AMP 160MG/2ML,B25N402,
FC-48F732CF,440393,22,EPICIN 20 CAPS 500 MG,E2603101,
FC-72C28BC1,440393,23,KNORICIN 1 SUSP 125MG/5/60 ML,5F0981,
FC-443C330E,440393,24,CEFAGEN 10 TAB 500 MG,256911,
FC-492D652F,440393,25,CEFALVER 20 CAPS 500 MG,261277,
FC-86A95D07,440393,26,TROPHARMA 20 TAB 500 MG,2512921,
FC-697EEAD0,440393,27,KURTOSIL 1 CMA 20/1 MG,264239,
FC-830BF3FB,440393,28,DIVILTAC 1 FA 150/10MG/1 ML,H26020022,
FC-F3E734A0,440393,29,FASICLOR 1 SUSP 375MG/5/50 ML,252890,
FC-74A5ABEE,440393,30,CIPROFLOXACINO 12 TAB 250 MG,U26V028,
FC-AEA8C8DA,440393,31,NAMIFEN 20 TAB 500 MG,440096,
FC-2005DD57,440393,32,CEFALEXINA 20 CAPS 500 MG,26A067,
FC-B4477A00,440393,33,PENTIBROXIL 16 CAPS 500/30 MG,262066,
FC-85BDBD3D,440393,34,ACROXIL-C 1 SUSP 250MG/5/60 ML,E2512603,
FC-7AA38F97,440393,35,PENTIVER 1 SUSP 500MG/5/60 ML,256072,
FC-9538F7D6,440393,36,FASICLOR 1 SUSP 250MG/5/75 ML,251778,
FC-01B2F362,440393,37,FASICLOR 1 SUSP 125MG/5/75 ML,255772,
FC-50587FA6,440393,38,MEXAPIN 1 SUSP 125MG/5/60 ML,S5721,
FC-B72A6420,440393,39,PENTIVER 1 SUSP 250MG/5/90 ML,257070,
FC-D9391288,440393,40,AZITROMICINA 1 SUSP 200MG/5/15 ML,251985,
FC-41339950,440393,41,CLARITROMICINA 10 TAB 500 MG,U26E021,
FC-E6112F15,440393,42,NALIXONE 20 TAB 500/50 MG,2630655,
FC-F183C6E9,440393,43,"PENIPOT 1 FA 800,000 UI",126A003,
FC-A0D320D1,440393,44,AMOXICILINA 12 CAPS 500 MG,C0925787,
FC-95779436,440393,45,ACIDO ACETILSALICILICO EF 20 TAB 300 MG,0380626,
FC-4C621D07,440393,46,VANMOXOL 1 SUSP 250/15MG/5/90 ML,S5406,
FC-022543CD,440393,47,VALCLAN 10 TAB 500/125 MG,T6079,
FC-64EB83AA,440393,48,"BENCIL/BENZ COMPL 1 FA 1,2 U 3 ML",125T007,
FC-D210172A,440393,49,AMPICILINA 1 FA 1G/5 ML,126H505,
FC-7F90064A,440393,50,AMPICILINA 1 FA 500MG/2 ML,125S506,
FC-F82A6E4B,440393,51,AMPICILINA 10 TAB 1 G,Q0126016,
FC-5F30F9D4,440393,52,CLAMOXIN 10 TAB 500/125 MG,261979,
FC-7D1D9857,440393,53,ACIDO ACETILSALICILICO 30 TAB 100MG,6AM103C,
FC-516C2E89,440393,54,CLAMOXIN 12H JR 1 SUSP 400/57MG/5/50 ML,257270,
FC-05965071,440393,55,ACROXIL-C 12 CAPS 500/8 MG,B2602071,
FC-930E0B1B,440393,56,VANDIL 1 SUSP 250MG/5/75 ML,S6252,
FC-405A75E3,440393,57,ACIDO URSODESOXICOLICO 50 CAP 250 MG,U26F085,
FC-D06E54FE,440393,58,VALCLAN 10 TAB 875/125 MG,T6315,
