sku,nombre_original,marca,presentacion,tu_precio_venta_actual,precio_similares,precio_del_ahorro
FC-82176351,Iv Sot.O-Neurobion Dc Ete Jga Sot.O-Neurobion Prell C/1 | Pg Health9.20,Neurobion,C/1,1311.54,,
FC-68990023,DIBAR ALCOHOL 500ML. ROJO,Dibar,500 ML,1082.96,,
FC-68960257,DIBAR ALCOHOL ILT ROJO,Dibar,,1021.53,,
FC-98217659,Iv Dolo-Neurobion Dc Jga Preli C/3 3 Ml | Pg Health 23.25 Descto: 17.0% Dolo-Neurobion Dc Jga Preli C/3 3 Ml | Pg Health,Neurobion,3 ML · C/3,694.89,,
FC-48690909,Protec Tensolastic Plus 7Cmx5M Venda Elasti,,7 CM x 5 M,648.52,,
FC-40171550,C D Sensodyne Rapido Alivio 100G,Sensodyne,100 G,648.52,,
FC-30133021,Iri Amp 50.000 Mexico Descto: Mexico Iv Bedoyecta Bausch,Iri,,437.48,,
FC-01246730,VAPORUB POM 12G C12 LATAS,Vaporub,12 G,408.0,31.9,
FC-98223704,BOLO EUROBION TAB C/20,Eurobion,C/20,350.07,,
FC-08491096,Cafiaspirina Tar C/100 2 Pace Bayer Otc 221.90 Descto: 2.0% Cafiaspirina Tar C/100 2 Pace Corega Ultra,Cafiaspirina,C/100,347.94,,
FC-08443026,Tab C/100 Descto: 2.0% Alka-Seltzer Bayer C/100 Alka-Seltzer Ğel Rojo,Alka-Seltzer,C/100,340.6,,
FC-68901131,ALCOHOL AZUL 1LT,,1 L,328.0,,
FC-85592111,Scabisan Crema Er I Chinoin 1 $ 194.60 Descto: 2.0% $ 190.71 Scabisan Crema Er I Chinoin,Scabisan,,311.36,,
FC-405A75E3,ACIDO URSODESOXICOLICO 50 CAP 250 MG,Acido,50 CAPSULAS,282.4,,
FC-23273451,Jeringa Sens Imedicai Insul 0.5 Ml C/100 | Jayor 1 $ 217.20 Jeringa Sens Imedicai Insul 0.5 Ml,Jayor,0.5 ML · C/100,282.36,,
FC-84999001,Boost Tar C/50 Descto: 2.0% Alka-Seltzer Bayer Boost Tar C/50 Alka-Seltzer,Alka-Seltzer,C/50,278.41,,
FC-23272151,Jeringa Sensimedical Insul 0.3 Ml C/100 | Jayor 1 $ Jeringa Sensimedical Insul 0.3 Ml,Jayor,0.3 ML,276.72,,
FC-16800803,DIAPRO CONFORT MED C/10,Diapro,C/10,272.0,,
FC-FBD776D2,MERCURIO PERLAS DE ETER C/50 1630824,Mercurio,C/50,272.0,,
FC-14121782,Jabon De Proteina De Arroz Y Concha Nacar 8,,,268.31,,
FC-95467264,Sal De Uvas Ixh C/50 | Rb Healti 1 $ 163.50 Descto: 2.0% $ 160.23 Sal De Uvas Ixh C/50 | Rb Healti,Sal de Uvas,C/50,261.61,,
FC-45307181,Poroso Arnica Parche Leon Bde Poroso Arnica Parche,Arnica,,238.96,,
FC-84973401,Flanax 550 Mc Tab C/12 | Bayér Otc 203.00 Descto: 10.0% $ 182.70 Tab C/12 | Chinoin,Flanax,00 TABLETAS · C/12,237.51,39.0,
FC-79071241,Bisolvon Jbe Ine 120 Ml | Lăb Hormona $ 147.90 Descto: 2.0% $ 144.94 $ 147.90 Ine 120 Ml | Lăb Hormona,Bisolvon,120 ML,236.64,129.0,
FC-06248052,Deo Aero Dove Tono Uniforme 150Ml 3Pack,Dove,150 ML,235.69,,
FC-48640751,Protec 5Cmx2.75M 1 Pza Venda De Yeso C12 Pz,,1 PZA,235.45,,
FC-65095947,Centrum Silver Tab C/30 Pg Pere 1 Centrum Silver Tab C/30 Pere,Centrum,C/30,232.0,,
FC-51444145,0 Stick Tripack Des Old Spice Gr Pg Pere Descto: 2.0% Stick Tripack Des Old Spice Pg Pere,Old Spice,,217.17,,
FC-50959781,Performance Tab Descto: 2.0% Centrum C/30 Pg Pere Performance Tab Centrum C/30,Centrum,C/30,213.2,,
FC-88508929,Anara Tab C/20 Chinoin 1 $ 162.60 Descto: 2.0% $ 159.35 Chinoin,Anara,C/20,211.38,,
FC-08427330,Pomada 100 Gr Descto: 2.0% Bepanthen Pomada Bepanthen,Bepanthen,100 G,210.9,,
FC-06248045,Deo Dove Spy Invisible Dry 150Ml C3,Dove,150 ML,207.14,,
FC-51078461,Öpt Imal Leche Nan 1 Marcas Pro Öpt Imal Leche Nan 1,Nan,,207.05,,
FC-98100381,Herklin Shai 20 Ml Armstroni 1 $ 128.80 Descto: 2.0% $ 126.22 $ 128.80 20 Ml Armstroni 265024 Genomma Alli-Triple,Armstrong,20 ML,206.09,,
FC-67905186,Jbn Liq Blumen Coconut Para 221Ml,Blumen,221 ML,205.72,,
FC-85097661,Jr. Jbe Ine 60 Mant Chinotes Chinoin Jr. Jbe Mant Chinotes Chinoin,Chinoin,,204.64,,
FC-281E0F22,BUDESONIDA 1 SUSP NEB AMP 0.500MG,Budesonida,1 SUSPENSION,199.84,,
FC-83510531,Gel Antibacterial Protec 250 Ml Degasa 22.40 Antibacterial Protec 250 Ml Degasa,Protec,250 ML,197.73,,
FC-68900127,Gasa Dibar 10X10 Paq 10 Cajitas/10 126.10 Dibar Gasa Dibar 10X10 Paq 10 Cajitas/10,Dibar,,197.73,,
FC-68901124,ALCOHOL AZUL 500ML,,500 ML,192.0,,
FC-07521317,GOTERO CRISTAL,,,191.99,,
FC-B69FCBF4,LESACLOR (MACLOV) 35 TAB 400 MG,Lesaclor,35 TABLETAS,189.95,,
FC-50003151,Iv Neomelubrina Jbe 100 Ml I Opella 121.00 Neomelubrina Jbe 100 Ml I Opella,Opella,100 ML,189.73,51.0,
FC-08426944,Gr 5.58 Bayer Descto: 2.0% Flanax Gel 40 Otc Gr 5.58 Flanax Gel 40,Flanax,40 G,187.38,,
FC-443C330E,CEFAGEN 10 TAB 500 MG,Cefagen,10 TABLETAS,187.37,,
FC-02012475,VICK NAPORUB UNG 100G,Vick,100 G,181.12,,
FC-51067711,360 Gr | Marcas Descto: 2.0% Leche Nidal 1 Nestle $ 112.70 360 Gr | Marcas Leche Nidal 1 Nestle,Nido,,180.33,,
FC-E4EFC4C2,FASICLOR 15 CAPS 500 MG,Fasiclor,15 CAPSULAS,179.3,,
FC-06247327,Afrin Spray No Drip Extra Humectante Afrin Spray Drip Extra,Afrin,,175.62,,
FC-68900134,Lox10 Exh C/100 Descto: 2.0% Gasa Dibar Dibar 111.10 Lox10 Exh C/100 Gasa Dibar Dibar,,C/100,174.21,,
FC-28979502,Histiacil NF adulto jarabe,Histiacil Opella,JARABE 150 mL 225 mg/225mg,161.72,36.0,
FC-50724298,Tempra jarabe,Tempra,120 ML,224.36,48.0,
FC-52D2A43A,Zukedib,Zukedib,30 TABLETAS,37.81,63.0,
FC-84095411,Saridon,Saridon,120 TABLETAS,84.18,27.0,
FC-88915491,Tarmin 2 Mg /12,Tarmin,12 TABLETAS,77.0,12.5,
FC-A2B284E0,Hialuronato De Sodio 4Mg,Hialuronato,10 ML,148.06,199.0,
FC-1FFBB505,Dac (Paracetamol + Diclofenaco),Supratex,1 SOLUCION,54.79,84.0,
FC-87154871,Graneodin F (flurbiprofeno),Graneodin,C/16 8.75 mg,172.12,169.0,
FC-00740024,Silka Medic Gel,Silka,,108.76,34.0,
FC-06257597,Talco Para Pies Rexona Efficient Orig,Rexona,100 g,55.0,19.0,
FC-35908116,Talco Para Bebe Mennen Azul ch,Mennen,100 g,54.0,19.0,
