sku,ticket,linea,nombre_original,nombre_nuevo,marca,presentacion,principio_activo,concentracion,forma_farmaceutica
FC-F967863B,440393,1,TERFICHO 40 CAPS 100 MG,Terficho,Terficho,40 CAPSULAS,,100 MG,CAPSULAS
FC-C721E8D7,440393,2,LEVOFLOXACINO 7 TAB 500 MG,Levofloxacino,,7 TABLETAS,LEVOFLOXACINO,500 MG,TABLETAS
FC-B25B4654,440393,3,CINA 7 TAB 750 MG,Cina,,7 TABLETAS,CINA,750 MG,TABLETAS
FC-ACA2A2F6,440393,4,ALOPURINOL 20 TAB 300 MG,Alopurinol,,20 TABLETAS,ALOPURINOL,300 MG,TABLETAS
FC-174824A0,440393,5,VERNISEN 6 TAB 200 MG,Vernisen,Vernisen,6 TABLETAS,,200 MG,TABLETAS
FC-D5AC44CA,440393,6,AMIFARIN 20 CAPS 500 MG,Amifarin,Amifarin,20 CAPSULAS,,500 MG,CAPSULAS
FC-9A4E4C31,440393,7,CLINDAMICINA FA 600MG/4ML,Clindamicina,,FRASCO AMPULA,CLINDAMICINA,600MG/4ML,FRASCO AMPULA
FC-40CE757D,440393,8,CEFALVER 12 TAB 1 G,Cefalver,Cefalver,12 TABLETAS,,1 G,TABLETAS
FC-B18E386A,440393,9,CEFAROXIL 15 TAB 500/30 MG,Cefaroxil,Cefaroxil,15 TABLETAS,,500/30 MG,TABLETAS
FC-1DA570E3,440393,10,CLOXAN 20 COMP 30 MG,Cloxan,Cloxan,20 COMPRIMIDOS,,30 MG,COMPRIMIDOS
FC-A455EE80,440393,11,CEFAGEN 1 SUSP 250MG/5/50 ML,Cefagen,,1 SUSPENSION,CEFAGEN,250MG/5/50,SUSPENSION
FC-E374F23E,440393,12,CEFAGEN 1 SUSP 125MG/5/50 ML,Cefagen,,1 SUSPENSION,CEFAGEN,125MG/5/50,SUSPENSION
FC-8FB65B79,440393,13,KLARIX 1 SUSP 250MG/5ML 60 ML,Klarix,,1 SUSPENSION,KLARIX,250MG/5ML 60,SUSPENSION
FC-2EDC6E3B,440393,14,CEFAGEN 10 TAB 250 MG,Cefagen,,10 TABLETAS,CEFAGEN,250 MG,TABLETAS
FC-C101D5B1,440393,15,BISOPROLOL 30 TAB 2.5 MG,Bisoprolol,,30 TABLETAS,BISOPROLOL,2.5 MG,TABLETAS
FC-7AF7ACB5,440393,16,CHARLYN 3 TAB 500 MG,Charlyn,,3 TABLETAS,CHARLYN,500 MG,TABLETAS
FC-CF18C740,440393,17,CLINDAMICINA 16 CAP 300 MG,Clindamicina,,16 CAPSULAS,CLINDAMICINA,300 MG,CAPSULAS
FC-E4EFC4C2,440393,18,FASICLOR 15 CAPS 500 MG,Fasiclor,,15 CAPSULAS,FASICLOR,500 MG,CAPSULAS
FC-6EAD98A9,440393,19,CEPOBROM 12 CAPS 500/0.782 MG,Cepobrom,,12 CAPSULAS,CEPOBROM,500/0.782 MG,CAPSULAS
FC-CF719C07,440393,20,DICLOFEN 12 CAPS 500 MG,Diclofen,,12 CAPSULAS,DICLOFEN,500 MG,CAPSULAS
FC-60F627D5,440393,21,GENTAMICINA 5 AMP 160MG/2ML,Gentamicina,,5 AMPOLLETA,GENTAMICINA,160MG/2ML,AMPOLLETA
FC-48F732CF,440393,22,EPICIN 20 CAPS 500 MG,Epicin,,20 CAPSULAS,EPICIN,500 MG,CAPSULAS
FC-72C28BC1,440393,23,KNORICIN 1 SUSP 125MG/5/60 ML,Knoricin,,1 SUSPENSION,KNORICIN,125MG/5/60,SUSPENSION
FC-443C330E,440393,24,CEFAGEN 10 TAB 500 MG,Cefagen,,10 TABLETAS,CEFAGEN,500 MG,TABLETAS
FC-492D652F,440393,25,CEFALVER 20 CAPS 500 MG,Cefalver,Cefalver,20 CAPSULAS,,500 MG,CAPSULAS
FC-86A95D07,440393,26,TROPHARMA 20 TAB 500 MG,Tropharma,,20 TABLETAS,TROPHARMA,500 MG,TABLETAS
FC-697EEAD0,440393,27,KURTOSIL 1 CMA 20/1 MG,Kurtosil 1 Cma 20/1 Mg,,,,,
FC-830BF3FB,440393,28,DIVILTAC 1 FA 150/10MG/1 ML,Diviltac,,1 FRASCO AMPULA,DIVILTAC,150/10MG/1,FRASCO AMPULA
FC-F3E734A0,440393,29,FASICLOR 1 SUSP 375MG/5/50 ML,Fasiclor,,1 SUSPENSION,FASICLOR,375MG/5/50,SUSPENSION
FC-74A5ABEE,440393,30,CIPROFLOXACINO 12 TAB 250 MG,Ciprofloxacino,,12 TABLETAS,CIPROFLOXACINO,250 MG,TABLETAS
FC-AEA8C8DA,440393,31,NAMIFEN 20 TAB 500 MG,Namifen,,20 TABLETAS,NAMIFEN,500 MG,TABLETAS
FC-2005DD57,440393,32,CEFALEXINA 20 CAPS 500 MG,Cefalexina,,20 CAPSULAS,CEFALEXINA,500 MG,CAPSULAS
FC-B4477A00,440393,33,PENTIBROXIL 16 CAPS 500/30 MG,Pentibroxil,,16 CAPSULAS,PENTIBROXIL,500/30 MG,CAPSULAS
FC-85BDBD3D,440393,34,ACROXIL-C 1 SUSP 250MG/5/60 ML,Acroxil-C,,1 SUSPENSION,ACROXIL-C,250MG/5/60,SUSPENSION
FC-7AA38F97,440393,35,PENTIVER 1 SUSP 500MG/5/60 ML,Pentiver,,1 SUSPENSION,PENTIVER,500MG/5/60,SUSPENSION
FC-9538F7D6,440393,36,FASICLOR 1 SUSP 250MG/5/75 ML,Fasiclor,,1 SUSPENSION,FASICLOR,250MG/5/75,SUSPENSION
FC-01B2F362,440393,37,FASICLOR 1 SUSP 125MG/5/75 ML,Fasiclor,,1 SUSPENSION,FASICLOR,125MG/5/75,SUSPENSION
FC-50587FA6,440393,38,MEXAPIN 1 SUSP 125MG/5/60 ML,Mexapin,,1 SUSPENSION,MEXAPIN,125MG/5/60,SUSPENSION
FC-B72A6420,440393,39,PENTIVER 1 SUSP 250MG/5/90 ML,Pentiver,,1 SUSPENSION,PENTIVER,250MG/5/90,SUSPENSION
