sku,nombre_original,nombre,marca,presentacion,principio_activo,tipo,margen_pct,costo,precio_nuevo
FC-F967863B,TERFICHO 40 CAPS 100 MG,Terficho,Terficho,40 CAPSULAS,,marca,30,46.05,59.87
FC-C721E8D7,LEVOFLOXACINO 7 TAB 500 MG,Levofloxacino,,7 TABLETAS,LEVOFLOXACINO,generico,60,18.77,30.04
FC-B25B4654,CINA 7 TAB 750 MG,Cina,Cina,7 TABLETAS,,marca,30,28.87,37.54
FC-ACA2A2F6,ALOPURINOL 20 TAB 300 MG,Alopurinol,,20 TABLETAS,ALOPURINOL,generico,60,21.46,34.34
FC-174824A0,VERNISEN 6 TAB 200 MG,Vernisen,Vernisen,6 TABLETAS,,marca,30,12.38,16.1
FC-D5AC44CA,AMIFARIN 20 CAPS 500 MG,Amifarin,Amifarin,20 CAPSULAS,,marca,30,45.78,59.52
FC-9A4E4C31,CLINDAMICINA FA 600MG/4ML,Clindamicina,,FRASCO AMPULA,CLINDAMICINA,generico,60,88.42,141.48
FC-40CE757D,CEFALVER 12 TAB 1 G,Cefalver,Cefalver,12 TABLETAS,,marca,30,62.48,81.23
FC-B18E386A,CEFAROXIL 15 TAB 500/30 MG,Cefaroxil,Cefaroxil,15 TABLETAS,,marca,30,44.44,57.78
FC-1DA570E3,CLOXAN 20 COMP 30 MG,Cloxan,Cloxan,20 COMPRIMIDOS,,marca,30,9.75,12.68
FC-A455EE80,CEFAGEN 1 SUSP 250MG/5/50 ML,Cefagen,Cefagen,1 SUSPENSION,CEFALEXINA,marca,30,74.58,96.96
FC-E374F23E,CEFAGEN 1 SUSP 125MG/5/50 ML,Cefagen,Cefagen,1 SUSPENSION,CEFALEXINA,marca,30,48.48,63.03
FC-8FB65B79,KLARIX 1 SUSP 250MG/5ML 60 ML,Klarix,Klarix,1 SUSPENSION,CLARITROMICINA,marca,30,81.67,106.18
FC-2EDC6E3B,CEFAGEN 10 TAB 250 MG,Cefagen,Cefagen,10 TABLETAS,CEFALEXINA,marca,30,82.09,106.72
