accion,sku,ean,nombre,marca,presentacion,categoria,familia,stock,costo,precio,sugerido,piso,techo,markup,margen_venta,utilidad,ultima,motivo
bajar,FC-43489004,7501943489004,Escudo Rosa Cuidado,Escudo,110 G,Higiene,higiene,2.0,4.48,42.0,10,10,10,837.5,89.3,37.52,4.48,PVP 837.5% sobre costo
bajar,FC-54558682,7501054558682,Nivea Milk Crema corp 400 ML,Nivea,400 ML,Cuidado personal,higiene,1.0,22.3,207.0,50,32,50,828.3,89.2,184.7,22.3,PVP 828.3% sobre costo
bajar,FC-22105207,7501022105207,Jabon Grisi Neutro,Grisi,150 G,Higiene,higiene,1.0,6.96,56.0,16,12,16,704.6,87.6,49.04,6.96,PVP 704.6% sobre costo
bajar,FC-25605514,7506425605514,Escudo Antibacterial Frescura,Escudo,110 G,Higiene,higiene,2.0,7.23,42.0,16,13,16,480.9,82.8,34.77,7.22,PVP 480.9% sobre costo
bajar,FC-27512574,7501027512574,Evenflo Colors,Evenflo,240 ML,Higiene,higiene,3.0,15.48,63.0,35,22,35,307.0,75.4,47.52,15.48,PVP 307.0% sobre costo
bajar,FC-20500164,810120500164,Pert crema para peinar kera + aguacate 100 ml,Pert,100 ml,Cuidado personal,higiene,2.0,14.8,55.0,33,21,33,271.6,73.1,40.2,14.8,PVP 271.6% sobre costo
bajar,FC-43427754,7501943427754,Toallas Kotex Nocturna Ext Largo cn alas,Kotex,C/5,Higiene,higiene,0.0,5.01,16.0,12,11,12,219.4,68.7,10.99,5.0,PVP 219.4% sobre costo
bajar,FC-38891190,0672388911904,Jabon Dove Original,Dove,135 G,Higiene,higiene,1.0,15.1,47.0,34,22,34,211.3,67.9,31.9,15.1,PVP 211.3% sobre costo
bajar,FC-25652716,7506425652716,Escudo Antibacterial Original,Escudo,135 G,Higiene,higiene,5.0,13.65,42.0,31,20,31,207.7,67.5,28.35,7.39,PVP 207.7% sobre costo
bajar,FC-21012303,7502221012303,Claris toallas desmaquillantes aloe C/40,Claris,C/40,Higiene,higiene,2.0,9.43,27.0,21,15,21,186.3,65.1,17.57,9.43,PVP 186.3% sobre costo
bajar,FC-19006371,7501019006371,Toallas Saba Invisible con alas C/10,Saba,C/10,Higiene,higiene,1.0,10.17,29.0,16,16,23,185.2,64.9,18.83,10.17,PVP 185.2% sobre costo
bajar,FC-75064938,75064938,Desodorante Ego Force 24H roll-on,Ego,45 ML,Higiene,higiene,1.0,11.95,34.0,27,17,27,184.5,64.9,22.05,11.95,PVP 184.5% sobre costo
bajar,FC-20500171,8101205001716,Crema para peinar Pert aceite oliva aguacate,Pert,100 ML,Cuidado personal,higiene,3.0,7.4,21.0,17,13,17,183.8,64.8,13.6,7.4,PVP 183.8% sobre costo
bajar,FC-46683133,7509546683133,Palmolive Neutro-Bal Dermo Limp,Palmolive,120 G,Higiene,higiene,1.0,13.07,37.0,29,19,29,183.1,64.7,23.93,13.07,PVP 183.1% sobre costo
bajar,FC-99425580,7501199425580,Gel X-Treme Titan,X-Treme,250 G,Cuidado personal,higiene,1.0,11.31,32.0,25,17,25,182.9,64.7,20.69,11.31,PVP 182.9% sobre costo
bajar,FC-99428024,7501199428024,Gel Moco de Gorila Punk,Moco de Gorila,80 G,Cuidado personal,higiene,2.0,14.15,40.0,32,20,32,182.7,64.6,25.85,14.15,PVP 182.7% sobre costo
bajar,FC-08837311,4005808837311,Nivea Antitransp Pearlb Spray,Nivea,150 ML,Higiene,higiene,2.0,32.37,91.0,56,46,72,181.1,64.4,58.63,32.37,PVP 181.1% sobre costo
bajar,FC-06241206,7506306241206,Dove tono uniforme 72h,Dove,SPRAY 150 ML,Higiene,higiene,1.0,32.14,90.0,71,45,71,180.0,64.3,57.86,32.14,PVP 180.0% sobre costo
bajar,FC-46059556,7509546059556,Palmolive líquido neutro,Palmolive,221 ML,Higiene,higiene,0.0,35.61,98.0,79,50,79,175.2,63.7,62.39,35.61,PVP 175.2% sobre costo
bajar,FC-52844825,7509552844825,Desodorante Obao Ritual Natural Coco (Mujer),Obao,Roll-ON 65 G,Higiene,higiene,2.0,24.95,68.0,41,35,55,172.5,63.3,43.05,24.95,PVP 172.5% sobre costo
bajar,FC-54549796,7501054549796,Crema Nivea Milk Nutritiva,Nivea,100 mL,Cuidado personal,higiene,4.0,25.86,69.0,57,37,57,166.8,62.5,43.14,25.86,PVP 166.8% sobre costo
bajar,FC-27250612,7501027250612,Desodorante Obao Piel Delicada,Obao,R-ON 65 G,Higiene,higiene,2.0,25.83,68.0,57,37,57,163.3,62.0,42.17,24.71,PVP 163.3% sobre costo
