sku,nombre,categoria,tipo,codigo_barras,costo_compra,precio_venta_fc,margen_bruto_pct,markup_sobre_costo_pct,precio_teorico_costo_x1_6,dif_vs_teorico_pct,precio_similares,precio_del_ahorro,precio_exprezo,ref_mercado_min,dif_vs_mercado_pct,fecha_ref_competencia
FC-F22C72BE,12H,Otro,marca,,55.03,71.54,23.1,30.0,88.05,-18.8,,,,,,
FC-516C2E89,12H Jr,Otro,marca,,36.79,47.83,23.1,30.0,58.86,-18.7,,,,,,
FC-DDFBABDF,12H Ped,Otro,marca,,25.94,33.73,23.1,30.0,41.5,-18.7,,,,,,
FC-C9F4ACCC,Acemetacina,Otro,generico,,39.44,63.11,37.5,60.0,63.1,0.0,,,,,,
FC-7D1D9857,Acetilsalicilico,Otro,marca,,14.85,19.31,23.1,30.0,23.76,-18.7,,,,,,
FC-95779436,Acetilsalicilico Ef,Otro,marca,,19.07,24.8,23.1,30.0,30.51,-18.7,,,,,,
FC-1BF03D35,Acetonido De Fluocinolona Cma,Producto,marca,,18.44,23.98,23.1,30.0,29.5,-18.7,,,,,,
FC-FD845E68,Aciclovir,Otro,marca,,23.68,30.79,23.1,30.0,37.89,-18.7,,,,,,
FC-05965071,Acroxil-C,Otro,marca,,24.05,31.27,23.1,30.0,38.48,-18.7,,,,,,
FC-85BDBD3D,Acroxil-C,Otro,marca,,25.42,33.05,23.1,30.0,40.67,-18.7,,,,,,
FC-2001A890,Ad,Otro,marca,,81.71,106.23,23.1,30.0,130.74,-18.7,,,,,,
FC-06134531,Afrin Dtc (Rojo) 20,Producto,marca,75010506134531,75.46,120.74,37.5,60.0,120.74,0.0,,,,,,
FC-06247327,Afrin Spray No Drip Extra Humectante Spray Drip Extra,GENERAL,marca,75010506247327,109.76,175.62,37.5,60.0,175.62,0.0,,,,,,
FC-08344747,Afrodit,Producto,marca,7503008344747,45.08,72.13,37.5,60.0,72.13,0.0,,,,,,
FC-25116810,Agrifen Ab Pis,Otro,marca,7501125116810,19.5,25.35,23.1,30.0,31.2,-18.7,,,,,,
FC-77620056,Agua destilada La Flor,Botiquín,marca,7506313000353,19.0,29.0,34.5,52.6,30.4,-4.6,,,,,,
FC-45722547,Agua micelar bifásica,Cuidado personal,marca,7502245722547,21.08,30.0,29.7,42.3,33.73,-11.1,,,,,,
FC-83351381,Agua oxigenada,Botiquín,marca,75010483351381,7.64,12.23,37.5,60.1,12.22,0.1,,,,,,
FC-52400267,Ajolotius,Otro,marca,7506452400267,73.21,117.14,37.5,60.0,117.14,0.0,,,,,,
FC-62746698,Ajolotius,Otro,marca,7500462746698,58.9,80.0,26.4,35.8,94.24,-15.1,,,,,,
FC-62746612,Ajolotius,Otro,marca,7500462746612,89.2,115.96,23.1,30.0,142.72,-18.8,,,,,,
FC-52400212,Ajolotius Jengibre Tab Nati Jengibre,GENERAL,marca,7506452400212,20.5,26.65,23.1,30.0,32.8,-18.7,,,,,,
FC-52400038,Ajolotius Menta Eucal S/Azucar Past Menta Eucal,GENERAL,marca,7506452400038,21.36,34.18,37.5,60.0,34.18,0.0,,,,,,
FC-62746643,Ajolotius Menta Fucal Menta Fucal,GENERAL,marca,7500462746643,19.5,31.21,37.5,60.1,31.2,0.0,,,,,,
FC-24004581,Ajolotius Pastillas Elderberry Past,Producto,marca,75064524004581,21.0,33.6,37.5,60.0,33.6,0.0,,,,,,
FC-86472048,Alcanforada Mayo Somed,Higiene,marca,7501086472048,13.5,19.0,28.9,40.7,21.6,-12.0,,,,,,
FC-68901131,Alcohol Etilico Azul 71.6,Botiquín,marca,7501868901131,41.0,62.0,33.9,51.2,65.6,-5.5,,,,,,
FC-86901100,Alcohol Etilico Azul 71.6,Botiquín,marca,7501868901100,7.4,13.0,43.1,75.7,11.84,9.8,,,,,,
FC-68901124,Alcohol Etilico Azul 71.6,Botiquín,marca,7501868901124,120.0,180.0,33.3,50.0,192.0,-6.2,,,,,,
FC-68901117,Alcohol Etilico Azul 71.6,Botiquín,marca,7501868901117,11.3,17.0,33.5,50.4,18.08,-6.0,,,,,,
FC-68960257,Alcohol Etilico Rojo 96°,Botiquín,marca,7501868900257,53.2,80.0,33.5,50.4,85.12,-6.0,,,,,,
FC-68900226,Alcohol Etilico Rojo 96°,Botiquín,marca,7501868900226,15.68,24.0,34.7,53.1,25.09,-4.3,,,,,,
FC-68990023,Alcohol Etilico Rojo 96°,Botiquín,marca,7501868990023,28.2,1082.96,97.4,3740.3,45.12,2300.2,,,,,,
FC-68900264,Alcohol Etilico Rojo 96°,Botiquín,marca,7501868900264,8.1,14.0,42.1,72.8,12.96,8.0,,,,,,
FC-DF39BB27,Alevarin Capsulas,Producto,marca,,68.88,89.55,23.1,30.0,110.21,-18.7,,,,,,
