sku,ticket,nombre_original,nombre_nuevo,marca,presentacion,forma,principio_activo,categoria,notas
FC-F967863B,440393,TERFICHO 40 CAPS 100 MG,Terficho,Terficho,40 CAPSULAS,CAPSULAS,,Medicamento,
FC-C721E8D7,440393,LEVOFLOXACINO 7 TAB 500 MG,Levofloxacino,,7 TABLETAS,TABLETAS,LEVOFLOXACINO,Medicamento,
FC-B25B4654,440393,CINA 7 TAB 750 MG,Cina,Cina,7 TABLETAS,TABLETAS,,Medicamento,
FC-ACA2A2F6,440393,ALOPURINOL 20 TAB 300 MG,Alopurinol,,20 TABLETAS,TABLETAS,ALOPURINOL,Medicamento,
FC-174824A0,440393,VERNISEN 6 TAB 200 MG,Vernisen,Vernisen,6 TABLETAS,TABLETAS,,Medicamento,
FC-D5AC44CA,440393,AMIFARIN 20 CAPS 500 MG,Amifarin,Amifarin,20 CAPSULAS,CAPSULAS,,Medicamento,
FC-9A4E4C31,440393,CLINDAMICINA FA 600MG/4ML,Clindamicina,,FRASCO AMPULA,FRASCO AMPULA,CLINDAMICINA,Medicamento,
FC-40CE757D,440393,CEFALVER 12 TAB 1 G,Cefalver,Cefalver,12 TABLETAS,TABLETAS,,Medicamento,
FC-B18E386A,440393,CEFAROXIL 15 TAB 500/30 MG,Cefaroxil,Cefaroxil,15 TABLETAS,TABLETAS,,Medicamento,
FC-1DA570E3,440393,CLOXAN 20 COMP 30 MG,Cloxan,Cloxan,20 COMPRIMIDOS,COMPRIMIDOS,,Medicamento,
FC-A455EE80,440393,CEFAGEN 1 SUSP 250MG/5/50 ML,Cefagen,Cefagen,1 SUSPENSION,SUSPENSION,CEFALEXINA,Medicamento,
FC-E374F23E,440393,CEFAGEN 1 SUSP 125MG/5/50 ML,Cefagen,Cefagen,1 SUSPENSION,SUSPENSION,CEFALEXINA,Medicamento,
FC-8FB65B79,440393,KLARIX 1 SUSP 250MG/5ML 60 ML,Klarix,Klarix,1 SUSPENSION,SUSPENSION,CLARITROMICINA,Medicamento,
FC-2EDC6E3B,440393,CEFAGEN 10 TAB 250 MG,Cefagen,Cefagen,10 TABLETAS,TABLETAS,CEFALEXINA,Medicamento,
FC-C101D5B1,440393,BISOPROLOL 30 TAB 2.5 MG,Bisoprolol,,30 TABLETAS,TABLETAS,BISOPROLOL,Medicamento,
FC-7AF7ACB5,440393,CHARLYN 3 TAB 500 MG,Charlyn,Charlyn,3 TABLETAS,TABLETAS,CIPROFLOXACINO,Medicamento,
FC-CF18C740,440393,CLINDAMICINA 16 CAP 300 MG,Clindamicina,,16 CAPSULAS,CAPSULAS,CLINDAMICINA,Medicamento,
FC-E4EFC4C2,440393,FASICLOR 15 CAPS 500 MG,Fasiclor,Fasiclor,15 CAPSULAS,CAPSULAS,CEFACLOR,Medicamento,
FC-6EAD98A9,440393,CEPOBROM 12 CAPS 500/0.782 MG,Cepobrom,Cepobrom,12 CAPSULAS,CAPSULAS,CEFADROXIL,Medicamento,
FC-CF719C07,440393,DICLOFEN 12 CAPS 500 MG,Diclofen,Diclofen,12 CAPSULAS,CAPSULAS,DICLOFENACO,Medicamento,
FC-60F627D5,440393,GENTAMICINA 5 AMP 160MG/2ML,Gentamicina,,5 AMPOLLETA,AMPOLLETA,GENTAMICINA,Medicamento,
